dataset,sample_hash,ok,fail_reason,note,gt_mapping_mode,face_crop_total_pixels,gt_skin_pixels,gt_bg_pixels,gt_hair_pixels,gt_other_pixels,gt_skin_ratio,gt_bg_ratio,gt_hair_ratio,gt_other_ratio
fasseg,3ccfb65e9d0102210b44,true,,,jpeg_quantized_3band,16384,10919,1213,4252,0,0.666,0.074,0.26,0
fasseg,c9029882de9826977e38,true,,,jpeg_quantized_3band,16384,9975,1082,5327,0,0.609,0.066,0.325,0
fasseg,716b5b663eb25ecee2b7,true,,,jpeg_quantized_3band,16384,10586,815,4983,0,0.646,0.05,0.304,0
fasseg,76d47437c3effa9e5833,true,,,jpeg_quantized_3band,16384,9877,700,5807,0,0.603,0.043,0.354,0
fasseg,23050e77db571bae2b25,true,,,jpeg_quantized_3band,16384,11225,736,4423,0,0.685,0.045,0.27,0
fasseg,d42ca83b2ee6e27c168a,true,,,jpeg_quantized_3band,16384,10759,722,4903,0,0.657,0.044,0.299,0
fasseg,485734a2d36a71759e22,true,,,jpeg_quantized_3band,16384,8044,808,7532,0,0.491,0.049,0.46,0
fasseg,0bb932eea409e2c2e6e4,true,,,jpeg_quantized_3band,16384,13917,856,1611,0,0.849,0.052,0.098,0
fasseg,0635cbd45b6a3c2d6668,true,,,jpeg_quantized_3band,16384,7729,740,7915,0,0.472,0.045,0.483,0
fasseg,626fb82add0bbb868801,true,,,jpeg_quantized_3band,16384,11648,866,3870,0,0.711,0.053,0.236,0
fasseg,839bb918b45229ce3699,true,,,jpeg_quantized_3band,16384,11246,789,4349,0,0.686,0.048,0.265,0
fasseg,1a6872a601cb6fa24e7b,true,,,jpeg_quantized_3band,16384,12173,935,3276,0,0.743,0.057,0.2,0
fasseg,20d4a1903718a1c60112,true,,,jpeg_quantized_3band,16384,11905,927,3552,0,0.727,0.057,0.217,0
fasseg,bc8725147f5fc25d614d,true,,,jpeg_quantized_3band,16384,12376,981,3027,0,0.755,0.06,0.185,0
fasseg,f4f706870531da42f8cd,true,,,jpeg_quantized_3band,16384,12244,866,3274,0,0.747,0.053,0.2,0
fasseg,496a1f609d21c5d5e5bd,true,,,jpeg_quantized_3band,16384,10560,786,5038,0,0.645,0.048,0.307,0
fasseg,4381a7495eef1008ed06,true,,,jpeg_quantized_3band,16384,12136,842,3406,0,0.741,0.051,0.208,0
