brand,title,decision,reason_codes,price_amount,price_currency,observed_currency,availability,commerce_gate_status,commerce_gate_problems,url
Bonjour La Vie,Example product,hold,missing_description|non_us_currency_or_market_mismatch|market_currency_mismatch|out_of_stock_or_unavailable|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|placeholder_or_demo_product|non_english_or_local_market_copy_for_us_review,100,EUR,EUR,out_of_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/beauty-example-product-4
Bonjour La Vie,Rebalancing Serum Oil,hold,missing_description|non_us_currency_or_market_mismatch|market_currency_mismatch|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|non_english_or_local_market_copy_for_us_review,45,EUR,EUR,in_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/rebalancing-serum-oil-1
Bonjour La Vie,Rebalancing Fresh Cream,hold,missing_description|non_us_currency_or_market_mismatch|market_currency_mismatch|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|non_english_or_local_market_copy_for_us_review,55,EUR,EUR,in_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/rebalancing-fresh-cream-1
Bonjour La Vie,Replenish Serum Oil | Journey Edition,hold,non_us_currency_or_market_mismatch|market_currency_mismatch|out_of_stock_or_unavailable|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|bundle_set_sample_or_travel_size|non_english_or_local_market_copy_for_us_review,18,EUR,EUR,out_of_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/replenish-serum-oil-journey-edition
Bonjour La Vie,Rebalancing Fresh Cream  | Journey Edition,hold,non_us_currency_or_market_mismatch|market_currency_mismatch|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|bundle_set_sample_or_travel_size|non_english_or_local_market_copy_for_us_review,18,EUR,EUR,in_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/rebalancing-fresh-cream-journey-edition
Bonjour La Vie,One Step Cleansing Milk 50 ml,hold,missing_description|non_us_currency_or_market_mismatch|market_currency_mismatch|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|non_english_or_local_market_copy_for_us_review,15,EUR,EUR,in_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/one-step-cleansing-milk-journey-edition
Bonjour La Vie,Hydra Comfort Cream | Journey Edition,hold,non_us_currency_or_market_mismatch|market_currency_mismatch|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|bundle_set_sample_or_travel_size|non_english_or_local_market_copy_for_us_review,18,EUR,EUR,in_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/hydra-comfort-cream-journey-edition
Bonjour La Vie,Biphasic MakeUp Remover 50 ml,hold,missing_description|non_us_currency_or_market_mismatch|market_currency_mismatch|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|non_english_or_local_market_copy_for_us_review,15,EUR,EUR,in_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/biphasic-makeup-remover-journey-edition
Bonjour La Vie,All Over Toner Mist,hold,missing_description|non_us_currency_or_market_mismatch|market_currency_mismatch|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|non_english_or_local_market_copy_for_us_review,15,EUR,EUR,in_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/all-over-toner-mist-journey-edition
Bonjour La Vie,Replenish Serum Oil,hold,non_us_currency_or_market_mismatch|market_currency_mismatch|out_of_stock_or_unavailable|commerce_facts_gate_hold|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate|non_english_or_local_market_copy_for_us_review,45,EUR,EUR,out_of_stock,hold,market_currency_mismatch|commerce_facts_currency_mismatch|commerce_facts_market_switch_not_ok|missing_multi_offer_merge_candidate,https://bonjourlavie.it/products/replenish-serum-oil
