seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_5de59eb0b35b9735762c5e8d,ext_fda8be630c6dc79ef599df3c,external_seed:ext_fda8be630c6dc79ef599df3c,US,coconutmatter.com,COCONUT MATTER,NOURISHING HAND BALM,https://coconutmatter.com/products/nourishing-hand-balm,https://coconutmatter.com/products/nourishing-hand-balm,prod::external_seed::external_seed::ext_fda8be630c6dc79ef599df3c,ck_93242029aafbd0a67096b1754e51ad10,,true,approved,true,false,brand,sig_5d8d07b8dea0c405f7a34d56e5301278,pl_4272654ccd247748c8497e05,rf_4272654ccd247748c8497e05,true,"""2026-05-26T13:02:01.927Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_fda8be630c6dc79ef599df3c,true,false,not_expected_missing,,ready,,true,4,true,true,true,false,true,sellable:sig_5d8d07b8dea0c405f7a34d56e5301278,true,available,12,12,true,false,,db_serving_ready,,ready_no_action,
eps_355b1bbbc78f41a16577c1fa,ext_c840771410198f627d75673a,external_seed:ext_c840771410198f627d75673a,US,coconutmatter.com,COCONUT MATTER,TINTED COCONUT LIP BALM,https://coconutmatter.com/products/tinted-coconut-lip-balm,https://coconutmatter.com/products/tinted-coconut-lip-balm,prod::external_seed::external_seed::ext_c840771410198f627d75673a,ck_08cae535bb16eed2e5ce8d35b05b9823,,true,approved,true,false,brand,sig_ab0548c0101059f42676a642,pl_b280c2d5a19e59fcfc525550,rf_b280c2d5a19e59fcfc525550,true,"""2026-05-24T03:48:59.346Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_c840771410198f627d75673a,true,false,not_expected_missing,,ready,,true,7,true,true,true,false,true,sellable:sig_ab0548c0101059f42676a642,true,available,19,19,true,false,,db_serving_ready,,ready_no_action,
eps_00026571cb7185b58fb61b65,ext_a7f414cda657f8c5857fafe8,external_seed:ext_a7f414cda657f8c5857fafe8,US,coconutmatter.com,COCONUT MATTER,Goji Shake Shampoo Concentrate | For Treated Hair,https://coconutmatter.com/products/goji-shake-shampoo-concentrate,https://coconutmatter.com/products/goji-shake-shampoo-concentrate,prod::external_seed::external_seed::ext_a7f414cda657f8c5857fafe8,ck_e830e6ab89e057acdc07dd1201061d28,,true,approved,true,false,brand,sig_18d55245c66a1c337b9673be,pl_0d70699a9151610560548951,rf_0d70699a9151610560548951,true,"""2026-05-24T03:48:59.346Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_a7f414cda657f8c5857fafe8,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_18d55245c66a1c337b9673be,true,available,25,25,true,false,,db_serving_ready,,ready_no_action,
eps_b62d981a219a498ecd7b94ed,ext_9518e81076efc5c5138214ee,external_seed:ext_9518e81076efc5c5138214ee,US,coconutmatter.com,COCONUT MATTER,Matcha Shake Shampoo Concentrate | For All Hair Types,https://coconutmatter.com/products/matcha-shake-shampoo-concentrate,https://coconutmatter.com/products/matcha-shake-shampoo-concentrate,prod::external_seed::external_seed::ext_9518e81076efc5c5138214ee,ck_caf813ad51a398597856441b1d72beaf,,true,approved,true,false,brand,sig_2d065c767b6e18a4d7f4a660,pl_7f52f3cb18dea57eab9a16cd,rf_7f52f3cb18dea57eab9a16cd,true,"""2026-05-24T03:48:59.346Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_9518e81076efc5c5138214ee,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_2d065c767b6e18a4d7f4a660,true,available,25,25,true,false,,db_serving_ready,,ready_no_action,
eps_ccfacc32c00451497b119be2,ext_57fe66e03e7b47b972b78c30,external_seed:ext_57fe66e03e7b47b972b78c30,US,coconutmatter.com,COCONUT MATTER,Oaty Shake Body Wash Concentrate,https://coconutmatter.com/products/oaty-shake-body-wash-concentrate,https://coconutmatter.com/products/oaty-shake-body-wash-concentrate,prod::external_seed::external_seed::ext_57fe66e03e7b47b972b78c30,ck_78963a2cc319b03cd8a2e848c9bd8b75,,true,approved,true,false,brand,sig_cd6ca146b0bc7efe26834866,pl_6029041f7f356100d8858990,rf_6029041f7f356100d8858990,true,"""2026-05-24T03:48:59.346Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_57fe66e03e7b47b972b78c30,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_cd6ca146b0bc7efe26834866,true,available,25,25,true,false,,db_serving_ready,,ready_no_action,
eps_f0ee015ae7eba47da94e4e74,ext_94e9169cdf21031b65f760c9,external_seed:ext_94e9169cdf21031b65f760c9,US,activedrip.com,Active Drip,HA + PEPTIDES EYE CARE,https://activedrip.com/products/hyaluronic-acid-peptides-eye-contour,https://activedrip.com/products/hyaluronic-acid-peptides-eye-contour,prod::external_seed::external_seed::ext_94e9169cdf21031b65f760c9,ck_8be314aaab5a1cbd97c1952915a97a80,,true,approved,true,false,brand,sig_bf0b6eefa60f65c056fa90c3,pl_f52d9ef18be312ad54546aaf,rf_f52d9ef18be312ad54546aaf,true,"""2026-05-24T03:48:59.345Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_94e9169cdf21031b65f760c9,true,false,missing_hero,missing_hero,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_bf0b6eefa60f65c056fa90c3,true,available,41.9,41.9,true,false,,db_serving_ready,,ready_no_action,
eps_26bfa88c0df072e2479a6438,ext_daba06ea03080351d96dd6f9,external_seed:ext_daba06ea03080351d96dd6f9,US,activedrip.com,Active Drip,CICA MILK DRIP,https://activedrip.com/products/cica-b5-recovery-serum,https://activedrip.com/products/cica-b5-recovery-serum,prod::external_seed::external_seed::ext_daba06ea03080351d96dd6f9,ck_c1a366ca8e4cfbf0e7f89ae0ce29088f,,true,approved,true,false,brand,sig_d0887c6192dc04533b1643d8,pl_0a48ca569b74107332dd9d98,rf_0a48ca569b74107332dd9d98,true,"""2026-05-24T03:48:59.345Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_daba06ea03080351d96dd6f9,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_d0887c6192dc04533b1643d8,true,available,58.5,58.5,true,false,,db_serving_ready,,ready_no_action,
eps_6bee4780bb22777b33fc2a96,ext_441b5d142009ef8ae5082262,external_seed:ext_441b5d142009ef8ae5082262,US,activedrip.com,Active Drip,HYDRATE DRIP,https://activedrip.com/products/hyaluronic-acid-b12-b5-serum,https://activedrip.com/products/hyaluronic-acid-b12-b5-serum,prod::external_seed::external_seed::ext_441b5d142009ef8ae5082262,ck_b6008c0bc6323cc01f437e4c327903a3,,true,approved,true,false,brand,sig_059a529bc3acbb6e14d8a572,pl_f1d65081da00a08b5c777ef5,rf_f1d65081da00a08b5c777ef5,true,"""2026-05-24T03:48:59.345Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_441b5d142009ef8ae5082262,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_059a529bc3acbb6e14d8a572,true,available,52.9,52.9,true,false,,db_serving_ready,,ready_no_action,
eps_633a1262b01a320dccb6adfe,ext_7e270c8cb635a23a446a76f9,external_seed:ext_7e270c8cb635a23a446a76f9,US,activedrip.com,Active Drip,THE ICONIC MOISTURISER,https://activedrip.com/products/vitamin-c-hyaluronic-acid-moisturising-and-antioxidant-cream,https://activedrip.com/products/vitamin-c-hyaluronic-acid-moisturising-and-antioxidant-cream,prod::external_seed::external_seed::ext_7e270c8cb635a23a446a76f9,ck_1e1fcfdf6bf937afaf821b60eaa7fa41,,true,approved,true,false,brand,sig_edf6265ef8f5fea9d8f515b1,pl_40036ac8420b1b0f0dabb8ef,rf_40036ac8420b1b0f0dabb8ef,true,"""2026-05-24T03:48:59.345Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_7e270c8cb635a23a446a76f9,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_edf6265ef8f5fea9d8f515b1,true,available,59.9,59.9,true,false,,db_serving_ready,,ready_no_action,
eps_5d751ca5bd7874a40bc43f1d,ext_833660ffbf5c744869351463,external_seed:ext_833660ffbf5c744869351463,US,activedrip.com,Active Drip,R-Q10 EYE CARE,https://activedrip.com/products/retinol-q10-anti-age-eye-contour,https://activedrip.com/products/retinol-q10-anti-age-eye-contour,prod::external_seed::external_seed::ext_833660ffbf5c744869351463,ck_84f68a12b7b0a8c700ceec8683e86718,,true,approved,true,false,brand,sig_14610235032af8eede7f0783,pl_aba7922389c9f39dfd209259,rf_aba7922389c9f39dfd209259,true,"""2026-05-24T03:48:59.345Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_833660ffbf5c744869351463,true,false,missing_hero,missing_hero,no_visible_variant_axis,,true,1,true,true,true,false,true,sellable:sig_14610235032af8eede7f0783,true,available,41.9,41.9,true,false,,db_serving_ready,,ready_no_action,
