domain,brand,target_products,catalog_pdp_products,catalog_pdp_coverage_pct,db_serving_ready_products,db_serving_ready_coverage_pct,identity_ready_products,reviewed_product_intel_products,high_quality_product_intel_products,high_quality_intel_coverage_pct,explicit_blocker_products,blocker_summary
joujoubotanicals.com,JouJou,11,11,100,11,100,11,11,11,100,0,
786cosmetics.com,786 Cosmetics,10,10,100,10,100,10,10,10,100,0,
nubest.com,NuBest,10,10,100,10,100,10,10,10,100,0,
activedrip.com,Active Drip,8,8,100,8,100,8,8,8,100,0,
khus-khus.com,KHUS KHUS,8,8,100,8,100,8,8,8,100,0,
nalacare.com,Nala Care,8,8,100,8,100,8,8,8,100,0,
coconutmatter.com,COCONUT MATTER,7,7,100,6,85.7,6,6,6,85.7,1,no_seed:1
delicatedaisys.com,Delicate Daisys Botanical Beauty,7,7,100,7,100,7,7,7,100,0,
abyssianhaircare.com,Abyssian,6,6,100,6,100,6,6,6,100,0,
lhamour.com,Lhamour,6,6,100,6,100,6,6,6,100,0,
7journeys.com,7Journeys,5,5,100,5,100,5,5,5,100,0,
apiceuticals.com,Apiceuticals,5,5,100,5,100,5,5,5,100,0,
lucamarskincare.com,Lucamar Skin Care,5,5,100,5,100,5,5,5,100,0,
lovemasami.com,MASAMI,4,4,100,4,100,4,4,4,100,0,
seresilk.com.au,Seresilk,4,4,100,4,100,4,4,4,100,0,
daebyskin.com,DAEBY,2,2,100,2,100,2,2,2,100,0,
joocyee.com,Joocyee,2,2,100,2,100,2,2,2,100,0,
rohrremedy.com,Rohr Remedy,2,2,100,2,100,2,2,2,100,0,
aetasofficial.com,Aetās,1,1,100,1,100,1,1,1,100,0,
