seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_d972bf748c6a7e5e4e2798b3,ext_6df19f2224fec208ca6eeea7,external_seed:ext_6df19f2224fec208ca6eeea7,US,tirtir.global,TIRTIR Global,Matcha Bubble Tea Scrub,https://tirtir.global/products/matcha-bubble-tea-scrub,https://tirtir.global/products/matcha-bubble-tea-scrub,prod::external_seed::external_seed::ext_6df19f2224fec208ca6eeea7,ck_bc0229350d1363b0a3aa3b8e05dacae3,,true,approved,true,false,brand,sig_5abe8ea9ba3e746fb2a44d8a,pl_9f06fc6e6e92e49cfa56bdc3,rf_9f06fc6e6e92e49cfa56bdc3,true,"""2026-06-01T04:56:02.971Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_6df19f2224fec208ca6eeea7,true,false,possibly_inci_guess,possibly_inci_guess,ready,,true,1,true,true,true,false,true,sellable:sig_5abe8ea9ba3e746fb2a44d8a,true,available,20,20,true,false,,db_serving_ready,,ready_no_action,
eps_cf3ed51499e5db55536e1ce7,ext_664b859ce2599a57c3f1f7ce,external_seed:ext_664b859ce2599a57c3f1f7ce,US,upcirclebeauty.com,UpCircle Beauty,Body Oil with Passion Fruit Oil,https://upcirclebeauty.com/products/natural-body-oil,https://upcirclebeauty.com/products/natural-body-oil,prod::external_seed::external_seed::ext_664b859ce2599a57c3f1f7ce,ck_7dbf86d2813befe627d4ec79c0ebeaca,,true,approved,true,false,brand,sig_e434b90902740f110390a11d,pl_34353c60327a69c56ed0b8a5,rf_34353c60327a69c56ed0b8a5,true,"""2026-06-01T04:53:26.418Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_664b859ce2599a57c3f1f7ce,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_1bc6f7bd7c0610d438bb1e7f,ext_f1f3ce59fac13141b98a911f,external_seed:ext_f1f3ce59fac13141b98a911f,US,upcirclebeauty.com,UpCircle Beauty,Cinnamon + Ginger Chai Cleansing Bar,https://upcirclebeauty.com/products/cinnamon-ginger-chai-soap-bar,https://upcirclebeauty.com/products/cinnamon-ginger-chai-soap-bar,prod::external_seed::external_seed::ext_f1f3ce59fac13141b98a911f,ck_a11ca731f9a7fa79a778df8af0a6ac64,,true,approved,true,false,brand,sig_226946a6ba84e4cda0525ac6,pl_405166bb906040880994f14a,rf_405166bb906040880994f14a,true,"""2026-06-01T04:53:26.418Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_f1f3ce59fac13141b98a911f,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_8ecfa7102bfdc978accaca76,ext_23ae4c5d9d8f2a8be363f2cc,external_seed:ext_23ae4c5d9d8f2a8be363f2cc,US,upcirclebeauty.com,UpCircle Beauty,Body Scrub with Coffee + Lemongrass,https://upcirclebeauty.com/products/coffee-body-scrub-with-lemongrass-200ml,https://upcirclebeauty.com/products/coffee-body-scrub-with-lemongrass-200ml,prod::external_seed::external_seed::ext_23ae4c5d9d8f2a8be363f2cc,ck_5ca14306e90b69f0ca48884c5779615a,,true,approved,true,false,brand,sig_82b28455d7df7a1f79243cc8,pl_2f22e821d4021b2afb7df068,rf_2f22e821d4021b2afb7df068,true,"""2026-06-01T04:53:26.418Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_23ae4c5d9d8f2a8be363f2cc,true,false,not_expected_missing,,ready,,true,2,true,false,false,false,false,,false,,,,false,true,post_repair_audit_failed_similar_gate,terminal_hold,post_repair_audit_failed_similar_gate,terminal_hold_no_action,
eps_12af37897502654f3f50019c,ext_7ba277de9baadb1584ae2a5a,external_seed:ext_7ba277de9baadb1584ae2a5a,US,tirtir.global,TIRTIR Global,Mask Fit Red Foundation,https://tirtir.global/products/mask-fit-red-foundation,https://tirtir.global/products/mask-fit-red-foundation,prod::external_seed::external_seed::ext_7ba277de9baadb1584ae2a5a,ck_5ace6400f84e2dcd4daba0104f413230,,true,approved,true,false,brand,sig_e9eb4ad850a3605a4ca35916,pl_3217d0ad5ded4c789401a91b,rf_3217d0ad5ded4c789401a91b,true,"""2026-05-06T18:01:11.861Z""",,displayable,true,true,true,verified,seller_plus_reviews,,,ext_7ba277de9baadb1584ae2a5a,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_e9eb4ad850a3605a4ca35916,true,available,24.3,24.3,true,false,,db_serving_ready,,ready_no_action,
eps_103c92b2eafaefa2e894f041,ext_6815bee1060ef71d9a99ce5b,external_seed:ext_6815bee1060ef71d9a99ce5b,US,upcirclebeauty.com,UpCircle Beauty,Cleansing Face Milk with Oat Powder + Aloe Vera,https://upcirclebeauty.com/products/oat-face-cleanser,https://upcirclebeauty.com/products/oat-face-cleanser,prod::external_seed::external_seed::ext_6815bee1060ef71d9a99ce5b,ck_0b54257673dcc286f00d8b869a13b7ff,,true,approved,true,false,brand,sig_69612c2d0788a9296c85e6ef,pl_87c8aa61bd6e80c707f34959,rf_87c8aa61bd6e80c707f34959,true,"""2026-06-01T04:53:26.418Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_6815bee1060ef71d9a99ce5b,true,false,possibly_inci_guess,possibly_inci_guess,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_511518c202575f113c1c6613,ext_263b61b2d374b255d121c928,external_seed:ext_263b61b2d374b255d121c928,US,tirtir.global,TIRTIR Global,Mask Fit Makeup Fixer,https://tirtir.global/products/mask-fit-makeup-fixer,https://tirtir.global/products/mask-fit-makeup-fixer,prod::external_seed::external_seed::ext_263b61b2d374b255d121c928,ck_7a3e9f1df3912e2001efbf7db7933d09,,true,approved,true,false,brand,sig_79cca2035b5b915d020b6c1a,pl_f97de0a07edadb9085d87f0c,rf_f97de0a07edadb9085d87f0c,true,"""2026-06-01T04:56:02.971Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_263b61b2d374b255d121c928,true,false,not_expected_missing,,ready,,true,1,true,true,true,false,true,sellable:sig_79cca2035b5b915d020b6c1a,true,available,15,15,true,false,,db_serving_ready,,ready_no_action,
eps_66722b8a57d44ea5b98e0d9d,ext_0c7bfbaafb9eab5f2261f109,external_seed:ext_0c7bfbaafb9eab5f2261f109,US,kyliecosmetics.com,kylie cosmetics,Bare Necessities Lip Combo,https://kyliecosmetics.com/products/bare-necessities-lip-combo,https://kyliecosmetics.com/products/bare-necessities-lip-combo,prod::external_seed::external_seed::ext_0c7bfbaafb9eab5f2261f109,ck_ff8730364c54803d81c1149184f15f25,price|currency,true,approved,true,false,brand,sig_8399a2de1ab088373f0eb527,pl_d49dd7f5e44196e461a7d973,rf_d49dd7f5e44196e461a7d973,true,"""2026-06-01T04:53:26.418Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_0c7bfbaafb9eab5f2261f109,true,false,not_applicable_product_family,,ready,,true,2,true,false,false,false,false,,false,,,,false,true,official_product_redirects_to_non_product_page,terminal_hold,official_product_redirects_to_non_product_page,terminal_hold_no_action,
eps_b45eb0c231876b76776cb754,ext_68ad409f681f1278525ced16,external_seed:ext_68ad409f681f1278525ced16,US,tirtir.global,TIRTIR Global,Mask Fit Aura Cushion,https://tirtir.global/products/mask-fit-aura-cushion,https://tirtir.global/products/mask-fit-aura-cushion,prod::external_seed::external_seed::ext_68ad409f681f1278525ced16,ck_731f655716a81e607fbba016d5bc0e88,,true,review_required,false,true,brand,sig_22e245365f57d4a42511470c,pl_d7e8bc8fd1a1e884d376db69,rf_d7e8bc8fd1a1e884d376db69,true,"""2026-06-01T04:56:02.971Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_68ad409f681f1278525ced16,true,false,not_expected_missing,,ready,,true,1,true,true,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled|identity_status_review_required|review_required,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_829f1f6845e04c26a03c006f,ext_c989d8297287ad108ef57250,external_seed:ext_c989d8297287ad108ef57250,US,tirtir.global,TIRTIR Global,Matcha Dual Serum,https://tirtir.global/products/matcha-dual-serum,https://tirtir.global/products/matcha-dual-serum,prod::external_seed::external_seed::ext_c989d8297287ad108ef57250,ck_fbe102991097ac17bb52f5f52ebd439a,,true,approved,true,false,brand,sig_9440c44f3b2bf769f6944c44,pl_0be1a5bc73df794e41eecd46,rf_0be1a5bc73df794e41eecd46,true,"""2026-06-01T04:56:02.971Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_c989d8297287ad108ef57250,true,false,ready_hero,,ready,,true,2,true,true,true,false,true,sellable:sig_9440c44f3b2bf769f6944c44,true,available,29,29,true,false,,db_serving_ready,,ready_no_action,
