seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_f4235285f6517cbd8a21202c,ext_2fc7cc1ac3370464b4b923d3,external_seed:ext_2fc7cc1ac3370464b4b923d3,US,786cosmetics.com,786 Cosmetics,Bahrain - Breathable Nail Polish,https://786cosmetics.com/products/bahrain-breathable-nail-polish,https://786cosmetics.com/products/bahrain-breathable-nail-polish,prod::external_seed::external_seed::ext_2fc7cc1ac3370464b4b923d3,ck_b8d7e7bca9ad1d296ebbc1938ad4c544,,true,approved,true,false,brand,sig_f09b74bb65313b362fb669d6,pl_fba5e27a12cc762831b66240,rf_fba5e27a12cc762831b66240,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_2fc7cc1ac3370464b4b923d3,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_2877c8f1b1f9ef8f2ee954cc,ext_151aebc5b6246b8d2d9a877b,external_seed:ext_151aebc5b6246b8d2d9a877b,US,786cosmetics.com,786 Cosmetics,Agra - Breathable Nail Polish,https://786cosmetics.com/products/agra-breathable-nail-polish,https://786cosmetics.com/products/agra-breathable-nail-polish,prod::external_seed::external_seed::ext_151aebc5b6246b8d2d9a877b,ck_734aab4f4544edb40534872674180b43,,true,approved,true,false,brand,sig_f4c7019e2286dbb023363806,pl_1c1a44609e18c0275da965c9,rf_1c1a44609e18c0275da965c9,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_151aebc5b6246b8d2d9a877b,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_c5c1d91929bc244958ce9fb9,ext_36b452da1e0dde5c19bd2ed0,external_seed:ext_36b452da1e0dde5c19bd2ed0,US,786cosmetics.com,786 Cosmetics,Casablanca - Breathable Nail Polish,https://786cosmetics.com/products/casablanca-breathable-nail-polish,https://786cosmetics.com/products/casablanca-breathable-nail-polish,prod::external_seed::external_seed::ext_36b452da1e0dde5c19bd2ed0,ck_20fc83f1c2b52303040519accb5cf34c,,true,approved,true,false,brand,sig_38239666ff461573fb2a2e97,pl_8e8461b0f4d2e782481fb366,rf_8e8461b0f4d2e782481fb366,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_36b452da1e0dde5c19bd2ed0,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_6048ca743d2cf89043c4b8f2,ext_0d844fc65fd3348e35a09c80,external_seed:ext_0d844fc65fd3348e35a09c80,US,786cosmetics.com,786 Cosmetics,Abu Dhabi - Breathable Nail Polish,https://786cosmetics.com/products/abu-dhabi-breathable-nail-polish,https://786cosmetics.com/products/abu-dhabi-breathable-nail-polish,prod::external_seed::external_seed::ext_0d844fc65fd3348e35a09c80,ck_9265bf86ae4e6575e31a9e819211c3a1,,true,approved,true,false,brand,sig_8b6a01382b49a71e45aff8ac,pl_850beb368501e1bc02aa1cf9,rf_850beb368501e1bc02aa1cf9,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_0d844fc65fd3348e35a09c80,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_6f48694970df70f1649d4d26,ext_33fa1a749060cefdd3e0dc2b,external_seed:ext_33fa1a749060cefdd3e0dc2b,US,786cosmetics.com,786 Cosmetics,Beirut - Breathable Nail Polish,https://786cosmetics.com/products/beirut-breathable-nail-polish,https://786cosmetics.com/products/beirut-breathable-nail-polish,prod::external_seed::external_seed::ext_33fa1a749060cefdd3e0dc2b,ck_e0f3cb49b43490170aec7b69aed6a534,,true,approved,true,false,brand,sig_80adec5b3460ba6136c3ae68,pl_58dd347263aa3cfc1050641c,rf_58dd347263aa3cfc1050641c,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_33fa1a749060cefdd3e0dc2b,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_d9869c986c24b371b75bb144,ext_abd25039dea2189dfcca8079,external_seed:ext_abd25039dea2189dfcca8079,US,786cosmetics.com,786 Cosmetics,Patagonia - Breathable Nail Polish,https://786cosmetics.com/products/patagonia-breathable-nail-polish,https://786cosmetics.com/products/patagonia-breathable-nail-polish,prod::external_seed::external_seed::ext_abd25039dea2189dfcca8079,ck_854ee4b8358c2c6f85a79180238b2c4c,,true,approved,true,false,brand,sig_0b9d23782833ad5356ac276a,pl_e59ed8ee8e78a6051bdf86e9,rf_e59ed8ee8e78a6051bdf86e9,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_abd25039dea2189dfcca8079,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_d4e632768a881bff8a952422,ext_efe7512de8c6df9f75ca19e0,external_seed:ext_efe7512de8c6df9f75ca19e0,US,786cosmetics.com,786 Cosmetics,Dubrovnik - Breathable Nail Polish,https://786cosmetics.com/products/dubrovnik-breathable-nail-polish,https://786cosmetics.com/products/dubrovnik-breathable-nail-polish,prod::external_seed::external_seed::ext_efe7512de8c6df9f75ca19e0,ck_31d77dfa4a22ccc51bb809dcd8df9e6e,,true,approved,true,false,brand,sig_334c164a037b883cdb4e9078,pl_cf8a525c866c73d9cf80a388,rf_cf8a525c866c73d9cf80a388,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_efe7512de8c6df9f75ca19e0,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_ce8262fbf4999342ebc97f69,ext_55b774d3c57906a77a7167f0,external_seed:ext_55b774d3c57906a77a7167f0,US,786cosmetics.com,786 Cosmetics,Sorrento - Breathable Nail Polish,https://786cosmetics.com/products/sorrento-breathable-nail-polish,https://786cosmetics.com/products/sorrento-breathable-nail-polish,prod::external_seed::external_seed::ext_55b774d3c57906a77a7167f0,ck_2185229a1f355cd00193378e573aeec7,,true,approved,true,false,brand,sig_337355ebd00dcd80367973fb,pl_5d796a0d4c81c0e513ee95c7,rf_5d796a0d4c81c0e513ee95c7,true,"""2026-06-01T08:27:57.616Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_55b774d3c57906a77a7167f0,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_323070413b1efd1e46ef2723,ext_5f55c01bae5cd6b5f0a0e78e,external_seed:ext_5f55c01bae5cd6b5f0a0e78e,US,786cosmetics.com,786 Cosmetics,Dakar - Breathable Nail Polish,https://786cosmetics.com/products/dakar-breathable-nail-polish,https://786cosmetics.com/products/dakar-breathable-nail-polish,prod::external_seed::external_seed::ext_5f55c01bae5cd6b5f0a0e78e,ck_5ea740060f9257edc37ef144807e6cc8,,true,approved,true,false,brand,sig_6ab9aef32646e31b8520db08,pl_f55869297b676129a9da7aea,rf_f55869297b676129a9da7aea,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_5f55c01bae5cd6b5f0a0e78e,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_99ec566b1f749b6e2d21e127,ext_faf89834933316df0d8da973,external_seed:ext_faf89834933316df0d8da973,US,786cosmetics.com,786 Cosmetics,Azores - Breathable Nail Polish,https://786cosmetics.com/products/azores-breathable-nail-polish,https://786cosmetics.com/products/azores-breathable-nail-polish,prod::external_seed::external_seed::ext_faf89834933316df0d8da973,ck_8b5759885e2a069c985e6d53d09d11e6,,true,approved,true,false,brand,sig_e86eacac8d29e3f2ea6c369a,pl_08285d8280323a358a32cf78,rf_08285d8280323a358a32cf78,true,"""2026-06-01T08:27:52.449Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_faf89834933316df0d8da973,true,false,not_expected_missing,,ready,,true,1,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
