seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_fa653c2abb9f5615a7210ba4,ext_1030e828c320440354e98895,external_seed:ext_1030e828c320440354e98895,US,nubest.com,NuBest,"Doctor Taller Kids – Grape Multivitamin Chewables for Children Ages 2–9, 60 Vegan Gummies",https://www.nubest.com/products/shopping-doctor-taller-kids-grape-multivitamins-ages-2-9-60-vegan-chewables,https://www.nubest.com/products/shopping-doctor-taller-kids-grape-multivitamins-ages-2-9-60-vegan-chewables,prod::external_seed::external_seed::ext_1030e828c320440354e98895,ck_f72e04a7542856f7ff0cd580d2714eaf,,true,approved,true,false,brand,sig_4c93831a6ac6280cdb74c78f,pl_729558ed418c57efc0b0d821,rf_729558ed418c57efc0b0d821,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_1030e828c320440354e98895,false,false,ready_hero,,ready,,true,3,true,true,false,false,true,sellable:sig_4c93831a6ac6280cdb74c78f,false,missing,39.9,39.9,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1030e828c320440354e98895 --limit 1 --skip-gemini
eps_4dce931262d1bdefd8a7b3a4,ext_2da6f7615154860df7bdb07b,external_seed:ext_2da6f7615154860df7bdb07b,US,nubest.com,NuBest,"Doctor Plus, For Children & Teens - 60 Capsules",https://www.nubest.com/products/shopping-doctor-plus-for-children-teens-60-capsules,https://www.nubest.com/products/shopping-doctor-plus-for-children-teens-60-capsules,prod::external_seed::external_seed::ext_2da6f7615154860df7bdb07b,ck_9e0e726a268d7d8331e20f206bfbe944,,true,approved,true,false,brand,sig_317ceee757853418a819770f,pl_819f22828b1eabe1de6545ea,rf_819f22828b1eabe1de6545ea,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_2da6f7615154860df7bdb07b,false,false,missing_hero,missing_hero|active_raw_may_be_full_inci,ready,,true,6,true,true,false,false,true,sellable:sig_317ceee757853418a819770f,false,missing,57,57,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_2da6f7615154860df7bdb07b --limit 1 --skip-gemini
eps_77a653b4d6e670302f050821,ext_461efc4478853cf6cac8d4e9,external_seed:ext_461efc4478853cf6cac8d4e9,US,nubest.com,NuBest,"NuBest Tall Protein, Chocolate Shake, 15 servings - Pack 1",https://www.nubest.com/products/shopping-nubest-tall-protein-chocolate-shake-15-servings-pack-1,https://www.nubest.com/products/shopping-nubest-tall-protein-chocolate-shake-15-servings-pack-1,prod::external_seed::external_seed::ext_461efc4478853cf6cac8d4e9,ck_69bb8da60986f4e2378cb3531299b5fb,,true,approved,true,false,brand,sig_98b4b303ba933a3767f0a2e4,pl_c6f4876b395bea5de1b8feac,rf_c6f4876b395bea5de1b8feac,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_461efc4478853cf6cac8d4e9,false,false,ready_hero,,no_visible_variant_axis,,true,1,true,true,false,false,true,sellable:sig_98b4b303ba933a3767f0a2e4,false,missing,45.99,45.99,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_461efc4478853cf6cac8d4e9 --limit 1 --skip-gemini
eps_f35503f232d28ef3c6a194cf,ext_4e7ae04d68622ea157a494da,external_seed:ext_4e7ae04d68622ea157a494da,US,nubest.com,NuBest,Grow Power Capsules for Kids & Teens – 60 Count,https://www.nubest.com/products/shopping-grow-power-capsules-for-kids-teens-60-count,https://www.nubest.com/products/shopping-grow-power-capsules-for-kids-teens-60-count,prod::external_seed::external_seed::ext_4e7ae04d68622ea157a494da,ck_6d2856cdbdb4d33d05865e838fd47c27,,true,approved,true,false,brand,sig_ee74af93bb94cc4e12818554,pl_90bcfbd9c787f5bf48761157,rf_90bcfbd9c787f5bf48761157,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_4e7ae04d68622ea157a494da,false,false,missing_hero,missing_hero|active_raw_may_be_full_inci,ready,,true,3,true,true,false,false,true,sellable:sig_ee74af93bb94cc4e12818554,false,missing,38.79,38.79,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_4e7ae04d68622ea157a494da --limit 1 --skip-gemini
eps_9dd6aeba20e815deb77f0fcd,ext_97ffa9c22f3a8ea415454e83,external_seed:ext_97ffa9c22f3a8ea415454e83,US,nubest.com,NuBest,NuBest Tall 10+ - Powerful Growth Support for Teens - 60 Capsules,https://www.nubest.com/products/nubest-tall-10-powerful-growth-support-for-teens-60-capsules,https://www.nubest.com/products/nubest-tall-10-powerful-growth-support-for-teens-60-capsules,prod::external_seed::external_seed::ext_97ffa9c22f3a8ea415454e83,ck_2637551b032c28c46fadb0352b6cf5f9,,true,approved,true,false,brand,sig_261c572920501e7609d27c07,pl_4c7397cbf542f63a6416b61b,rf_4c7397cbf542f63a6416b61b,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_97ffa9c22f3a8ea415454e83,false,false,not_expected_missing,,ready,,true,4,true,true,false,false,true,sellable:sig_261c572920501e7609d27c07,false,missing,55,55,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_97ffa9c22f3a8ea415454e83 --limit 1 --skip-gemini
eps_e0054cd1d3d5f54005acd0e1,ext_9fbfa632c4a275917f5a0da0,external_seed:ext_9fbfa632c4a275917f5a0da0,US,nubest.com,NuBest,Omega-3 Vegan Gummies for Kids & Teens - 60 Count,https://www.nubest.com/products/shopping-omega-3-vegan-gummies-for-kids-teens-60-count,https://www.nubest.com/products/shopping-omega-3-vegan-gummies-for-kids-teens-60-count,prod::external_seed::external_seed::ext_9fbfa632c4a275917f5a0da0,ck_912ae9019fe3957da683697f5d0ed7a9,,true,approved,true,false,brand,sig_d13ab80163787fb4f49ee372,pl_97e06afff18d8e65f1ddc868,rf_97e06afff18d8e65f1ddc868,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_9fbfa632c4a275917f5a0da0,false,false,not_expected_missing,,ready,,true,3,true,true,false,false,true,sellable:sig_d13ab80163787fb4f49ee372,false,missing,26.99,26.99,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_9fbfa632c4a275917f5a0da0 --limit 1 --skip-gemini
eps_31d729ede0a776565b6fcaac,ext_acff84a9f77766e338b83f44,external_seed:ext_acff84a9f77766e338b83f44,US,nubest.com,NuBest,"NuBest Tall Kids – Berry Multivitamin Chewables for Ages 2–9, 60 Count",https://www.nubest.com/products/shopping-nubest-tall-kids-multivitamins-berry-flavor-ages-2-9-60-chewables,https://www.nubest.com/products/shopping-nubest-tall-kids-multivitamins-berry-flavor-ages-2-9-60-chewables,prod::external_seed::external_seed::ext_acff84a9f77766e338b83f44,ck_fb106f02acd9fb1098cef7ca11a75b73,,true,approved,true,false,brand,sig_ede8efb8e75e43519dbf3987,pl_66927800e191f205bccfae36,rf_66927800e191f205bccfae36,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_acff84a9f77766e338b83f44,false,false,ready_hero,active_raw_may_be_full_inci,ready,,true,3,true,true,false,false,true,sellable:sig_ede8efb8e75e43519dbf3987,false,missing,39,39,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_acff84a9f77766e338b83f44 --limit 1 --skip-gemini
eps_01535ed893abbdd17702a9e8,ext_d6eb3ee536ac3d49561aaa5f,external_seed:ext_d6eb3ee536ac3d49561aaa5f,US,nubest.com,NuBest,NuBest Immune Gummies for Kids (Ages 4+) - 19 Essential Nutrients for Immune Support & Healthy Development - Raspberry Flavor (60 Count),https://www.nubest.com/products/nubest-immune-gummies,https://www.nubest.com/products/nubest-immune-gummies,prod::external_seed::external_seed::ext_d6eb3ee536ac3d49561aaa5f,ck_7df328fd5f9f2d1687fca535dd2e9166,,true,approved,true,false,brand,sig_2ee2ceed34ed871302742e19,pl_7888a1284dd8c19642e87de0,rf_7888a1284dd8c19642e87de0,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_d6eb3ee536ac3d49561aaa5f,false,false,ready_hero,,ready,,true,3,true,true,false,false,true,sellable:sig_2ee2ceed34ed871302742e19,false,missing,26.99,26.99,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_d6eb3ee536ac3d49561aaa5f --limit 1 --skip-gemini
eps_d8a263899760ccf29cf80dc6,ext_d6f78ec76732918fef0b7d5b,external_seed:ext_d6f78ec76732918fef0b7d5b,US,nubest.com,NuBest,"NuBest Tall Protein Vanilla Shake for Kids Ages 4+, 10 Vegan Servings - Pack 1",https://www.nubest.com/products/shopping-nubest-tall-protein-vanilla-shake-for-kids-ages-4-10-vegan-servings-pack-1,https://www.nubest.com/products/shopping-nubest-tall-protein-vanilla-shake-for-kids-ages-4-10-vegan-servings-pack-1,prod::external_seed::external_seed::ext_d6f78ec76732918fef0b7d5b,ck_ca28442ff7b3e922c3558c7af64255dd,,true,approved,true,false,brand,sig_460f1dfa79504abc86ed16a3,pl_9f7b8f92ba90ef3469d2c6d1,rf_9f7b8f92ba90ef3469d2c6d1,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_d6f78ec76732918fef0b7d5b,false,false,ready_hero,,no_visible_variant_axis,,true,1,true,true,false,false,true,sellable:sig_460f1dfa79504abc86ed16a3,false,missing,35.99,35.99,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_d6f78ec76732918fef0b7d5b --limit 1 --skip-gemini
eps_9c8a2cdfd47ea3ea8212ab35,ext_fb76b45f22e546e331d4904f,external_seed:ext_fb76b45f22e546e331d4904f,US,nubest.com,NuBest,"Doctor Taller Kids Multivitamins – Grape Flavor, Vegan Chewables for Ages 2–9 (90 Count)",https://www.nubest.com/products/shopping-doctor-taller-kids-grape-multivitamins-ages-2-9-90-vegan-chewables,https://www.nubest.com/products/shopping-doctor-taller-kids-grape-multivitamins-ages-2-9-90-vegan-chewables,prod::external_seed::external_seed::ext_fb76b45f22e546e331d4904f,ck_4ce8c1ac4026b8e4854c144f0727e3fe,,true,approved,true,false,brand,sig_b4865783d67e45dd3b829932,pl_ad3adc8c8f1756c1187f4dd8,rf_ad3adc8c8f1756c1187f4dd8,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_fb76b45f22e546e331d4904f,false,false,ready_hero,,ready,,true,3,true,true,false,false,true,sellable:sig_b4865783d67e45dd3b829932,false,missing,59,59,true,false,,kb_missing,missing_direct_product_intel_kb,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_fb76b45f22e546e331d4904f --limit 1 --skip-gemini
