seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_ed40abaf48a059aec2f56de6,ext_05040ea019efc2b0fe1a9111,external_seed:ext_05040ea019efc2b0fe1a9111,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Firming & Polishing Body Scrub Sea Salt & Pineapple,https://delicatedaisys.com/products/firming-polishing-body-scrub-sea-salt-pineapple,https://delicatedaisys.com/products/firming-polishing-body-scrub-sea-salt-pineapple,prod::external_seed::external_seed::ext_05040ea019efc2b0fe1a9111,ck_66facc6dd32b76a4154b3ed246f4655e,,true,approved,false,false,brand,sig_1119fff3f297236de888e10b,pl_ac123a0115f82b6857d39759,rf_ac123a0115f82b6857d39759,true,"""2026-05-23T02:33:39.817Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_05040ea019efc2b0fe1a9111,true,false,missing_hero,missing_hero,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_21794d2c1b706f4b3c7887b6,ext_31b732e4e40c0579c5f4c554,external_seed:ext_31b732e4e40c0579c5f4c554,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Nourishing Probiotic Body Wash Pineapple,https://delicatedaisys.com/products/nourishing-probiotic-body-wash-pineapple,https://delicatedaisys.com/products/nourishing-probiotic-body-wash-pineapple,prod::external_seed::external_seed::ext_31b732e4e40c0579c5f4c554,ck_3cdc41ae3f99cc70d825d4e19508652b,,true,approved,false,false,brand,sig_f5a6f90732c4af20fc4612ac,pl_4cbf4e7bc1ddddccdacddbd4,rf_4cbf4e7bc1ddddccdacddbd4,true,"""2026-05-23T02:33:39.818Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_31b732e4e40c0579c5f4c554,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_9c3a54c931f5b4bdf1e65b03,ext_3405f1b2b381c9a5e0941c20,external_seed:ext_3405f1b2b381c9a5e0941c20,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Glimmer Tanning Body Oil Colloidal Gold,https://delicatedaisys.com/products/glimmer-tanning-body-oil-colloidal-gold,https://delicatedaisys.com/products/glimmer-tanning-body-oil-colloidal-gold,prod::external_seed::external_seed::ext_3405f1b2b381c9a5e0941c20,ck_44d31ab325cab1ad43069adce7e4ebd1,,true,approved,false,false,brand,sig_46a6391643f5a1383dd066e6,pl_37647bb6da4e2d9cc223fa96,rf_37647bb6da4e2d9cc223fa96,true,"""2026-05-23T02:33:39.818Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_3405f1b2b381c9a5e0941c20,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_28b4bb316fea9db44b3dd3e0,ext_397a1dbbcab4ad4a246b6a8c,external_seed:ext_397a1dbbcab4ad4a246b6a8c,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,"Bulgarian Rose Water Face, Hair & Body Mist Spray",https://delicatedaisys.com/products/bulgarian-rose-water-face-hair-body-mist-spray,https://delicatedaisys.com/products/bulgarian-rose-water-face-hair-body-mist-spray,prod::external_seed::external_seed::ext_397a1dbbcab4ad4a246b6a8c,ck_0ef11cc37991276d8dd837a2522ed69c,,true,approved,false,false,brand,sig_5e89f7b2b9ef3870e60db6da,pl_27453100a670ade6c6c51fd3,rf_27453100a670ade6c6c51fd3,true,"""2026-05-23T02:33:39.817Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_397a1dbbcab4ad4a246b6a8c,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_1af3062b970e3d57f0b84a5c,ext_5232f3454fc57c62d8d3e7bc,external_seed:ext_5232f3454fc57c62d8d3e7bc,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Refreshing Body Wash Bulgarian Rose,https://delicatedaisys.com/products/refreshing-body-wash-bulgarian-rose,https://delicatedaisys.com/products/refreshing-body-wash-bulgarian-rose,prod::external_seed::external_seed::ext_5232f3454fc57c62d8d3e7bc,ck_6197560f29aa62da1b64e51eadcd4309,,true,approved,false,false,brand,sig_3f1727ac681c8652a1e234b7,pl_a5dbb5ad8121a0de1943b0ca,rf_a5dbb5ad8121a0de1943b0ca,true,"""2026-05-23T02:33:39.818Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_5232f3454fc57c62d8d3e7bc,true,false,missing_hero,missing_hero,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_f86a6a2819bbe74d4933778f,ext_770904b0a8a54583347cea85,external_seed:ext_770904b0a8a54583347cea85,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Herbal Hair Mask Probiotics,https://delicatedaisys.com/products/herbal-hair-mask-probiotics,https://delicatedaisys.com/products/herbal-hair-mask-probiotics,prod::external_seed::external_seed::ext_770904b0a8a54583347cea85,ck_80cb2a448b9044e166beafe16ec295c4,,true,approved,false,false,brand,sig_01c2ff5b28e5d7ca45440810,pl_741f0f68abd0b54e890a41d9,rf_741f0f68abd0b54e890a41d9,true,"""2026-05-23T02:33:39.818Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_770904b0a8a54583347cea85,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_cbe791e3565d702ac4fc546a,ext_9695064b5f7d76303f88beb1,external_seed:ext_9695064b5f7d76303f88beb1,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Firming & Toning Body Cream Pineapple & Retinol,https://delicatedaisys.com/products/firming-toning-body-cream-pineapple-retinol,https://delicatedaisys.com/products/firming-toning-body-cream-pineapple-retinol,prod::external_seed::external_seed::ext_9695064b5f7d76303f88beb1,ck_95951106c4a6df9d3811886838b0cf69,,true,approved,false,false,brand,sig_f0c452f8504c681b0c410a4f,pl_3545617c840f7298b3024e0d,rf_3545617c840f7298b3024e0d,true,"""2026-05-23T02:33:39.817Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_9695064b5f7d76303f88beb1,true,false,ready_hero,,ready,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_bfe66983319825686ed76f14,ext_99b5d36c01c7614a5de71fa1,external_seed:ext_99b5d36c01c7614a5de71fa1,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Cleansing Face Milk Bulgarian Rose,https://delicatedaisys.com/products/cleansing-face-milk-bulgarian-rose,https://delicatedaisys.com/products/cleansing-face-milk-bulgarian-rose,prod::external_seed::external_seed::ext_99b5d36c01c7614a5de71fa1,ck_ea503bc7d7f130a582e943e63ec2b5f7,,true,approved,false,false,brand,sig_344eafc02c8931679c020a25,pl_ffe7fee8956b23b45da389b7,rf_ffe7fee8956b23b45da389b7,true,"""2026-05-23T02:33:39.817Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_99b5d36c01c7614a5de71fa1,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_8f7a3ed787f0992b52fb0f31,ext_b344f028268229b02a16d0cb,external_seed:ext_b344f028268229b02a16d0cb,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Cooling After Sun Body Oil Aloe Vera,https://delicatedaisys.com/products/cooling-after-sun-body-oil-aloe-vera,https://delicatedaisys.com/products/cooling-after-sun-body-oil-aloe-vera,prod::external_seed::external_seed::ext_b344f028268229b02a16d0cb,ck_a92dfb72a8d998a057da2df7dd510b44,,true,approved,false,false,brand,sig_fe94d67f4b6aa5cd8feb8e32,pl_b66437e126013dea260dd7e4,rf_b66437e126013dea260dd7e4,true,"""2026-05-23T02:33:39.817Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_b344f028268229b02a16d0cb,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_9bea2beb5e5ef01fd465b526,ext_b5dafedce57973dfcca9fb5b,external_seed:ext_b5dafedce57973dfcca9fb5b,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Rejuvenating Night Face Cream Bulgarian Rose,https://delicatedaisys.com/products/rejuvenating-night-face-cream-bulgarian-rose,https://delicatedaisys.com/products/rejuvenating-night-face-cream-bulgarian-rose,prod::external_seed::external_seed::ext_b5dafedce57973dfcca9fb5b,ck_5e905d54345186e51f52496e148461f7,,true,approved,false,false,brand,sig_d275edcf29109760764a2288,pl_0a8017de1ab27cc20b7e4360,rf_0a8017de1ab27cc20b7e4360,true,"""2026-05-23T02:33:39.818Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_b5dafedce57973dfcca9fb5b,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,false,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
