seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_8df546000bd9c4fd79936a04,ext_1c7d35c56b316e2dceae281d,external_seed:ext_1c7d35c56b316e2dceae281d,US,medicube.us,Medicube,Exosome Cica Calming Toner,https://medicube.us/products/exosome-cica-calming-toner,https://medicube.us/products/exosome-cica-calming-toner,prod::external_seed::external_seed::ext_1c7d35c56b316e2dceae281d,ck_6372b9446e790171a6669f2e968c548a,,true,approved,true,false,brand,sig_33c22007402df5da28b015c5,pl_1d2d74b10203faec31b67324,rf_1d2d74b10203faec31b67324,true,"""2026-05-06T19:19:20.370Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_1c7d35c56b316e2dceae281d,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_33c22007402df5da28b015c5,true,available,22,22,true,false,,db_serving_ready,,ready_no_action,
eps_e67d5c9f7068957e23321697,ext_37711c1df803ce80b791b2c5,external_seed:ext_37711c1df803ce80b791b2c5,US,medicube.us,Medicube,Collagen Night Wrapping Mask,https://medicube.us/products/collagen-night-wrapping-mask,https://medicube.us/products/collagen-night-wrapping-mask,prod::external_seed::external_seed::ext_37711c1df803ce80b791b2c5,ck_4a7c7516e4c28e1b9961f699ee27d3e9,,true,review_required,false,true,brand,sig_9de5222d7a58910af53fd2f0,pl_6a9b150dea4c1d6a6b169dd3,rf_6a9b150dea4c1d6a6b169dd3,true,"""2026-05-05T06:06:10.157Z""",,displayable,true,true,true,verified,seller_plus_formula,,,ext_37711c1df803ce80b791b2c5,true,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled|identity_status_review_required|review_required,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_57bb3ca969f2c00a2d44bd12,ext_48b334f563d1069621c1508e,external_seed:ext_48b334f563d1069621c1508e,US,medicube.us,Medicube,AGE-R Glutathione Glow Capsule Cream,https://medicube.us/products/age-r-glutathione-glow-capsule-cream,https://medicube.us/products/age-r-glutathione-glow-capsule-cream,prod::external_seed::external_seed::ext_48b334f563d1069621c1508e,ck_1767fec5a0315d7fc129acd45786a3d7,,true,review_required,false,true,brand,sig_48f11eef7199f6b9d129d489,pl_4caa598ecb4a5146939ef26a,rf_4caa598ecb4a5146939ef26a,true,"""2026-05-07T01:08:09.059Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_48b334f563d1069621c1508e,true,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled|identity_status_review_required|review_required,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_23c2c0375445626c9dc312b7,ext_4b93fc8cebbce7e48cbee1a8,external_seed:ext_4b93fc8cebbce7e48cbee1a8,US,medicube.us,Medicube,Collagen Niacinamide Jelly Cream,https://medicube.us/products/collagen-niacinamide-jelly-cream,https://medicube.us/products/collagen-niacinamide-jelly-cream,prod::external_seed::external_seed::ext_4b93fc8cebbce7e48cbee1a8,ck_ac603079688ffec977a0d8cc556d9523,,true,approved,true,false,brand,sig_e2a9f8bd084ba6603aaa45d7,pl_b296b09f39da6d827cc54fb9,rf_b296b09f39da6d827cc54fb9,true,"""2026-05-06T19:19:20.370Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_4b93fc8cebbce7e48cbee1a8,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_e2a9f8bd084ba6603aaa45d7,true,available,17,17,true,false,,db_serving_ready,,ready_no_action,
eps_1255d926f5573bb75ca038cb,ext_50abe9cc5d85a34e24605945,external_seed:ext_50abe9cc5d85a34e24605945,US,medicube.us,Medicube,Deep Reviving Bakuchiol Retinol Serum,https://medicube.us/products/deep-reviving-bakuchiol-retinol-serum,https://medicube.us/products/deep-reviving-bakuchiol-retinol-serum,prod::external_seed::external_seed::ext_50abe9cc5d85a34e24605945,ck_dbd6cf7836f6d16a7eb716786cda4684,,true,approved,true,false,brand,sig_5359abf6ca7c59e94f6d70bb,pl_9103471f616d02726e230cc4,rf_9103471f616d02726e230cc4,true,"""2026-05-06T19:19:28.070Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_50abe9cc5d85a34e24605945,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_5359abf6ca7c59e94f6d70bb,true,available,27,27,true,false,,db_serving_ready,,ready_no_action,
eps_1a12dd3c218caf638a7ad2d0,ext_59522af9624198656cc8881b,external_seed:ext_59522af9624198656cc8881b,US,medicube.us,Medicube,21% Red Succinic Acid Cleansing Booster Serum,https://medicube.us/products/red-succinic-acid-peel,https://medicube.us/products/red-succinic-acid-peel,prod::external_seed::external_seed::ext_59522af9624198656cc8881b,ck_6448b2a87c2ddebac1226a34e61d01de,,true,approved,true,false,brand,sig_1951916e80d2d807713c5f34,pl_8897ca7a2596a44f4cbde0e7,rf_8897ca7a2596a44f4cbde0e7,true,"""2026-05-07T01:08:09.059Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_59522af9624198656cc8881b,true,false,ready_other,,ready,,true,1,true,true,true,false,true,sellable:sig_1951916e80d2d807713c5f34,true,available,20.5,20.5,true,false,,db_serving_ready,,ready_no_action,
eps_0a6830ea890e0ad16aff8ec5,ext_621c92c2182c896eaf780642,external_seed:ext_621c92c2182c896eaf780642,US,medicube.us,Medicube,AGE-R Glutathione Glow Serum,https://medicube.us/products/age-r-glutathione-glow-serum,https://medicube.us/products/age-r-glutathione-glow-serum,prod::external_seed::external_seed::ext_621c92c2182c896eaf780642,ck_0d06056456f97c5bce2590db3d5332dd,,true,approved,true,false,brand,sig_7d75da05fd5acc262706d009,pl_70ecf1bc6f9adc40d37b8c2f,rf_70ecf1bc6f9adc40d37b8c2f,true,"""2026-05-06T19:19:28.070Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_621c92c2182c896eaf780642,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_7d75da05fd5acc262706d009,true,available,31.2,31.2,true,false,,db_serving_ready,,ready_no_action,
eps_9f6d049f720f978eeb59a444,ext_719f2cee39b26d4a7a8253af,external_seed:ext_719f2cee39b26d4a7a8253af,US,medicube.us,Medicube,AGE-R Glutathione Glow Milk Toner,https://medicube.us/products/age-r-glutathione-glow-milk-toner,https://medicube.us/products/age-r-glutathione-glow-milk-toner,prod::external_seed::external_seed::ext_719f2cee39b26d4a7a8253af,ck_d02e77d86b3504770fbb03f1f3fe8be3,,true,approved,true,false,brand,sig_92b1097507a95f357b9fa076,pl_92eccd13bc199621e8c64d46,rf_92eccd13bc199621e8c64d46,true,"""2026-05-06T19:19:20.370Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_719f2cee39b26d4a7a8253af,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_92b1097507a95f357b9fa076,true,available,27.9,27.9,true,false,,db_serving_ready,,ready_no_action,
eps_8b284b232d94f6eeb6a925e6,ext_79bca27423e4840cc4cc4e93,external_seed:ext_79bca27423e4840cc4cc4e93,US,medicube.us,Medicube,Deep Vitamin C Capsule Serum,https://medicube.us/products/deep-vitamin-c-capsule-serum,https://medicube.us/products/deep-vitamin-c-capsule-serum,prod::external_seed::external_seed::ext_79bca27423e4840cc4cc4e93,ck_d704f51c082a94aac6923e367d7bc656,,true,approved,true,false,brand,sig_e5ae27a486494ffef43222fd,pl_7f52004f040bf3e3b855d66c,rf_7f52004f040bf3e3b855d66c,true,"""2026-05-07T01:08:09.059Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_79bca27423e4840cc4cc4e93,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_e5ae27a486494ffef43222fd,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
eps_799483f258db57bfa5be7b07,ext_80735ef3328f583532d34b5a,external_seed:ext_80735ef3328f583532d34b5a,US,medicube.us,Medicube,Deep Vita C Pads,https://medicube.us/products/deep-vita-c-pad,https://medicube.us/products/deep-vita-c-pad,prod::external_seed::external_seed::ext_80735ef3328f583532d34b5a,ck_69b5ae76641253ce80fad0c97eada0a5,,true,approved,true,false,brand,sig_d4cd0d0782d2008be3901a76,pl_587364f63997b8c604aa442d,rf_587364f63997b8c604aa442d,true,"""2026-05-05T06:06:10.157Z""",,displayable,true,true,true,verified,seller_plus_formula,,,ext_80735ef3328f583532d34b5a,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_d4cd0d0782d2008be3901a76,true,available,28,28,true,false,,db_serving_ready,,ready_no_action,
eps_dd0b4c879dda9bcb842db3eb,ext_98b732ab71195d87c9369b5a,external_seed:ext_98b732ab71195d87c9369b5a,US,medicube.us,Medicube,Deep Vita C Patch,https://medicube.us/products/deep-vita-c-patch,https://medicube.us/products/deep-vita-c-patch,prod::external_seed::external_seed::ext_98b732ab71195d87c9369b5a,ck_faf29176485819a2646d95e47aec34bd,,true,approved,true,false,brand,sig_2d40ed3a1412550ff62ce318,pl_90b3efde67b7a463b6ccfef2,rf_90b3efde67b7a463b6ccfef2,true,"""2026-05-05T15:17:59.677Z""",,displayable,true,true,true,verified,seller_plus_formula,,,ext_98b732ab71195d87c9369b5a,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_2d40ed3a1412550ff62ce318,true,available,21,21,true,false,,db_serving_ready,,ready_no_action,
eps_03737bc26e17caf76127f55a,ext_9cc158f25a88a454c30d449c,external_seed:ext_9cc158f25a88a454c30d449c,US,medicube.us,Medicube,Azelaic Acid 16 Calming Serum,https://medicube.us/products/azelaic-acid-16-calming-serum,https://medicube.us/products/azelaic-acid-16-calming-serum,prod::external_seed::external_seed::ext_9cc158f25a88a454c30d449c,ck_786d4768f9e5a01ff4b54fcc3898d10c,,true,approved,true,false,brand,sig_daf970427daa3e3bef582212,pl_c9bf1cf695f32c5567cd7320,rf_c9bf1cf695f32c5567cd7320,true,"""2026-05-06T19:19:20.370Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_9cc158f25a88a454c30d449c,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_daf970427daa3e3bef582212,true,available,27,27,true,false,,db_serving_ready,,ready_no_action,
eps_9feebe1fca857fda72e3ed74,ext_9d97b1e55b4bfb6c13e71289,external_seed:ext_9d97b1e55b4bfb6c13e71289,US,medicube.us,Medicube,Deep Peptide Radiance Mask,https://medicube.us/products/medicube-deep-peptide-radiance-mask-2ea,https://medicube.us/products/medicube-deep-peptide-radiance-mask-2ea,prod::external_seed::external_seed::ext_9d97b1e55b4bfb6c13e71289,ck_70f1063d4cd60a9d8a455ccc6612d303,,true,review_required,false,true,brand,sig_4581b963b1126478d47dabbc,pl_f845bd1a26fd4d1cf6b009d1,rf_f845bd1a26fd4d1cf6b009d1,true,"""2026-05-06T19:19:28.070Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_9d97b1e55b4bfb6c13e71289,true,false,ready_hero,,ready,,true,1,true,true,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled|identity_status_review_required|review_required,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_b777765d7977a8fe3c253e55,ext_ac4c47dafb427e53752fb522,external_seed:ext_ac4c47dafb427e53752fb522,US,medicube.us,Medicube,Collagen Milky Glow Daytime Wrapping Mask,https://medicube.us/products/collagen-milk-toning-wrapping-mask,https://medicube.us/products/collagen-milk-toning-wrapping-mask,prod::external_seed::external_seed::ext_ac4c47dafb427e53752fb522,ck_d705f68ce77a20b6d8151ec165750930,,true,approved,true,false,brand,sig_8ba5c56b4f9d8c89abd357eb,pl_c0107370b80a1f34fc510cd7,rf_c0107370b80a1f34fc510cd7,true,"""2026-05-05T06:06:10.157Z""",,displayable,true,true,true,verified,seller_plus_formula,,,ext_ac4c47dafb427e53752fb522,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_8ba5c56b4f9d8c89abd357eb,true,available,24,24,true,false,,db_serving_ready,,ready_no_action,
eps_956218ce833bfb741be84907,ext_ac802f92e078086c1ad93cfe,external_seed:ext_ac802f92e078086c1ad93cfe,US,medicube.us,Medicube,Collagen Glow Booster Milk Serum,https://medicube.us/products/collagen-glow-booster-milk-serum,https://medicube.us/products/collagen-glow-booster-milk-serum,prod::external_seed::external_seed::ext_ac802f92e078086c1ad93cfe,ck_9d3b082227a9befc1bc78ef729f728e4,,true,approved,true,false,brand,sig_883683d48b00266bcd5df4f9,pl_aed0ef4b2b60d3e97fb8efd4,rf_aed0ef4b2b60d3e97fb8efd4,true,"""2026-05-05T06:06:10.157Z""",,displayable,true,true,true,verified,seller_plus_formula,,,ext_ac802f92e078086c1ad93cfe,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_883683d48b00266bcd5df4f9,true,available,22.4,22.4,true,false,,db_serving_ready,,ready_no_action,
eps_e967fda5fc564942a44056e0,ext_ba84ece297536294ea627a07,external_seed:ext_ba84ece297536294ea627a07,US,medicube.us,Medicube,Deep Vita C Capsule Cream,https://medicube.us/products/deep-vita-c-capsule-cream,https://medicube.us/products/deep-vita-c-capsule-cream,prod::external_seed::external_seed::ext_ba84ece297536294ea627a07,ck_f0b28a7177f420b4f67d192510c2e511,,true,approved,true,false,brand,sig_2714074ce7f947d8c9d32fbc,pl_3522619c4a1858f65dc88ea0,rf_3522619c4a1858f65dc88ea0,true,"""2026-05-06T19:19:28.070Z""",,displayable,true,true,true,verified,seller_plus_formula_reviews,,,ext_ba84ece297536294ea627a07,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_2714074ce7f947d8c9d32fbc,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
