seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_f86a6a2819bbe74d4933778f,ext_770904b0a8a54583347cea85,external_seed:ext_770904b0a8a54583347cea85,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Herbal Hair Mask Probiotics,https://delicatedaisys.com/products/herbal-hair-mask-probiotics,https://delicatedaisys.com/products/herbal-hair-mask-probiotics,prod::external_seed::external_seed::ext_770904b0a8a54583347cea85,ck_80cb2a448b9044e166beafe16ec295c4,,true,approved,true,false,brand,sig_01c2ff5b28e5d7ca45440810,pl_741f0f68abd0b54e890a41d9,rf_741f0f68abd0b54e890a41d9,true,"""2026-05-26T01:25:53.143Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_770904b0a8a54583347cea85,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_01c2ff5b28e5d7ca45440810,true,available,34.99,34.99,true,false,,db_serving_ready,,ready_no_action,
eps_21794d2c1b706f4b3c7887b6,ext_31b732e4e40c0579c5f4c554,external_seed:ext_31b732e4e40c0579c5f4c554,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Nourishing Probiotic Body Wash Pineapple,https://delicatedaisys.com/products/nourishing-probiotic-body-wash-pineapple,https://delicatedaisys.com/products/nourishing-probiotic-body-wash-pineapple,prod::external_seed::external_seed::ext_31b732e4e40c0579c5f4c554,ck_3cdc41ae3f99cc70d825d4e19508652b,,true,approved,true,false,brand,sig_f5a6f90732c4af20fc4612ac,pl_4cbf4e7bc1ddddccdacddbd4,rf_4cbf4e7bc1ddddccdacddbd4,true,"""2026-05-26T01:25:53.143Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_31b732e4e40c0579c5f4c554,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_f5a6f90732c4af20fc4612ac,true,available,19.99,19.99,true,false,,db_serving_ready,,ready_no_action,
eps_9bea2beb5e5ef01fd465b526,ext_b5dafedce57973dfcca9fb5b,external_seed:ext_b5dafedce57973dfcca9fb5b,US,delicatedaisys.com,Delicate Daisys Botanical Beauty,Rejuvenating Night Face Cream Bulgarian Rose,https://delicatedaisys.com/products/rejuvenating-night-face-cream-bulgarian-rose,https://delicatedaisys.com/products/rejuvenating-night-face-cream-bulgarian-rose,prod::external_seed::external_seed::ext_b5dafedce57973dfcca9fb5b,ck_5e905d54345186e51f52496e148461f7,,true,approved,true,false,brand,sig_d275edcf29109760764a2288,pl_0a8017de1ab27cc20b7e4360,rf_0a8017de1ab27cc20b7e4360,true,"""2026-05-26T01:25:53.143Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_b5dafedce57973dfcca9fb5b,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_d275edcf29109760764a2288,true,available,49.99,49.99,true,false,,db_serving_ready,,ready_no_action,
eps_045c86298b3f262f544f3fc3,ext_bb9685457f5a919c945ee9ce,external_seed:ext_bb9685457f5a919c945ee9ce,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss,prod::external_seed::external_seed::ext_bb9685457f5a919c945ee9ce,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_40f7c9b410f2e1d61e4e00e4,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,true,"""2026-05-26T01:25:53.143Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_bb9685457f5a919c945ee9ce,true,false,ready_hero,,ready,,true,11,true,true,true,false,true,sellable:sig_40f7c9b410f2e1d61e4e00e4,true,available,19.9,19.9,true,false,,db_serving_ready,,ready_no_action,
eps_ebb12bb4d8f9c3e65b57a8f3,ext_794deab047eb4a75225329df,external_seed:ext_794deab047eb4a75225329df,US,joocyee.com,Joocyee,Color-correcting Primer,https://joocyee.com/products/color-correcting-primer,https://joocyee.com/products/color-correcting-primer,prod::external_seed::external_seed::ext_794deab047eb4a75225329df,ck_0d84ada07ff80346cb8479e4deec45d4,,true,approved,true,false,brand,sig_de2c100382224878790af271,pl_b135453a63032cf132dc4c3d,rf_b135453a63032cf132dc4c3d,true,"""2026-05-26T01:25:53.144Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_794deab047eb4a75225329df,true,false,ready_hero,,ready,,true,3,true,true,true,false,true,sellable:sig_de2c100382224878790af271,true,available,18.9,18.9,true,false,,db_serving_ready,,ready_no_action,
eps_3f6b17eb288ce4725cbd191a,ext_8136f11be69e6c18781a7f02,external_seed:ext_8136f11be69e6c18781a7f02,US,nalacare.com,Nala Care,"Peppermint & Activated Charcoal, Natural Deodorant",https://nalacare.com/products/natural-deodorant-peppermint-charcoal,https://nalacare.com/products/natural-deodorant-peppermint-charcoal,prod::external_seed::external_seed::ext_8136f11be69e6c18781a7f02,ck_cac5d7aa361c1d3d5623096b5ede72c4,,true,approved,true,false,brand,sig_6b92f753966ed06a55217641,pl_96a3e360f8615ad37d4aeb9e,rf_96a3e360f8615ad37d4aeb9e,true,"""2026-05-26T01:25:53.144Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_8136f11be69e6c18781a7f02,true,false,not_expected_missing,,ready,,true,2,true,true,true,false,true,sellable:sig_6b92f753966ed06a55217641,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
eps_2a694bb944824411ac2da0a2,ext_e5f66cf29d6c516775bb0fce,external_seed:ext_e5f66cf29d6c516775bb0fce,US,nalacare.com,Nala Care,"Essence of Rosewood, Extra Strength Natural Deodorant",https://nalacare.com/products/essence-of-rosewood-extra-strength-deodorant,https://nalacare.com/products/essence-of-rosewood-extra-strength-deodorant,prod::external_seed::external_seed::ext_e5f66cf29d6c516775bb0fce,ck_5e5cc782e1268f39ef40eb839e698dc3,,true,approved,true,false,brand,sig_dc67c95a05ea55d137601330,pl_4c6d2e665826225e7c6fa577,rf_4c6d2e665826225e7c6fa577,true,"""2026-05-26T01:25:53.144Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_e5f66cf29d6c516775bb0fce,true,false,not_expected_missing,,ready,,true,2,true,true,true,false,true,sellable:sig_dc67c95a05ea55d137601330,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
eps_f71587e76c7f38fd91249f6b,ext_446a5f126507ff6adba46258,external_seed:ext_446a5f126507ff6adba46258,US,nalacare.com,Nala Care,"Eucalyptus & Champa, Extra Strength Natural Deodorant",https://nalacare.com/products/eucalyptus-natural-deodorant,https://nalacare.com/products/eucalyptus-natural-deodorant,prod::external_seed::external_seed::ext_446a5f126507ff6adba46258,ck_c5595c7d94c11b8d2988e800fd6f598c,,true,approved,true,false,brand,sig_4d5786ae6535963a72172e4a,pl_b92855b4d461e828216e5da3,rf_b92855b4d461e828216e5da3,true,"""2026-05-26T01:25:53.144Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_446a5f126507ff6adba46258,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_4d5786ae6535963a72172e4a,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
eps_ea734087361e2bc8116864de,ext_2ef1955968e55d0bfdf5fe78,external_seed:ext_2ef1955968e55d0bfdf5fe78,US,nalacare.com,Nala Care,"Palo Santo & Sage, Sensitive Skin Natural Deodorant",https://nalacare.com/products/palo-santo-sage-natural-deodorant,https://nalacare.com/products/palo-santo-sage-natural-deodorant,prod::external_seed::external_seed::ext_2ef1955968e55d0bfdf5fe78,ck_82086516a61aefdade6295b0faef9da1,,true,approved,true,false,brand,sig_45716e6070ce703c2f4ee3d4,pl_6dcf9ffecb3ff57f4339d517,rf_6dcf9ffecb3ff57f4339d517,true,"""2026-05-26T01:25:53.144Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_2ef1955968e55d0bfdf5fe78,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_45716e6070ce703c2f4ee3d4,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
eps_70cc3400fbd348ddea653644,ext_5975f96c1d90b02d02329960,external_seed:ext_5975f96c1d90b02d02329960,US,nalacare.com,Nala Care,"Unscented, Sensitive Skin Natural Deodorant",https://nalacare.com/products/unscented-natural-deodorant,https://nalacare.com/products/unscented-natural-deodorant,prod::external_seed::external_seed::ext_5975f96c1d90b02d02329960,ck_468f29ec449c24b8601eee846266aedb,,true,approved,true,false,brand,sig_176d0cbeaaff82a732c51ef4,pl_e6f5488af794bb7d3dcf82d6,rf_e6f5488af794bb7d3dcf82d6,true,"""2026-05-26T01:25:53.144Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_5975f96c1d90b02d02329960,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_176d0cbeaaff82a732c51ef4,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
eps_397f9fecae5c0008b37ef970,ext_21216a67b62b16d88661367f,external_seed:ext_21216a67b62b16d88661367f,US,nalacare.com,Nala Care,"Lavender & Vetiver, Sensitive Skin Natural Deodorant",https://nalacare.com/products/lavender-and-vetiver-charcoal-natural-deodorant,https://nalacare.com/products/lavender-and-vetiver-charcoal-natural-deodorant,prod::external_seed::external_seed::ext_21216a67b62b16d88661367f,ck_abaa2b4fdee2d36690a1fbe3d7e581cd,,true,approved,true,false,brand,sig_3593c2c3e729fd45ede0996a,pl_694450939140db330c1ea653,rf_694450939140db330c1ea653,true,"""2026-05-26T01:25:53.145Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_21216a67b62b16d88661367f,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_3593c2c3e729fd45ede0996a,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
eps_4e147a8448a969b3bd3c46a9,ext_b36935c92dc89857bf62f25e,external_seed:ext_b36935c92dc89857bf62f25e,US,nalacare.com,Nala Care,"Grapefruit & Neroli, Extra Strength Natural Deodorant",https://nalacare.com/products/grapefruit-neroli-natural-deodorant,https://nalacare.com/products/grapefruit-neroli-natural-deodorant,prod::external_seed::external_seed::ext_b36935c92dc89857bf62f25e,ck_530f6a9724e066c1002069096433dd02,,true,approved,true,false,brand,sig_0c5ce72c1a7bb40617f0b83d,pl_4620c3736a14c5e0e09af523,rf_4620c3736a14c5e0e09af523,true,"""2026-05-26T01:25:53.145Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_b36935c92dc89857bf62f25e,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_0c5ce72c1a7bb40617f0b83d,true,available,26,26,true,false,,db_serving_ready,,ready_no_action,
