seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_392eec0063f18198755a2dc6,ext_4e95b920b4c6a5295d55aa46,external_seed:ext_4e95b920b4c6a5295d55aa46,US,apiceuticals.com,Apiceuticals,PROPOWAX™ Antioxidant Conditioner 300ml,https://www.apiceuticals.com/shop/propowax-antioxidant-conditioner/,https://www.apiceuticals.com/shop/propowax-antioxidant-conditioner/,prod::external_seed::external_seed::ext_4e95b920b4c6a5295d55aa46,ck_c78a9e0a603044b799d5ec01ce91703e,,true,approved,true,false,brand,sig_745fb0840bc78619eb4bca2b,pl_5e143094126625e7b6a05a24,rf_5e143094126625e7b6a05a24,true,"""2026-05-25T04:17:10.645Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_4e95b920b4c6a5295d55aa46,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_745fb0840bc78619eb4bca2b,true,available,35,35,true,false,,db_serving_ready,,ready_no_action,
eps_233fb6937fe8094b020b5a16,ext_d17dfc05f98d0400d5129f1c,external_seed:ext_d17dfc05f98d0400d5129f1c,US,apiceuticals.com,Apiceuticals,PROPOWAX™ Antioxidant Shower Gel 300ml,https://www.apiceuticals.com/shop/propowax-antioxidant-shower-gel/,https://www.apiceuticals.com/shop/propowax-antioxidant-shower-gel/,prod::external_seed::external_seed::ext_d17dfc05f98d0400d5129f1c,ck_3976dee47da02f71bc7b67416aeb5cc1,,true,approved,true,false,brand,sig_9d47a2dd2caf5d7bbe4e9bbd,pl_317ddc081dfcb3f09bacd511,rf_317ddc081dfcb3f09bacd511,true,"""2026-05-25T04:17:10.645Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_d17dfc05f98d0400d5129f1c,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_9d47a2dd2caf5d7bbe4e9bbd,true,available,29,29,true,false,,db_serving_ready,,ready_no_action,
eps_8b28f12a815d856a4c1c81e7,ext_d3d708f481903ba2a6f9b732,external_seed:ext_d3d708f481903ba2a6f9b732,US,apiceuticals.com,Apiceuticals,PROPOWAX™ Antioxidant Dry Oil 100ml,https://www.apiceuticals.com/shop/propowax-antioxidant-dry-oil/,https://www.apiceuticals.com/shop/propowax-antioxidant-dry-oil/,prod::external_seed::external_seed::ext_d3d708f481903ba2a6f9b732,ck_54746dfeb8b8b02d8d4192706d449f16,,true,approved,true,false,brand,sig_c5c41c0851763b2481798bcf,pl_34d1d21f92dcb93bd0c24821,rf_34d1d21f92dcb93bd0c24821,true,"""2026-05-25T04:17:10.645Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_d3d708f481903ba2a6f9b732,true,false,missing_hero,missing_hero,ready,,true,1,true,true,true,false,true,sellable:sig_c5c41c0851763b2481798bcf,true,available,89,89,true,false,,db_serving_ready,,ready_no_action,
eps_d7bbe1c523ff1a28e9fc0feb,ext_1e27467ab07ddb83ad74c213,external_seed:ext_1e27467ab07ddb83ad74c213,US,apiceuticals.com,Apiceuticals,PROPOWAX™ Antioxidant Shampoo 300ml,https://www.apiceuticals.com/shop/propowax-antioxidant-shampoo/,https://www.apiceuticals.com/shop/propowax-antioxidant-shampoo/,prod::external_seed::external_seed::ext_1e27467ab07ddb83ad74c213,ck_7c90b069d3123d57340ca3f4cce05093,,true,approved,true,false,brand,sig_3986f474bf585056885f6125,pl_c0bad4679095d97a8e48c5b6,rf_c0bad4679095d97a8e48c5b6,true,"""2026-05-25T03:32:04.669Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_1e27467ab07ddb83ad74c213,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_3986f474bf585056885f6125,true,available,33,33,true,false,,db_serving_ready,,ready_no_action,
eps_a1dfe4e0954933aef1121656,ext_c0e5209513c083e2c649c1a1,external_seed:ext_c0e5209513c083e2c649c1a1,US,apiceuticals.com,Apiceuticals,PROPOWAX™ Antioxidant Body Lotion 300ml,https://www.apiceuticals.com/shop/propowax-antioxidant-body-lotion/,https://www.apiceuticals.com/shop/propowax-antioxidant-body-lotion/,prod::external_seed::external_seed::ext_c0e5209513c083e2c649c1a1,ck_58c2ec3831b58d5296cf056104670bf6,,true,approved,true,false,brand,sig_1587d8b1843fa059eb641ef4,pl_1bf0bf9e89d29a0aa5a7c424,rf_1bf0bf9e89d29a0aa5a7c424,true,"""2026-05-25T04:17:10.645Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_c0e5209513c083e2c649c1a1,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_1587d8b1843fa059eb641ef4,true,available,32,32,true,false,,db_serving_ready,,ready_no_action,
eps_748df00d5321e2c0ad141e80,ext_6ae70ce8a0cf2d0f8615d4dc,external_seed:ext_6ae70ce8a0cf2d0f8615d4dc,US,khus-khus.com,KHUS KHUS,SURYA body elixir,https://khus-khus.com/products/surya-body-elixir/,https://khus-khus.com/products/surya-body-elixir/,prod::external_seed::external_seed::ext_6ae70ce8a0cf2d0f8615d4dc,ck_2741ae797fde78e65d4f898bcabf3e52,,true,approved,true,false,brand,sig_2afbc56f52ac6b1c99659ab3,pl_86e4199162b05ac9148f9cbe,rf_86e4199162b05ac9148f9cbe,true,"""2026-05-25T07:05:07.752Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_6ae70ce8a0cf2d0f8615d4dc,true,false,missing_hero,missing_hero,ready,,true,1,true,true,true,false,true,sellable:sig_2afbc56f52ac6b1c99659ab3,true,available,72,72,true,false,,db_serving_ready,,ready_no_action,
eps_048bcb3392fc3c2dcdca5538,ext_290f05b3b8bfbfdb4e079d09,external_seed:ext_290f05b3b8bfbfdb4e079d09,US,khus-khus.com,KHUS KHUS,D DROP humectant factor,https://khus-khus.com/products/d-drop-humectant-factor/,https://khus-khus.com/products/d-drop-humectant-factor/,prod::external_seed::external_seed::ext_290f05b3b8bfbfdb4e079d09,ck_793f26be716fe433b1771f5aefbb2246,,true,approved,true,false,brand,sig_8645b51f78b6e7c77e64d6c3,pl_108f96ef0a9d6b6bed9c3b60,rf_108f96ef0a9d6b6bed9c3b60,true,"""2026-05-25T07:05:07.752Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_290f05b3b8bfbfdb4e079d09,true,false,missing_hero,missing_hero,ready,,true,1,true,true,true,false,true,sellable:sig_8645b51f78b6e7c77e64d6c3,true,available,38,38,true,false,,db_serving_ready,,ready_no_action,
eps_8416ab9521044f35a34e47aa,ext_f27f918bac908cf6ba236b83,external_seed:ext_f27f918bac908cf6ba236b83,US,khus-khus.com,KHUS KHUS,KAI repair balm,https://khus-khus.com/products/kai-repair-balm/,https://khus-khus.com/products/kai-repair-balm/,prod::external_seed::external_seed::ext_f27f918bac908cf6ba236b83,ck_7ec0026b808643101c8a6a33ab52536c,,true,approved,true,false,brand,sig_cd2abc5dfc8c8ccbebdc0719,pl_86028d2cc19d545d4d31f368,rf_86028d2cc19d545d4d31f368,true,"""2026-05-25T07:05:07.753Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_f27f918bac908cf6ba236b83,true,false,missing_hero,missing_hero,ready,,true,1,true,true,true,false,true,sellable:sig_cd2abc5dfc8c8ccbebdc0719,true,available,52,52,true,false,,db_serving_ready,,ready_no_action,
eps_8c19c7a89115389494403344,ext_f86a3606bf6dc20fc810f99d,external_seed:ext_f86a3606bf6dc20fc810f99d,US,khus-khus.com,KHUS KHUS,SANS AGE face serum,https://khus-khus.com/products/sans-anti-wrinkle-face-serum/,https://khus-khus.com/products/sans-anti-wrinkle-face-serum/,prod::external_seed::external_seed::ext_f86a3606bf6dc20fc810f99d,ck_9412664003c52fb99c0e22c3649125b6,,true,approved,true,false,brand,sig_6e14d673e184819055e0122a,pl_2955c2c61f5a12485093f2c5,rf_2955c2c61f5a12485093f2c5,true,"""2026-05-25T07:05:07.753Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_f86a3606bf6dc20fc810f99d,true,false,missing_hero,missing_hero,ready,,true,1,true,true,true,false,true,sellable:sig_6e14d673e184819055e0122a,true,available,80,80,true,false,,db_serving_ready,,ready_no_action,
eps_8e5c2bf3f271e93346944053,ext_4dace0e8a2fe70b378b91c2c,external_seed:ext_4dace0e8a2fe70b378b91c2c,US,khus-khus.com,KHUS KHUS,BLEU body serum,https://khus-khus.com/products/bleu-body-serum/,https://khus-khus.com/products/bleu-body-serum/,prod::external_seed::external_seed::ext_4dace0e8a2fe70b378b91c2c,ck_8bb67f0dca567c2a9cfd12a0b598d240,,true,approved,true,false,brand,sig_5c7196c7dcb74ada1236c84f,pl_f76a1f4c69ea82b0fc8d5b00,rf_f76a1f4c69ea82b0fc8d5b00,true,"""2026-05-25T07:05:07.752Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_4dace0e8a2fe70b378b91c2c,true,false,missing_hero,missing_hero,ready,,true,1,true,true,true,false,true,sellable:sig_5c7196c7dcb74ada1236c84f,true,available,85,85,true,false,,db_serving_ready,,ready_no_action,
