domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,duplicate_canonical_identity_review,hard_risk,source_gap,quality_flags,canonical_url
786cosmetics.com,786 Cosmetics,ext_e96da71bdfd3ec573a4642cd,Shipping Protection,beauty_formula,hold_source_gap,true,false,true,false,2.99,USD,in_stock,63,true,false,false,false,false,true,missing_or_short_description|missing_full_inci|missing_how_to,https://786cosmetics.com/products/shipping-protection
baiebotanique.com,Baie Botanique,ext_60ded78effb04e9d6389bfce,Rose & Cupuaçu Enzyme Cleanser,beauty_formula,hold_source_gap,true,true,true,true,39,USD,in_stock,665,true,true,false,false,false,true,missing_how_to,https://www.baiebotanique.com/products/rose-cupuacu-enzyme-cleanser-sns
byrabeauty.com,Byra,ext_d2be72abe173e52d5baa6879,Deep Calm - Eau De Parfum 30ml,beauty_formula,hold_source_gap,true,true,true,true,63,USD,in_stock,547,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://byrabeauty.com/products/deep-calm-eau-de-parfum-30ml
dermstore.com,RMS Beauty,ext_1cc14ab28dee629b0bb1d3db,RMS Beauty Radiance Lock Setting Mist 100ml,beauty_formula,hold_source_gap,true,false,false,false,20.25,USD,in_stock,503,true,false,true,false,false,true,missing_full_inci,https://www.dermstore.com/p/rms-beauty-radiance-lock-setting-mist-100ml/15820047/
linhart.nyc,Linhart Smile Care,ext_aa24dcd6cf3888a68f222281,Linämel Toothpaste,beauty_formula,hold_source_gap,true,false,false,true,14,USD,in_stock,435,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://linhart.nyc/products/linamel-toothpaste
linhart.nyc,Linhart Smile Care,ext_c1a3aac3be37dcedc3788d6a,Linhart Whitening Pen - NEW ARRIVAL!,beauty_formula,hold_source_gap,true,false,false,true,30,USD,in_stock,362,true,false,true,false,false,true,missing_full_inci,https://linhart.nyc/products/linhart-whitening-pen
linhart.nyc,Linhart Smile Care,ext_e795b1a17f6222e44dfb3dfd,Tooth Whitener Gel,beauty_formula,hold_source_gap,true,false,false,true,28,USD,in_stock,40,true,false,false,false,false,true,missing_or_short_description|missing_full_inci|missing_how_to,https://linhart.nyc/products/toth-whitener-gel-1
missnella.com,Miss Nella,ext_cfbb0ca2b9d0c7b411793b0b,‘Cool Like Me’ Roll On Perfume,beauty_formula,hold_source_gap,true,false,false,true,10.3,USD,in_stock,282,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/cool-like-me-roll-on-oil-perfume
missnella.com,Miss Nella,ext_6f491538dbf9a790b66cf269,‘Sweet Like Me’ Roll On Perfume,beauty_formula,hold_source_gap,true,false,false,true,10.3,USD,in_stock,265,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/sweet-like-me-roll-on-oil-perfume
missnella.com,Miss Nella,ext_9431ebc91685248f841adc6d,Add Blueberry Smoothie - Deep Lilac,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/blueberry-smoothie-deep-lilac
