seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_ebb12bb4d8f9c3e65b57a8f3,ext_794deab047eb4a75225329df,external_seed:ext_794deab047eb4a75225329df,US,joocyee.com,Joocyee,Color-correcting Primer,https://joocyee.com/products/color-correcting-primer,https://joocyee.com/products/color-correcting-primer,prod::external_seed::external_seed::ext_794deab047eb4a75225329df,ck_0d84ada07ff80346cb8479e4deec45d4,,true,approved,true,false,brand,sig_de2c100382224878790af271,pl_b135453a63032cf132dc4c3d,rf_b135453a63032cf132dc4c3d,true,"""2026-05-26T01:25:53.144Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_794deab047eb4a75225329df,true,false,ready_hero,,ready,,true,3,true,false,false,false,false,,false,,,,false,false,,index_doc_shadow_only,missing_public_catalog_serving_doc,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
epsv_3a2511bd5d3bc0964b3bdbcc,ext_2881559170714581057e21eb,external_seed:ext_2881559170714581057e21eb,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012522463542&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_2881559170714581057e21eb,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_a138447b66b63085f5607f39,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_a138447b66b63085f5607f39,false,missing,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_2881559170714581057e21eb --limit 1 --skip-gemini
epsv_505db69486384550a1386d7c,ext_35ffa71281354a958ef30f7e,external_seed:ext_35ffa71281354a958ef30f7e,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012522627382&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_35ffa71281354a958ef30f7e,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_ce5317a38b3c710f808f6aa3,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_ce5317a38b3c710f808f6aa3,false,missing,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_35ffa71281354a958ef30f7e --limit 1 --skip-gemini
epsv_87501109e006391087fc2f3d,ext_3c9980e0455d648c3173c14e,external_seed:ext_3c9980e0455d648c3173c14e,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012522660150&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_3c9980e0455d648c3173c14e,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_269e443984fa3d0ac908c01f,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_269e443984fa3d0ac908c01f,false,missing,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_3c9980e0455d648c3173c14e --limit 1 --skip-gemini
epsv_dfbd57e3cd61bee1bd7e1033,ext_3ca7c85748b01b4bc8e2f3bb,external_seed:ext_3ca7c85748b01b4bc8e2f3bb,US,joocyee.com,Joocyee,Color-correcting Primer,https://joocyee.com/products/color-correcting-primer,https://joocyee.com/products/color-correcting-primer?variant=53960867643702&utm_source=pivota&utm_medium=affiliate,,,,true,approved,true,false,brand,sig_e2bf9c22b9d22163de32e589,pl_b135453a63032cf132dc4c3d,rf_b135453a63032cf132dc4c3d,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_794deab047eb4a75225329df,true,true,ready_hero,,ready,,false,0,false,false,false,false,false,,false,,,,false,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_3ca7c85748b01b4bc8e2f3bb --limit 1 --skip-gemini
epsv_b1229a74ea6f7f95cafadc7b,ext_41c98523b6fc0a8279c3095c,external_seed:ext_41c98523b6fc0a8279c3095c,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012522496310&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_41c98523b6fc0a8279c3095c,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_1ffa9ef2d2d3e5f9bc92ed9d,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_1ffa9ef2d2d3e5f9bc92ed9d,false,missing,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_41c98523b6fc0a8279c3095c --limit 1 --skip-gemini
epsv_039198f61171c76b79baacb9,ext_4888a0d0940daa58fc77af80,external_seed:ext_4888a0d0940daa58fc77af80,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012786344246&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_4888a0d0940daa58fc77af80,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_bd5ed2292f663109e373a1fa,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_bd5ed2292f663109e373a1fa,false,missing,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_4888a0d0940daa58fc77af80 --limit 1 --skip-gemini
epsv_cd0fa68f03d35b6d9c5c98f6,ext_52a27acd606756dea463a717,external_seed:ext_52a27acd606756dea463a717,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012522430774&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_52a27acd606756dea463a717,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_40f7c9b410f2e1d61e4e00e4,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_40f7c9b410f2e1d61e4e00e4,true,available,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_52a27acd606756dea463a717 --limit 1 --skip-gemini
epsv_6f7793551006ce40c0fb408f,ext_70a0b0b3c68a48630060c7ff,external_seed:ext_70a0b0b3c68a48630060c7ff,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012522594614&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_70a0b0b3c68a48630060c7ff,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_54ce4c755ee54ef8d69529ea,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_54ce4c755ee54ef8d69529ea,false,missing,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_70a0b0b3c68a48630060c7ff --limit 1 --skip-gemini
epsv_04aecac56c69d11a02b887df,ext_75c1cd3bbad92bbdbc6ab010,external_seed:ext_75c1cd3bbad92bbdbc6ab010,US,joocyee.com,Joocyee,Glazed Lip Gloss,https://joocyee.com/products/glazed-lip-gloss,https://joocyee.com/products/glazed-lip-gloss?variant=54012522561846&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_75c1cd3bbad92bbdbc6ab010,ck_636adb125e345f79ae51aa53a8d950d9,,true,approved,true,false,brand,sig_71f43f953faef33621ca99cf,pl_a9dd2b8037facbb9eac8520c,rf_a9dd2b8037facbb9eac8520c,false,,,missing_kb,false,false,false,missing,missing,missing_kb,,ext_bb9685457f5a919c945ee9ce,true,true,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_71f43f953faef33621ca99cf,false,missing,19.9,19.9,true,false,,kb_missing,direct_missing_effective_sibling_ready,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_75c1cd3bbad92bbdbc6ab010 --limit 1 --skip-gemini
