seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_c2572aa9c773de0bcba1022c,ext_03ad2bbe708c54ce6330d3c2,external_seed:ext_03ad2bbe708c54ce6330d3c2,US,catkin.com,Catkin,CATKIN Black Chic Luxury Mascara,https://www.catkin.com/products/catkin-black-chic-luxury-mascara,https://www.catkin.com/products/catkin-black-chic-luxury-mascara,prod::external_seed::external_seed::ext_03ad2bbe708c54ce6330d3c2,ck_61f7e04ad8e612d467c66b4bc5597bbc,,true,approved,true,false,brand,sig_a7d1d1766fc4bb355bedd0ee,pl_f62352159f07ced6a5aaa98b,rf_f62352159f07ced6a5aaa98b,true,"""2026-05-28T10:10:17.029Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_03ad2bbe708c54ce6330d3c2,true,false,not_expected_missing,,ready,,true,1,true,true,true,false,true,sellable:sig_a7d1d1766fc4bb355bedd0ee,true,available,16.99,16.99,true,false,,db_serving_ready,,ready_no_action,
eps_cfbf5f0a39bd3ed9d453f556,ext_e0a185b77e19838284a2f05b,external_seed:ext_e0a185b77e19838284a2f05b,US,intoyoucosmetics.com,INTO YOU,INTO YOU Tinted Repair Lip Serum - Custom Shade TR88,https://www.intoyoucosmetics.com/products/into-you-tinted-repair-lip-serum-custom-shade-tr88,https://www.intoyoucosmetics.com/products/into-you-tinted-repair-lip-serum-custom-shade-tr88,prod::external_seed::external_seed::ext_e0a185b77e19838284a2f05b,ck_ffc424d1da7d0411606b86c01d9407bb,,true,approved,true,false,brand,sig_737ea98f390d146781b6dc41,pl_3f2b810ddd7b45f77396efe6,rf_3f2b810ddd7b45f77396efe6,true,"""2026-05-28T10:10:32.427Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_e0a185b77e19838284a2f05b,true,false,not_expected_missing,,ready,,true,1,true,true,true,false,true,sellable:sig_737ea98f390d146781b6dc41,true,available,13.99,13.99,true,false,,db_serving_ready,,ready_no_action,
eps_1e05102e8636332c123aba8c,ext_0e45d0874a4b34180e0747df,external_seed:ext_0e45d0874a4b34180e0747df,US,intoyoucosmetics.com,INTO YOU,INTO YOU Watery Lip Matt - Custom Shade W725,https://www.intoyoucosmetics.com/products/into-you-watery-lip-matt-custom-shade-w725,https://www.intoyoucosmetics.com/products/into-you-watery-lip-matt-custom-shade-w725,prod::external_seed::external_seed::ext_0e45d0874a4b34180e0747df,ck_d6520b21f1fbd7c09a4429be8e5d1f0d,,true,approved,true,false,brand,sig_1a310126e75795655997ed9e,pl_6a3bad16fc2ddaf877ac0a29,rf_6a3bad16fc2ddaf877ac0a29,true,"""2026-05-28T10:10:32.427Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_0e45d0874a4b34180e0747df,true,false,not_expected_missing,,ready,,true,1,true,true,true,false,true,sellable:sig_1a310126e75795655997ed9e,true,available,13.99,13.99,true,false,,db_serving_ready,,ready_no_action,
epsv_7ab164f115771235010c268c,ext_46c7212838c83d7ab2202fde,external_seed:ext_46c7212838c83d7ab2202fde,US,intoyoucosmetics.com,INTO YOU,INTO YOU Aqua Burst Lip Glaze,https://www.intoyoucosmetics.com/products/into-you-aqua-burst-lip-glaze,https://www.intoyoucosmetics.com/products/into-you-aqua-burst-lip-glaze?variant=57472019104047&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_46c7212838c83d7ab2202fde,ck_24a9e487d169db8b87049ca08546e0fd,,true,approved,true,false,brand,sig_a3945cb0a3586fbac5724ba8,pl_624ea6201791fb30a1a6ac20,rf_624ea6201791fb30a1a6ac20,true,"""2026-05-28T10:10:17.029Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_46c7212838c83d7ab2202fde,true,false,not_expected_missing,,ready,,true,7,true,true,true,false,true,sellable:sig_a3945cb0a3586fbac5724ba8,true,available,13.99,13.99,true,false,,db_serving_ready,,ready_no_action,
epsv_69b53fd4db2dc999c0018690,ext_2612d5b85415a73f1b2d5635,external_seed:ext_2612d5b85415a73f1b2d5635,US,catkin.com,Catkin,CATKIN Tinted Glossy Lip Balm,https://www.catkin.com/products/catkin-tinted-glossy-lip-balm,https://www.catkin.com/products/catkin-tinted-glossy-lip-balm?variant=57069266239865&utm_source=pivota&utm_medium=affiliate,prod::external_seed::external_seed::ext_2612d5b85415a73f1b2d5635,ck_2856af1f9c1c550f11ebcacc18ec8d0c,,true,approved,true,false,brand,sig_6d12dcb11d6432e4eb1e59bf,pl_8f2de3d80d5811421451cfe9,rf_8f2de3d80d5811421451cfe9,true,"""2026-05-28T10:10:17.029Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_2612d5b85415a73f1b2d5635,true,false,not_expected_missing,,ready,,true,12,true,true,true,false,true,sellable:sig_6d12dcb11d6432e4eb1e59bf,true,available,19.99,19.99,true,false,,db_serving_ready,,ready_no_action,
eps_f794d8ae35654bec9a1ce605,ext_d9f973c170ea40e9a5e5fd3a,external_seed:ext_d9f973c170ea40e9a5e5fd3a,US,fentybeauty.com,fenty beauty,Precise Definition Eyeshadow Brush 220,https://fentybeauty.com/products/precise-definition-eyeshadow-brush-220,https://fentybeauty.com/products/precise-definition-eyeshadow-brush-220,prod::external_seed::external_seed::ext_d9f973c170ea40e9a5e5fd3a,ck_c40abdbd7e53bd8f6d349d8aca7c4ff5,,true,approved,true,false,brand,sig_adaa43baf09eb82f519632e72ef9386f,pl_7d288cbc7f4f350c9ea4d369,rf_7d288cbc7f4f350c9ea4d369,true,"""2026-05-28T10:10:32.427Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_d9f973c170ea40e9a5e5fd3a,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_adaa43baf09eb82f519632e72ef9386f,true,available,24,24,true,false,,db_serving_ready,,ready_no_action,
eps_b029e1dd9b6de9ad24f76e89,ext_cf0f60c66afa3fb09944df4d,external_seed:ext_cf0f60c66afa3fb09944df4d,US,missnella.com,Miss Nella,Lip Balm,https://www.missnella.com/products/lip-balm,https://www.missnella.com/products/lip-balm,prod::external_seed::external_seed::ext_cf0f60c66afa3fb09944df4d,ck_2019f97b04f48185f26206a0d3960e6a,,true,approved,true,false,brand,sig_42c5be387e5cc0b6a4590ec9,pl_c99d358f4fa50a19387a8d25,rf_c99d358f4fa50a19387a8d25,true,"""2026-05-28T10:10:32.427Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_cf0f60c66afa3fb09944df4d,true,false,not_expected_missing,,ready,,true,5,true,true,true,false,true,sellable:sig_42c5be387e5cc0b6a4590ec9,true,available,4.49,4.49,true,false,,db_serving_ready,,ready_no_action,
eps_f53943a8b5738fe3d1a29bb4,ext_b575a7ed71f0a4602a68c461,external_seed:ext_b575a7ed71f0a4602a68c461,US,missnella.com,Miss Nella,Nail Stickers,https://www.missnella.com/products/once-upon-a-nail-stickers,https://www.missnella.com/products/once-upon-a-nail-stickers,prod::external_seed::external_seed::ext_b575a7ed71f0a4602a68c461,ck_446439a2648fc3324b05fbb7318ee4a9,,true,approved,true,false,brand,sig_07147f32bbd1a55efb6892a6,pl_b76efa536278ed22598c79ab,rf_b76efa536278ed22598c79ab,true,"""2026-05-28T10:10:32.427Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_formula_and_usage,,,ext_b575a7ed71f0a4602a68c461,true,false,not_applicable_product_family,,no_visible_variant_axis,,true,7,true,true,true,false,true,sellable:sig_07147f32bbd1a55efb6892a6,true,available,13.5,13.5,true,false,,db_serving_ready,,ready_no_action,
eps_21d521fcd6c74f92859df3e2,ext_088b7dd1679758b246b0f765,external_seed:ext_088b7dd1679758b246b0f765,US,kyliecosmetics.com,kylie cosmetics,Makeup Brush Collection,https://kyliecosmetics.com/products/makeup-brush-collection,https://kyliecosmetics.com/products/makeup-brush-collection,prod::external_seed::external_seed::ext_088b7dd1679758b246b0f765,ck_cafabdfb44ba4bcde7332fa537820901,,true,approved,true,false,brand,sig_f664e67bc10a05c363e21285,pl_bb38740ee229e71c15da56f8,rf_bb38740ee229e71c15da56f8,true,"""2026-05-28T10:10:32.427Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_088b7dd1679758b246b0f765,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_f664e67bc10a05c363e21285,true,available,177.3,177.3,true,false,,db_serving_ready,,ready_no_action,
eps_503f5b9081c24f3a8e364459,ext_2f2e812e576dc5621c97f9ac,external_seed:ext_2f2e812e576dc5621c97f9ac,US,kyliecosmetics.com,kylie cosmetics,Blush Brush 04,https://kyliecosmetics.com/products/blush-brush-04,https://kyliecosmetics.com/products/blush-brush-04,prod::external_seed::external_seed::ext_2f2e812e576dc5621c97f9ac,ck_c6dc48c09cf1741dc48794791082b661,,true,approved,true,false,brand,sig_4a381cd4d6fd7bfcc8747be5,pl_c0838d555be3f2364d610ee0,rf_c0838d555be3f2364d610ee0,true,"""2026-05-28T10:10:17.029Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_2f2e812e576dc5621c97f9ac,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_4a381cd4d6fd7bfcc8747be5,true,available,25,25,true,false,,db_serving_ready,,ready_no_action,
eps_74e1d780b8274dfba087567b,ext_a69210e7e4fb16d94821f93a,external_seed:ext_a69210e7e4fb16d94821f93a,US,kyliecosmetics.com,kylie cosmetics,Concealer Brush 02,https://kyliecosmetics.com/products/brush-02,https://kyliecosmetics.com/products/brush-02,prod::external_seed::external_seed::ext_a69210e7e4fb16d94821f93a,ck_18b303056fedb49ef85772cb218fdd0b,,true,approved,true,false,brand,sig_e47b36a7fa7771a20c420e2f,pl_1944d49f63f69cadb4ac1341,rf_1944d49f63f69cadb4ac1341,true,"""2026-05-28T10:10:17.029Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_line,,,ext_a69210e7e4fb16d94821f93a,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_e47b36a7fa7771a20c420e2f,true,available,23,23,true,false,,db_serving_ready,,ready_no_action,
