seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_357e1d5631c26be320162e4a,ext_1ccec8358c11ec3397c03abf,external_seed:ext_1ccec8358c11ec3397c03abf,US,firstaidbeauty.com,First Aid Beauty,Ingrown Hair Pads with BHA + AHA Travel Size,https://www.firstaidbeauty.com/products/ingrown-hair-pads-with-bha-aha-travel-size,https://www.firstaidbeauty.com/products/ingrown-hair-pads-with-bha-aha-travel-size,prod::external_seed::external_seed::ext_1ccec8358c11ec3397c03abf,ck_70ecfeadece25a5a00ab04c7bcd30399,,true,approved,true,false,brand,sig_ae0bfd46e02b75c94dfae8da,pl_9054f61128d0fc212e427277,rf_9054f61128d0fc212e427277,true,"""2026-05-22T03:57:22.611Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_1ccec8358c11ec3397c03abf,true,false,low_signal_active,low_signal_active,ready,,true,2,true,true,true,false,true,sellable:sig_ae0bfd46e02b75c94dfae8da,true,available,20,20,true,false,,db_serving_ready,,ready_no_action,
eps_bf6cdc9ff73abfdd49e29e8b,ext_27541ddaefa99c1185fd9677,external_seed:ext_27541ddaefa99c1185fd9677,US,firstaidbeauty.com,First Aid Beauty,After-Shower Nourishing Body Oil,https://www.firstaidbeauty.com/products/after-shower-nourishing-body-oil,https://www.firstaidbeauty.com/products/after-shower-nourishing-body-oil,prod::external_seed::external_seed::ext_27541ddaefa99c1185fd9677,ck_bc83303cf8461cadddd9a75be56bf97a,,true,approved,true,false,brand,sig_40b2ae3fe9fb71bf7ee5a9f15104954d,pl_7223347e882740c6b88aca4e,rf_7223347e882740c6b88aca4e,true,"""2026-05-28T10:51:52.776Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_27541ddaefa99c1185fd9677,true,false,not_expected_missing,,ready,,true,2,true,true,true,false,true,sellable:sig_40b2ae3fe9fb71bf7ee5a9f15104954d,true,available,36,36,true,false,,db_serving_ready,,ready_no_action,
eps_a1a4f66927c3b88b520ae1c3,ext_3a8ab0e88713143fd1df39ed,external_seed:ext_3a8ab0e88713143fd1df39ed,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Fresh Peach,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-10-aha-fresh-peach,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-10-aha-fresh-peach,prod::external_seed::external_seed::ext_3a8ab0e88713143fd1df39ed,ck_4c897f6a409f7d47ed09e6f3714883ca,,true,approved,true,false,brand,sig_01f4484aaf4f2117ecee6852,pl_624bbcc2dc9dff4c115b496a,rf_624bbcc2dc9dff4c115b496a,true,"""2026-05-28T10:51:52.776Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_3a8ab0e88713143fd1df39ed,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_01f4484aaf4f2117ecee6852,true,available,30,30,true,false,,db_serving_ready,,ready_no_action,
eps_ee9062b2a08c44a135cf2026,ext_5a941eb383f5c65705b4b130,external_seed:ext_5a941eb383f5c65705b4b130,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Travel Size,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-travel-size,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-travel-size,prod::external_seed::external_seed::ext_5a941eb383f5c65705b4b130,ck_8ed4070e369200c5bca06cbc699f157f,,true,approved,true,false,brand,sig_9424af22dd39287cdad0bd06,pl_de88505b20faece70354b28f,rf_de88505b20faece70354b28f,true,"""2026-05-28T10:51:52.777Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_5a941eb383f5c65705b4b130,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_9424af22dd39287cdad0bd06,true,available,12,12,true,false,,db_serving_ready,,ready_no_action,
eps_f8cd595de02f4529b1e56038,ext_684ef08faa23d138a2222481,external_seed:ext_684ef08faa23d138a2222481,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Fresh Strawberry,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-fresh-strawberry,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-aha-fresh-strawberry,prod::external_seed::external_seed::ext_684ef08faa23d138a2222481,ck_ed41d4dc7031d1ba56e6e8d5576524a4,,true,approved,true,false,brand,sig_639c0acb5f107e6fce18d23b,pl_87bc1bb3b132f22c81297bd0,rf_87bc1bb3b132f22c81297bd0,true,"""2026-05-28T10:51:52.777Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_684ef08faa23d138a2222481,true,false,ready_hero,active_raw_may_be_full_inci,ready,,true,3,true,true,true,false,true,sellable:sig_639c0acb5f107e6fce18d23b,true,available,30,30,true,false,,db_serving_ready,,ready_no_action,
eps_e269070f4fa2705c3e22cd02,ext_6c2feb5d6e43c9362d6a2254,external_seed:ext_6c2feb5d6e43c9362d6a2254,US,firstaidbeauty.com,First Aid Beauty,Whole Body Deodorant Cream,https://www.firstaidbeauty.com/products/whole-body-deodorant-cream,https://www.firstaidbeauty.com/products/whole-body-deodorant-cream,prod::external_seed::external_seed::ext_6c2feb5d6e43c9362d6a2254,ck_269e877c4ab6a8b14144b860b6960114,,true,approved,true,false,brand,sig_279362093239bdacf0de0329,pl_df788f481ba3164dc00b2d6f,rf_df788f481ba3164dc00b2d6f,true,"""2026-05-28T10:51:52.777Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_6c2feb5d6e43c9362d6a2254,true,false,ready_other,,ready,,true,1,true,true,true,false,true,sellable:sig_279362093239bdacf0de0329,true,available,20,20,true,false,,db_serving_ready,,ready_no_action,
eps_d5b92da9dd20604d3c361503,ext_7c4b0a2885131b08d1cda84a,external_seed:ext_7c4b0a2885131b08d1cda84a,US,firstaidbeauty.com,First Aid Beauty,Dark Spot Serum with Niacinamide,https://www.firstaidbeauty.com/products/dark-spot-serum-with-niacinamide,https://www.firstaidbeauty.com/products/dark-spot-serum-with-niacinamide,prod::external_seed::external_seed::ext_7c4b0a2885131b08d1cda84a,ck_9e48ba1f05b91fff1b0dbd8bba0f767d,,true,approved,true,false,brand,sig_17be71a5c6eab6de4b2f30f4,pl_fe6d32d65977cb77f76df0fc,rf_fe6d32d65977cb77f76df0fc,true,"""2026-04-15T14:49:47.473Z""",,displayable,true,true,true,eligible,seller_plus_formula,quality_eligible,,ext_7c4b0a2885131b08d1cda84a,true,false,ready_hero,,ready,,true,1,true,true,true,false,true,sellable:sig_17be71a5c6eab6de4b2f30f4,true,available,42,42,true,false,,db_serving_ready,,ready_no_action,
eps_3d478779e0f1fd5817ead459,ext_84593a93fbe72818eb9f87d3,external_seed:ext_84593a93fbe72818eb9f87d3,US,firstaidbeauty.com,First Aid Beauty,Ultra Gentle Cream-to-Foam Face Cleanser with Colloidal Oatmeal + Glycerin Travel Size,https://www.firstaidbeauty.com/products/face-cleanser-travel-size,https://www.firstaidbeauty.com/products/face-cleanser-travel-size,prod::external_seed::external_seed::ext_84593a93fbe72818eb9f87d3,ck_4080d1366fecc9034abb0abe9b8c6d2e,,true,approved,true,false,brand,sig_9338dd2b6714f99532a380bf,pl_e1ac9a41491009c3a2fd39dc,rf_e1ac9a41491009c3a2fd39dc,true,"""2026-05-28T10:51:52.777Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_84593a93fbe72818eb9f87d3,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_9338dd2b6714f99532a380bf,true,available,12,12,true,false,,db_serving_ready,,ready_no_action,
eps_ba9603bb9f79fc119eef1928,ext_8753278741a1169f5466840f,external_seed:ext_8753278741a1169f5466840f,US,firstaidbeauty.com,First Aid Beauty,Anti-Chafe Stick with Shea Butter + Colloidal Oatmeal,https://www.firstaidbeauty.com/products/anti-chafe-stick-with-shea-butter-colloidal-oatmeal,https://www.firstaidbeauty.com/products/anti-chafe-stick-with-shea-butter-colloidal-oatmeal,prod::external_seed::external_seed::ext_8753278741a1169f5466840f,ck_503e114f33f643c433a4d449e4059e7c,,true,approved,true,false,brand,sig_fda3d239d442df73d74dfdd8,pl_50764d03690dfc11cd81618a,rf_50764d03690dfc11cd81618a,true,"""2026-05-28T10:51:52.777Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_8753278741a1169f5466840f,true,false,missing_hero,missing_hero,ready,,true,1,true,true,true,false,true,sellable:sig_fda3d239d442df73d74dfdd8,true,available,20,20,true,false,,db_serving_ready,,ready_no_action,
eps_6021dad7dd5b09cc4d083f0d,ext_8e21eb216b27854ddea6e0fa,external_seed:ext_8e21eb216b27854ddea6e0fa,US,firstaidbeauty.com,First Aid Beauty,Ultra Gentle Cream-to-Foam Face Cleanser Jumbo,https://www.firstaidbeauty.com/products/face-cleanser-jumbo,https://www.firstaidbeauty.com/products/face-cleanser-jumbo,prod::external_seed::external_seed::ext_8e21eb216b27854ddea6e0fa,ck_47d8aba5a18297d4ed6b267c39988756,,true,approved,true,false,brand,sig_0880816a4286272a8eca3b73,pl_dd1940661c1786771c3ab775,rf_dd1940661c1786771c3ab775,true,"""2026-05-28T10:51:52.777Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_8e21eb216b27854ddea6e0fa,true,false,low_signal_active,low_signal_active,ready,,true,1,true,true,true,false,true,sellable:sig_0880816a4286272a8eca3b73,true,available,42,42,true,false,,db_serving_ready,,ready_no_action,
