seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_23d25c06862cb6bc6e0546ea,ext_08a4a4bfddf769bc8b3d7944,external_seed:ext_08a4a4bfddf769bc8b3d7944,US,firstaidbeauty.com,First Aid Beauty,KP Smoothing + Brightening Body Lotion Fresh Peach,https://www.firstaidbeauty.com/products/kp-smoothing-brightening-body-lotion-with-aha-and-urea,https://www.firstaidbeauty.com/products/kp-smoothing-brightening-body-lotion-with-aha-and-urea,prod::external_seed::external_seed::ext_08a4a4bfddf769bc8b3d7944,ck_33ca8b14be0cac758b5a7325a3a86afc,,true,approved,true,false,brand,sig_6c861516fbf75bf9d82104f0,pl_89f7d3eecea04348f3444b61,rf_89f7d3eecea04348f3444b61,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_08a4a4bfddf769bc8b3d7944,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_6c861516fbf75bf9d82104f0,false,missing,36,36,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_08a4a4bfddf769bc8b3d7944 --limit 1 --skip-gemini
eps_3866693f350cfe49d649c264,ext_0ace092e3cb5d4cc0e714a7b,external_seed:ext_0ace092e3cb5d4cc0e714a7b,US,firstaidbeauty.com,First Aid Beauty,Bronze + Glow Drops with Niacinamide,https://www.firstaidbeauty.com/products/bronze-glow-drops-with-niacinamide,https://www.firstaidbeauty.com/products/bronze-glow-drops-with-niacinamide,prod::external_seed::external_seed::ext_0ace092e3cb5d4cc0e714a7b,ck_9918afe959f9cc7f014b524c5f074790,,true,approved,true,false,brand,sig_31c6611dea85ff019b482d3c,pl_a80d6da04342241e73cbf239,rf_a80d6da04342241e73cbf239,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_0ace092e3cb5d4cc0e714a7b,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_31c6611dea85ff019b482d3c,false,missing,28,28,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_0ace092e3cb5d4cc0e714a7b --limit 1 --skip-gemini
eps_7bca88e949298a2b805f5215,ext_11963457ee34178a22a33486,external_seed:ext_11963457ee34178a22a33486,US,firstaidbeauty.com,First Aid Beauty,Ultra Gentle Cream-to-Foam Face Cleanser with Colloidal Oatmeal + Glycerin,https://www.firstaidbeauty.com/products/face-cleanser,https://www.firstaidbeauty.com/products/face-cleanser,prod::external_seed::external_seed::ext_11963457ee34178a22a33486,ck_178374b4262b83a0e4a71e9751e1101d,,true,approved,true,false,brand,sig_d4f08b3f258bc12e003165d2,pl_653bc33691e1c6fe5b4b2a80,rf_653bc33691e1c6fe5b4b2a80,true,"""2026-04-12T01:31:32.493Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_11963457ee34178a22a33486,false,false,low_signal_active,low_signal_active,ready,,true,1,true,true,false,false,true,sellable:sig_d4f08b3f258bc12e003165d2,false,missing,27,27,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_11963457ee34178a22a33486 --limit 1 --skip-gemini
eps_a044bdb2e50ac82eb1491104,ext_1b35e9b9464058f6b641c8e3,external_seed:ext_1b35e9b9464058f6b641c8e3,US,firstaidbeauty.com,First Aid Beauty,Brighten + Glow Facial Radiance Pads with Glycolic + Lactic Acids 90 Count,https://www.firstaidbeauty.com/products/facial-radiance-pads-with-glycolic-lactic-acids-90-day,https://www.firstaidbeauty.com/products/facial-radiance-pads-with-glycolic-lactic-acids-90-day,prod::external_seed::external_seed::ext_1b35e9b9464058f6b641c8e3,ck_98644c5ab6d7d7bd692d0dcf29fa56ba,,true,approved,true,false,brand,sig_d76694f078649c0b53798dcb,pl_9730317f63d1c91984db3d09,rf_9730317f63d1c91984db3d09,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_1b35e9b9464058f6b641c8e3,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_d76694f078649c0b53798dcb,false,missing,56,56,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1b35e9b9464058f6b641c8e3 --limit 1 --skip-gemini
eps_c8ee6de59e29db43a5bdf47c,ext_1d9e01e4c3a8800a0c22b175,external_seed:ext_1d9e01e4c3a8800a0c22b175,US,firstaidbeauty.com,First Aid Beauty,Daily Resurfacing Lotion with 2% Niacinamide,https://www.firstaidbeauty.com/products/resurfacing-moisturizer-acne,https://www.firstaidbeauty.com/products/resurfacing-moisturizer-acne,prod::external_seed::external_seed::ext_1d9e01e4c3a8800a0c22b175,ck_2d239d26a785e03be0fa79f260f20f13,,true,approved,true,false,brand,sig_3420cc9a872ea018e01f3917,pl_df494c0b9dceb0c9cec233bd,rf_df494c0b9dceb0c9cec233bd,true,"""2026-04-12T01:31:32.493Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|public_generic_marketing_copy|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|public_generic_marketing_copy,ext_1d9e01e4c3a8800a0c22b175,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_3420cc9a872ea018e01f3917,false,missing,30,30,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|public_generic_marketing_copy,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1d9e01e4c3a8800a0c22b175 --limit 1 --skip-gemini
eps_9e6b2d088eb8d71e4240af4c,ext_3c794804d01f461caa12a3a3,external_seed:ext_3c794804d01f461caa12a3a3,US,firstaidbeauty.com,First Aid Beauty,"Ultra Repair Retinol Eye Cream with Retinol, Squalane + Ceramides",https://www.firstaidbeauty.com/products/retinol-eye-cream-with-squalane-ceramides,https://www.firstaidbeauty.com/products/retinol-eye-cream-with-squalane-ceramides,prod::external_seed::external_seed::ext_3c794804d01f461caa12a3a3,ck_5858458585e77248aa4f06ae2ae0e941,,true,approved,true,false,brand,sig_694a354ae83cb101ddfd0693,pl_8b88c26fa9350f45dfa05761,rf_8b88c26fa9350f45dfa05761,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_3c794804d01f461caa12a3a3,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_694a354ae83cb101ddfd0693,false,missing,45,45,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_3c794804d01f461caa12a3a3 --limit 1 --skip-gemini
eps_e9f9c6161a2be1f06ab32dc0,ext_509af4ff581a6ee8211c5b18,external_seed:ext_509af4ff581a6ee8211c5b18,US,firstaidbeauty.com,First Aid Beauty,Ultra Repair Rescue Barrier Balm with Dimethicone,https://www.firstaidbeauty.com/products/ultra-repair-rescue-barrier-balm-with-dimethicone,https://www.firstaidbeauty.com/products/ultra-repair-rescue-barrier-balm-with-dimethicone,prod::external_seed::external_seed::ext_509af4ff581a6ee8211c5b18,ck_3f73be7aad1ea0c50cfde976de310da0,,true,approved,true,false,brand,sig_f93d4e4f096acac1d386dc49,pl_c2e51d8059b23b77ba00ff89,rf_c2e51d8059b23b77ba00ff89,true,"""2026-04-10T08:34:50.050Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_509af4ff581a6ee8211c5b18,false,false,ready_other,,ready,,true,1,true,true,false,false,true,sellable:sig_f93d4e4f096acac1d386dc49,false,missing,36,36,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_509af4ff581a6ee8211c5b18 --limit 1 --skip-gemini
eps_650e43f50a73cf3c2dd8085e,ext_62685854dfc71d2634e828e6,external_seed:ext_62685854dfc71d2634e828e6,US,firstaidbeauty.com,First Aid Beauty,"Ultra Repair Firming Day Cream with Peptides, Niacinamide + Collagen",https://www.firstaidbeauty.com/products/firming-cream-with-peptides-niacinamide-and-collagen,https://www.firstaidbeauty.com/products/firming-cream-with-peptides-niacinamide-and-collagen,prod::external_seed::external_seed::ext_62685854dfc71d2634e828e6,ck_896cfa43ce9cc0352e1d062f69c6bf93,,true,approved,true,false,brand,sig_7a314bf1e42826e61bc742cc,pl_fca82a88291571974eb4c24a,rf_fca82a88291571974eb4c24a,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_62685854dfc71d2634e828e6,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_7a314bf1e42826e61bc742cc,false,missing,49,49,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_62685854dfc71d2634e828e6 --limit 1 --skip-gemini
eps_37f2ec82576b82cf293aa7fb,ext_67275a9b74b688eca7eefe38,external_seed:ext_67275a9b74b688eca7eefe38,US,firstaidbeauty.com,First Aid Beauty,KP Bump Eraser Body Scrub 10% AHA Toasted Coconut,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-with-10-aha-toasted-coconut,https://www.firstaidbeauty.com/products/kp-bump-eraser-body-scrub-with-10-aha-toasted-coconut,prod::external_seed::external_seed::ext_67275a9b74b688eca7eefe38,ck_5544d88cde25be7fcc9aeb7469b42325,,true,approved,true,false,brand,sig_5b115b1e437cf11bdd013bc6,pl_9ac985dec1f894211ce8aaa6,rf_9ac985dec1f894211ce8aaa6,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_67275a9b74b688eca7eefe38,false,false,low_signal_active,low_signal_active,ready,,true,1,true,true,false,false,true,sellable:sig_5b115b1e437cf11bdd013bc6,false,missing,30,30,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_67275a9b74b688eca7eefe38 --limit 1 --skip-gemini
eps_656a11364fe7fd6b62dccb1c,ext_77c5474a61c7c179242465d2,external_seed:ext_77c5474a61c7c179242465d2,US,firstaidbeauty.com,First Aid Beauty,Brighten + Glow Eye Cream with Niacinamide,https://www.firstaidbeauty.com/products/brighten-glow-eye-cream-with-niacinamide,https://www.firstaidbeauty.com/products/brighten-glow-eye-cream-with-niacinamide,prod::external_seed::external_seed::ext_77c5474a61c7c179242465d2,ck_54f2281e823345de1fbd1c77548bf3b9,,true,approved,true,false,brand,sig_a682d7bcd5569b429f9d29c2741f4c3d,pl_393503aed1b3b30cc3077daa,rf_393503aed1b3b30cc3077daa,true,"""2026-04-11T23:52:08.420Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate,ext_77c5474a61c7c179242465d2,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_a682d7bcd5569b429f9d29c2741f4c3d,false,missing,36,36,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_77c5474a61c7c179242465d2 --limit 1 --skip-gemini
