seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_d769733a1156f2a447a6338b,ext_03246d53c45c6dcddce7894e,external_seed:ext_03246d53c45c6dcddce7894e,US,rhodeskin.com,rhode,barrier restore cream,https://www.rhodeskin.com/products/barrier-restore-cream,https://www.rhodeskin.com/products/barrier-restore-cream,prod::external_seed::external_seed::ext_03246d53c45c6dcddce7894e,ck_1d43a39bcf71b1968df44bf29d8f1e3a,,true,approved,true,false,brand,sig_29ed2e5f318a5d70a2f645ed,pl_c38383ab206b88c6a3fbd4b5,rf_c38383ab206b88c6a3fbd4b5,true,"""2026-04-15T04:42:27.293Z""",,displayable,true,false,true,eligible,community_supported,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_03246d53c45c6dcddce7894e,false,false,ready_hero,,ready,,true,3,true,true,false,false,true,sellable:sig_29ed2e5f318a5d70a2f645ed,false,missing,32,32,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_03246d53c45c6dcddce7894e --limit 1 --skip-gemini
eps_bb666bd384e831a134e13fcb,ext_1042d177a365881339fa11a9,external_seed:ext_1042d177a365881339fa11a9,US,rhodeskin.com,rhode,peptide lip treatment strawberry glaze,https://www.rhodeskin.com/products/peptide-lip-treatment-strawberry-glaze,https://www.rhodeskin.com/products/peptide-lip-treatment-strawberry-glaze,prod::external_seed::external_seed::ext_1042d177a365881339fa11a9,ck_e40d0b0ece081d924bb7bda018ad361f,,true,approved,true,false,brand,sig_c50e8f24976407e8128c117a,pl_27ef4c2df9360031d949399f,rf_27ef4c2df9360031d949399f,true,"""2026-05-22T03:01:30.686Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_1042d177a365881339fa11a9,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_c50e8f24976407e8128c117a,false,missing,20,20,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1042d177a365881339fa11a9 --limit 1 --skip-gemini
eps_f05f65a4bf9f3dc0cc772de1,ext_2591b74dda0b54e9c70dd47c,external_seed:ext_2591b74dda0b54e9c70dd47c,US,rhodeskin.com,rhode,peptide lip tint jelly bean,https://www.rhodeskin.com/products/peptide-lip-tint-jelly-bean,https://www.rhodeskin.com/products/peptide-lip-tint-jelly-bean,prod::external_seed::external_seed::ext_2591b74dda0b54e9c70dd47c,ck_d24ec4ac56bcc7993531a6c44fd313f5,category,true,approved,true,false,brand,sig_8b6ac0d7d9d707ac69475361,pl_b3d05d075107e3723428e565,rf_b3d05d075107e3723428e565,true,"""2026-05-22T03:01:34.496Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_2591b74dda0b54e9c70dd47c,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_8b6ac0d7d9d707ac69475361,false,missing,20,20,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain rhodeskin.com --dry-run
eps_316ee046de2e41e837026aca,ext_2a9f633e57e1bd8131d024f8,external_seed:ext_2a9f633e57e1bd8131d024f8,US,rhodeskin.com,rhode,pineapple refresh,https://www.rhodeskin.com/products/pineapple-refresh-cleanser,https://www.rhodeskin.com/products/pineapple-refresh-cleanser,prod::external_seed::external_seed::ext_2a9f633e57e1bd8131d024f8,ck_7711db19a0d963a6b3dab94376115428,,true,approved,true,false,brand,sig_6ed3011f75eae8da7c0ac023,pl_218f6eb67e3b02ce80a97436,rf_218f6eb67e3b02ce80a97436,true,"""2026-05-22T03:01:41.362Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_2a9f633e57e1bd8131d024f8,false,false,low_signal_active,low_signal_active,ready,,true,3,true,true,false,false,true,sellable:sig_6ed3011f75eae8da7c0ac023,false,missing,30,30,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_2a9f633e57e1bd8131d024f8 --limit 1 --skip-gemini
eps_9e4367f1f82f494a799f4981,ext_2aee0dd4eafdbcae677997f0,external_seed:ext_2aee0dd4eafdbcae677997f0,US,rhodeskin.com,rhode,peptide lip tint pretzel,https://www.rhodeskin.com/products/peptide-lip-tint-pretzel,https://www.rhodeskin.com/products/peptide-lip-tint-pretzel,prod::external_seed::external_seed::ext_2aee0dd4eafdbcae677997f0,ck_5f3949d1e45ac2307a1c221433397154,category,true,approved,true,false,brand,sig_cd8610468490f28450d70c7d,pl_4a4555ed6afa477d22504d3b,rf_4a4555ed6afa477d22504d3b,true,"""2026-05-22T03:01:36.345Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_2aee0dd4eafdbcae677997f0,false,false,ready_hero,,ready,,true,2,true,true,false,false,true,sellable:sig_cd8610468490f28450d70c7d,false,missing,20,20,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain rhodeskin.com --dry-run
eps_9f3857c605719f0a221b4946,ext_4357d33527506b2749d382ed,external_seed:ext_4357d33527506b2749d382ed,US,rhodeskin.com,rhode,barrier butter,https://www.rhodeskin.com/products/barrier-butter,https://www.rhodeskin.com/products/barrier-butter,prod::external_seed::external_seed::ext_4357d33527506b2749d382ed,ck_16d16c234bb5e239c9ccc767be0066ad,category,true,approved,true,false,brand,sig_124b1738e8973a6bb2ed2b1f,pl_ab7c5e48e5ed01765b20bd10,rf_ab7c5e48e5ed01765b20bd10,true,"""2026-04-15T04:42:27.293Z""",,displayable,true,false,true,eligible,community_supported,missing_card_highlight|quality_eligible,missing_card_highlight,ext_4357d33527506b2749d382ed,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_124b1738e8973a6bb2ed2b1f,false,missing,36,36,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain rhodeskin.com --dry-run
eps_68e5d07ced81419dd8cc9ec4,ext_4d65feee5bf1b7dc8b0b41f4,external_seed:ext_4d65feee5bf1b7dc8b0b41f4,US,rhodeskin.com,rhode,peptide lip boost sugarmint,https://www.rhodeskin.com/products/peptide-lip-boost-sugarmint,https://www.rhodeskin.com/products/peptide-lip-boost-sugarmint,prod::external_seed::external_seed::ext_4d65feee5bf1b7dc8b0b41f4,ck_d47b8c6a9296417db263db2b087d7505,,true,approved,true,false,brand,sig_cf50a742af543978e5c90890,pl_845d2bbfe2e1a6d31a2d4bad,rf_845d2bbfe2e1a6d31a2d4bad,true,"""2026-05-22T03:01:44.350Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_4d65feee5bf1b7dc8b0b41f4,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_cf50a742af543978e5c90890,false,missing,23,23,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_4d65feee5bf1b7dc8b0b41f4 --limit 1 --skip-gemini
eps_1c65c854ce6c1da610a0b3bf,ext_4e34b75bd56e4802d540069c,external_seed:ext_4e34b75bd56e4802d540069c,US,rhodeskin.com,rhode,glazing mist,https://www.rhodeskin.com/products/glazing-mist,https://www.rhodeskin.com/products/glazing-mist,prod::external_seed::external_seed::ext_4e34b75bd56e4802d540069c,ck_c527b62d3343292f5e10e79795d8a1d3,category,true,approved,true,false,brand,sig_4e843ff50d3ff5e3c5d3eb85,pl_f643c6b781220959a4eea10d,rf_f643c6b781220959a4eea10d,true,"""2026-05-22T03:01:47.383Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_4e34b75bd56e4802d540069c,false,false,ready_hero,active_raw_may_be_full_inci,ready,,true,1,true,true,false,false,true,sellable:sig_4e843ff50d3ff5e3c5d3eb85,false,missing,30,30,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain rhodeskin.com --dry-run
eps_20185935ca26490da844acc5,ext_809e70b6907b6e0fb65cdad5,external_seed:ext_809e70b6907b6e0fb65cdad5,US,rhodeskin.com,rhode,peptide lip tint salty tan,https://www.rhodeskin.com/products/peptide-lip-tint-salty-tan,https://www.rhodeskin.com/products/peptide-lip-tint-salty-tan,prod::external_seed::external_seed::ext_809e70b6907b6e0fb65cdad5,ck_02bdb9560266643413fc2060f0605e52,category,true,approved,true,false,brand,sig_180735680ef343e35e3af2d5,pl_b8c5d1496a1e315cf30a39f3,rf_b8c5d1496a1e315cf30a39f3,true,"""2026-05-22T03:01:38.015Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_809e70b6907b6e0fb65cdad5,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_180735680ef343e35e3af2d5,false,missing,20,20,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain rhodeskin.com --dry-run
eps_69abb78e8cd2700239a21d17,ext_843a33f7d9ccb23c6ae227ee,external_seed:ext_843a33f7d9ccb23c6ae227ee,US,rhodeskin.com,rhode,glazing milk,https://www.rhodeskin.com/products/glazing-milk,https://www.rhodeskin.com/products/glazing-milk,prod::external_seed::external_seed::ext_843a33f7d9ccb23c6ae227ee,ck_9b97908a37091afcadefd3803cdb5f1c,category,true,approved,true,false,brand,sig_b299c4e351eb0cc655c7f4c6,pl_eab89323c0b650c7aadffc77,rf_eab89323c0b650c7aadffc77,true,"""2026-04-22T22:06:19.851Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_843a33f7d9ccb23c6ae227ee,false,false,ready_hero,,ready,,true,1,true,true,false,false,true,sellable:sig_b299c4e351eb0cc655c7f4c6,false,missing,32,32,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain rhodeskin.com --dry-run
