seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_18a55ab4f960af84f3c49c4d,ext_b3cbae284413bc58a3b25c50,external_seed:ext_b3cbae284413bc58a3b25c50,US,supergoop.com,Supergoop!,PLAY Lip Balm SPF 30,https://supergoop.com/products/play-lip-balm-spf-30,https://supergoop.com/products/play-lip-balm-spf-30,prod::external_seed::external_seed::ext_b3cbae284413bc58a3b25c50,ck_3e128d0dd54fbc0b2d9b40d548c173ca,,true,review_required,false,true,brand,sig_95711dafb8c2a9b3db750048,pl_d79e26f2acb5fa40542d214a,rf_d79e26f2acb5fa40542d214a,true,"""2026-05-22T03:02:20.775Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_b3cbae284413bc58a3b25c50,false,false,ready_regulatory,,ready,,true,1,true,true,false,false,false,,false,,,,false,false,,identity_blocked,not_live_read_enabled|identity_status_review_required|review_required,lane_1_identity_index,node scripts/audit-pdp-entity-resolution.js --market US --limit 500 --dry-run
eps_73a7cf28a182a9d7af1e168a,ext_f51b2e9026d47980c5ada3bf,external_seed:ext_f51b2e9026d47980c5ada3bf,US,supergoop.com,Supergoop!,Butterfly Hair Clip,https://supergoop.com/products/butterfly-hair-clip,https://supergoop.com/products/butterfly-hair-clip,prod::external_seed::external_seed::ext_f51b2e9026d47980c5ada3bf,ck_e3f5ad03d17d51acae39a1bd1afc9d56,category,true,approved,true,false,brand,sig_21a25782e614522defc3efde,pl_66012b3ea1bdfdcef7b03107,rf_66012b3ea1bdfdcef7b03107,true,"""2026-05-11T17:58:47.152Z""",,not_displayable,false,false,true,limited,seller_only,reviewed_not_displayable|public_generic_marketing_copy|quality_limited|seller_only_evidence,reviewed_not_displayable|public_generic_marketing_copy,ext_f51b2e9026d47980c5ada3bf,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_21a25782e614522defc3efde,false,missing,10,10,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain supergoop.com --dry-run
eps_e48e892068ae2a6fe94dbb40,ext_0231446ecac11c097b5c182a,external_seed:ext_0231446ecac11c097b5c182a,US,supergoop.com,Supergoop!,Unseen Sunscreen SPF 50,https://supergoop.com/products/unseen-sunscreen-spf-50,https://supergoop.com/products/unseen-sunscreen-spf-50,prod::external_seed::external_seed::ext_0231446ecac11c097b5c182a,ck_8c8121ad7d425a9eb5a40fe2ee0bd5bd,,true,approved,true,false,brand,sig_7d3a5ec03e4e70ce239eaa0c,pl_b52c2d25227d6dfec023c031,rf_b52c2d25227d6dfec023c031,true,"""2026-04-19T23:12:33.826Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_0231446ecac11c097b5c182a,false,false,ready_regulatory,,ready,,true,5,true,true,false,false,true,sellable:sig_7d3a5ec03e4e70ce239eaa0c,false,missing,38,38,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_0231446ecac11c097b5c182a --limit 1 --skip-gemini
eps_3230deaa20cf57a3b55cd906,ext_192d3571e29963d1f55307db,external_seed:ext_192d3571e29963d1f55307db,US,supergoop.com,Supergoop!,SPF! Keychain,https://supergoop.com/products/spf-keychain,https://supergoop.com/products/spf-keychain,prod::external_seed::external_seed::ext_192d3571e29963d1f55307db,ck_8aad2980aad5a3d88540f42a00ce7ec0,,true,approved,true,false,brand,sig_a66edcc0cf88b6242b40295d,pl_662fd66ab872a23c37daed6a,rf_662fd66ab872a23c37daed6a,true,"""2026-05-11T17:55:29.631Z""",,not_displayable,false,false,true,limited,seller_only,reviewed_not_displayable|quality_limited|seller_only_evidence,reviewed_not_displayable,ext_192d3571e29963d1f55307db,false,false,not_applicable_product_family,,ready,,true,2,true,true,false,false,true,sellable:sig_a66edcc0cf88b6242b40295d,false,missing,10,10,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_192d3571e29963d1f55307db --limit 1 --skip-gemini
eps_d073a7d2c2d621970505f855,ext_1d9f58d9eb614ad78f87503e,external_seed:ext_1d9f58d9eb614ad78f87503e,US,supergoop.com,Supergoop!,PLAY Lip Shield SPF 30 Coconut,https://supergoop.com/products/play-lip-shield-spf-30-coconut-1,https://supergoop.com/products/play-lip-shield-spf-30-coconut-1,prod::external_seed::external_seed::ext_1d9f58d9eb614ad78f87503e,ck_ffffe7e8e999504223008c5171081f63,,true,approved,true,false,brand,sig_0150dcf7ffdea94a4659bf3f,pl_517536f6a5cbb52d777c3630,rf_517536f6a5cbb52d777c3630,true,"""2026-04-25T14:46:12.173Z""",,not_displayable,false,false,true,eligible,seller_plus_formula,reviewed_not_displayable|missing_card_highlight|empty_watchouts|quality_eligible,reviewed_not_displayable|missing_card_highlight,ext_1d9f58d9eb614ad78f87503e,false,false,ready_regulatory,,ready,,true,2,true,true,false,false,true,sellable:sig_0150dcf7ffdea94a4659bf3f,false,missing,30,30,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1d9f58d9eb614ad78f87503e --limit 1 --skip-gemini
eps_3d9a2c614fa96802874850d3,ext_2541610fd3f95d198c98bd01,external_seed:ext_2541610fd3f95d198c98bd01,US,supergoop.com,Supergoop,Unseen Sunscreen Stick SPF 40,https://supergoop.com/products/unseen-clear-sunscreen-stick,https://supergoop.com/products/unseen-clear-sunscreen-stick,prod::external_seed::external_seed::ext_2541610fd3f95d198c98bd01,ck_7f02a688409ae345e63200ffe8560118,,true,approved,true,false,brand,sig_6b672e837f05a55b5f17b7c6,pl_2921d36475e31f4786ed3203,rf_2921d36475e31f4786ed3203,true,"""2026-04-15T04:42:27.293Z""",,displayable,true,false,true,eligible,community_supported,missing_card_highlight|empty_watchouts|quality_eligible,missing_card_highlight,ext_2541610fd3f95d198c98bd01,false,false,ready_regulatory,,ready,,true,2,true,true,false,false,true,sellable:sig_6b672e837f05a55b5f17b7c6,false,missing,32,32,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_2541610fd3f95d198c98bd01 --limit 1 --skip-gemini
eps_b80e29fdb7285841bb4bc319,ext_2a7f0f4aac89565439078194,external_seed:ext_2a7f0f4aac89565439078194,US,supergoop.com,Supergoop!,PLAY Antioxidant Body Mist SPF 30 with Vitamin C,https://supergoop.com/products/play-antioxidant-body-mist-spf-30-with-vitamin-c,https://supergoop.com/products/play-antioxidant-body-mist-spf-30-with-vitamin-c,prod::external_seed::external_seed::ext_2a7f0f4aac89565439078194,ck_d7956f5b281add6989fe6e39e25171a8,,true,approved,true,false,brand,sig_eeb2cb273ec9425256ab6c3d,pl_d9386df37d4f7f2a289af2d9,rf_d9386df37d4f7f2a289af2d9,true,"""2026-04-19T22:31:46.170Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_2a7f0f4aac89565439078194,false,false,ready_regulatory,,ready,,true,2,true,true,false,false,true,sellable:sig_eeb2cb273ec9425256ab6c3d,false,missing,24,24,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_2a7f0f4aac89565439078194 --limit 1 --skip-gemini
eps_9076a5823daa1b88de40d1fb,ext_356103c0072a64c0d2b112f0,external_seed:ext_356103c0072a64c0d2b112f0,US,supergoop.com,Supergoop!,PLAY Everyday Lotion SPF 30,https://supergoop.com/products/everyday-sunscreen-spf30,https://supergoop.com/products/everyday-sunscreen-spf30,prod::external_seed::external_seed::ext_356103c0072a64c0d2b112f0,ck_cced1c86356566e6bce0f36e53420608,,true,approved,true,false,brand,sig_db40f83ec228d7ee80e419f9,pl_86e309474f56d3ad1304816a,rf_86e309474f56d3ad1304816a,true,"""2026-04-15T06:55:42.310Z""",,displayable,true,false,true,eligible,community_supported,missing_card_highlight|quality_eligible,missing_card_highlight,ext_356103c0072a64c0d2b112f0,false,false,ready_regulatory,,ready,,true,1,true,true,false,false,true,sellable:sig_db40f83ec228d7ee80e419f9,false,missing,18,18,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_356103c0072a64c0d2b112f0 --limit 1 --skip-gemini
eps_fd7f93d69017cc6ca2fde4bd,ext_39dea73e212c850cc4ba3dfb,external_seed:ext_39dea73e212c850cc4ba3dfb,US,supergoop.com,Supergoop!,SPF! Glass Water Bottle,https://supergoop.com/products/spf-glass-water-bottle,https://supergoop.com/products/spf-glass-water-bottle,prod::external_seed::external_seed::ext_39dea73e212c850cc4ba3dfb,ck_6dd9e5356c8b721c2497801d4ed10ad2,,true,approved,true,false,brand,sig_704552d36a93c4e819f8cd3d,pl_984eb7bd5397e8b032dc813d,rf_984eb7bd5397e8b032dc813d,true,"""2026-05-11T17:52:19.197Z""",,not_displayable,false,false,true,limited,seller_only,reviewed_not_displayable|quality_limited|seller_only_evidence,reviewed_not_displayable,ext_39dea73e212c850cc4ba3dfb,false,false,missing_regulatory,missing_regulatory,ready,,true,1,true,true,false,false,true,sellable:sig_704552d36a93c4e819f8cd3d,false,missing,30,30,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_39dea73e212c850cc4ba3dfb --limit 1 --skip-gemini
eps_0f24397e437898372495ff66,ext_4f05182f81e66c1a648219ec,external_seed:ext_4f05182f81e66c1a648219ec,US,supergoop.com,Supergoop!,Protec(tint) Daily Skin Tint SPF 50,https://supergoop.com/products/protectint-skin-tint-spf-50,https://supergoop.com/products/protectint-skin-tint-spf-50,prod::external_seed::external_seed::ext_4f05182f81e66c1a648219ec,ck_770279e8a850c143d0c9648b308091d0,,true,approved,true,false,brand,sig_eb85b6322cfac9a3931d405d,pl_f53545ffbf43526cd25ada9b,rf_f53545ffbf43526cd25ada9b,true,"""2026-04-19T22:31:46.170Z""",,displayable,true,false,true,eligible,seller_plus_formula,missing_card_highlight|quality_eligible,missing_card_highlight,ext_4f05182f81e66c1a648219ec,false,false,ready_regulatory,,ready,,true,1,true,true,false,false,true,sellable:sig_eb85b6322cfac9a3931d405d,false,missing,44,44,true,false,,kb_blocked,blocking_issues:missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_4f05182f81e66c1a648219ec --limit 1 --skip-gemini
