priority,external_product_id,title,canonical_url,quality_flags,current_lane,identity_status,identity_review_required,index_serving_eligible,decision,mapping_type,target_parent_external_product_id,target_parent_title,target_parent_lane,target_parent_flags,target_parent_index_serving_eligible,component_role,confidence,source_policy,serving_action,next_safe_step,reviewer_notes
P2,ext_9431ebc91685248f841adc6d,Add Blueberry Smoothie - Deep Lilac,https://www.missnella.com/products/blueberry-smoothie-deep-lilac,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Blueberry Smoothie nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_fb538b176ea055fb4e7a4f36,Add Body Glitter?,https://www.missnella.com/products/add-body-glitter,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_ambiguous_family_parent,family_selector_without_single_parent,,,,,false,Body glitter add-on family,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,split the family selector into explicit variant parents or hold as an add-on UI artifact,"The row represents a selector/family, not one concrete formula; mapping to a single product would be unsafe."
P2,ext_d893e9b6d0da41c7c7e88a3b,Add Bubble Gum - Lilac,https://www.missnella.com/products/bubble-gum,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Bubble Gum nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_bd7750e02cfbb1f09468e1d6,Add Cheeky Bunny - Light Pink,https://www.missnella.com/products/add-cheeky-bunny-light-pink,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Cheeky Bunny nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_0af0a85217a1844d7f8c4174,Add Cool Kid - Deep Blue,https://www.missnella.com/products/cool-kid-deep-blue,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Cool Kid nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_03a1be488da4fcfb06118956,Add Field Trips - Green,https://www.missnella.com/products/field-trips,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Field Trips nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_02231ffa7b089b4f9ba83a1f,Add Lip Gloss?,https://www.missnella.com/products/add-lip-gloss-copy,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_parent_not_ready,blocked_parent_not_ready,ext_bfb2b550c10ad8a0a053ed31,Lip Gloss,hold_risk_review,regulated_claim_review|missing_full_inci|missing_how_to,false,lip_gloss_option,medium,blocked until target parent clears source/risk/evidence review,do_not_promote_from_wave52,resolve target parent source/risk review before adding mapping or serving child row,"A likely parent exists, but it is not ready enough to be used as an authoritative parent for serving or content inheritance."
P2,ext_2b1c7ff14265ce72c4284a87,Add on Perfume,https://www.missnella.com/products/perfume,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_ambiguous_family_parent,family_selector_without_single_parent,,,,,false,Perfume add-on family,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,split the family selector into explicit variant parents or hold as an add-on UI artifact,"The row represents a selector/family, not one concrete formula; mapping to a single product would be unsafe."
P2,ext_7394df14e8953abbbc735a3e,Add Strawberry'n'Cream - Red,https://www.missnella.com/products/strawberryncream-red,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Strawberry'n'Cream nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_e4a8b943e473eef365341f36,Add Sugar Hugs - Deep Pink,https://www.missnella.com/products/sugar-hugs-deep-pink,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Sugar Hugs nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
