priority,external_product_id,title,canonical_url,quality_flags,current_lane,identity_status,identity_review_required,index_serving_eligible,decision,mapping_type,target_parent_external_product_id,target_parent_title,target_parent_lane,target_parent_flags,target_parent_index_serving_eligible,component_role,confidence,source_policy,serving_action,next_safe_step,reviewer_notes
P2,ext_9431ebc91685248f841adc6d,Add Blueberry Smoothie - Deep Lilac,https://www.missnella.com/products/blueberry-smoothie-deep-lilac,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Blueberry Smoothie nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_02f16f8ae0e642d8f6599640,Add Blush?,https://www.missnella.com/products/add-blush,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,candidate_component_ref_ready,add_on_selector_to_ready_parent,ext_33466da0907b256ffc53783b,Blush,ready_or_covered,,true,blush_option,high,identity/component mapping only; do not inherit content fields without a separate reviewed inheritance pass,do_not_promote_from_wave52,prepare component-ref dry-run against production rows; keep child row non-serving unless separate review approves surfacing as a pack/offer,"Clear parent candidate exists in the same brand rollup and is already ready_or_covered. This supports metadata attachment, not standalone promotion."
P2,ext_fb538b176ea055fb4e7a4f36,Add Body Glitter?,https://www.missnella.com/products/add-body-glitter,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_ambiguous_family_parent,family_selector_without_single_parent,,,,,false,Body glitter add-on family,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,split the family selector into explicit variant parents or hold as an add-on UI artifact,"The row represents a selector/family, not one concrete formula; mapping to a single product would be unsafe."
P2,ext_d893e9b6d0da41c7c7e88a3b,Add Bubble Gum - Lilac,https://www.missnella.com/products/bubble-gum,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Bubble Gum nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_bd7750e02cfbb1f09468e1d6,Add Cheeky Bunny - Light Pink,https://www.missnella.com/products/add-cheeky-bunny-light-pink,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Cheeky Bunny nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_0af0a85217a1844d7f8c4174,Add Cool Kid - Deep Blue,https://www.missnella.com/products/cool-kid-deep-blue,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Cool Kid nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_5d152578766f6dafde6361fb,Add Croco Dazzle - Glittery Red,https://www.missnella.com/products/croco-dazzle-glittery-red,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,candidate_component_ref_ready,add_on_shade_to_ready_parent,ext_8c9db1e831c4be15a42fc407,Croco Dazzle: Sparkly Red Peel Off Nail Polish,ready_or_covered,,true,nail_polish_shade,high,identity/component mapping only; do not inherit content fields without a separate reviewed inheritance pass,do_not_promote_from_wave52,prepare component-ref dry-run against production rows; keep child row non-serving unless separate review approves surfacing as a pack/offer,"Clear parent candidate exists in the same brand rollup and is already ready_or_covered. This supports metadata attachment, not standalone promotion."
P2,ext_1fc4f0b1653b5758dffae560,Add Eye Shadow?,https://www.missnella.com/products/add-eye-shadow,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,candidate_component_ref_ready,add_on_selector_to_ready_parent,ext_e9e3fba6b05911bba1bfe71e,Eye Shadow,ready_or_covered,,true,eye_shadow_option,high,identity/component mapping only; do not inherit content fields without a separate reviewed inheritance pass,do_not_promote_from_wave52,prepare component-ref dry-run against production rows; keep child row non-serving unless separate review approves surfacing as a pack/offer,"Clear parent candidate exists in the same brand rollup and is already ready_or_covered. This supports metadata attachment, not standalone promotion."
P2,ext_03a1be488da4fcfb06118956,Add Field Trips - Green,https://www.missnella.com/products/field-trips,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,blocked_missing_ready_parent,shade_or_pack_without_ready_parent,,,,,false,Field Trips nail polish shade,medium,requires official source or reviewed canonical parent creation before any metadata apply,do_not_promote_from_wave52,request official source evidence and/or create a reviewed single-shade parent before attaching pack/add-on rows,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_e95d981ef7dc3b7520bd24d9,Add Galactic Unicorn - Deep Purple,https://www.missnella.com/products/galactic-unicorn-deep-purple,missing_full_inci|missing_how_to,hold_source_gap,review_required,true,false,candidate_component_ref_ready,add_on_shade_to_ready_parent,ext_3efab0751a9f85bbdcb72388,Galactic Unicorn: Chrome Purple Peel Off Nail Polish,ready_or_covered,,true,nail_polish_shade,high,identity/component mapping only; do not inherit content fields without a separate reviewed inheritance pass,do_not_promote_from_wave52,prepare component-ref dry-run against production rows; keep child row non-serving unless separate review approves surfacing as a pack/offer,"Clear parent candidate exists in the same brand rollup and is already ready_or_covered. This supports metadata attachment, not standalone promotion."
