target_parent_external_product_id,target_parent_title,target_parent_lane,decision,child_rows,child_external_product_ids,sample_child_titles
ext_cf0f60c66afa3fb09944df4d,Lip Balm,ready_or_covered,candidate_component_ref_ready,5,ext_dfc8cb7a965b06dd2aec3949|ext_a4e0feeb2b9b60faf69a3744|ext_36ce25215b20df0b07a5249b|ext_af758de3d843c03fe9548105|ext_5f24f69f578451c59693798b,Add Lip Balm?|WH | Cutie Pie Lip Balm|WH | Lip Balm Retail Display *Organic Lip Balm Collection*|WH | Luvvy Wuvvy Lip Balm
ext_b575a7ed71f0a4602a68c461,Nail Stickers,ready_or_covered,candidate_component_ref_ready,4,ext_e9aed78a3e3565faa4f79274|ext_8f2cb8f0cc6857a78ebdd5f9|ext_52fecdaf5a439f0211547627|ext_0d43c2e4f17599db42623f5f,WH | Cutie In Bloom Nail Stickers|WH | Once Upon a Nail Stickers|WH | Pretty Pop Nail Stickers|WH | Snow Cute Nail Stickers
ext_33466da0907b256ffc53783b,Blush,ready_or_covered,candidate_component_ref_ready,3,ext_02f16f8ae0e642d8f6599640|ext_ce9afe62b715b4fad61face6|ext_53d8b7377873cf1ae1001c1b,Add Blush?|WH | Lollypop Blush|WH | Pomegranate Fizz Blush
ext_e9e3fba6b05911bba1bfe71e,Eye Shadow,ready_or_covered,candidate_component_ref_ready,3,ext_1fc4f0b1653b5758dffae560|ext_088385a34673307ec7d90d23|ext_8ffdefaea0efb70cb730a670,Add Eye Shadow?|WH | Golden Sands Eye Shadow|WH | Lavender Fields Eye Shadow
,Blueberry Smoothie nail polish shade,,blocked_missing_ready_parent,2,ext_9431ebc91685248f841adc6d|ext_45eb20f9189ad6fc2ca06c2a,Add Blueberry Smoothie - Deep Lilac|MN32 Blueberry Smoothie: Pastel Purple Peel Off Nail Polish
,Cheeky Bunny nail polish shade,,blocked_missing_ready_parent,2,ext_bd7750e02cfbb1f09468e1d6|ext_e49b7fd12614986b2704234d,Add Cheeky Bunny - Light Pink|MN05 Cheeky Bunny: Light Pink Peel Off Nail Polish
ext_8c9db1e831c4be15a42fc407,Croco Dazzle: Sparkly Red Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,2,ext_5d152578766f6dafde6361fb|ext_ac4d26e9d3b9ed5adcd695bc,Add Croco Dazzle - Glittery Red|MN48 Croco Dazzle: Sparkly Red Peel Off Nail Polish
ext_3efab0751a9f85bbdcb72388,Galactic Unicorn: Chrome Purple Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,2,ext_e95d981ef7dc3b7520bd24d9|ext_e1a12de43227d2f2a9d8bdc8,Add Galactic Unicorn - Deep Purple|MN38 Galactic Unicorn: Chrome Purple Peel Off Nail Polish
ext_cfbb0ca2b9d0c7b411793b0b,‘Cool Like Me’ Roll On Perfume,hold_source_gap,blocked_parent_not_ready,1,ext_a81192861b0548c169fdc18a,WH | ‘Cool Like Me’ Roll On Perfume
ext_6f491538dbf9a790b66cf269,‘Sweet Like Me’ Roll On Perfume,hold_source_gap,blocked_parent_not_ready,1,ext_36da2fe580334c9f860e6ccd,WH | ‘Sweet Like Me’ Roll On Perfume
ext_5b4820a93b2ff42fde402c6e,Alien Poo: Chrome Green Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_ac6c674eda87668b7782a43c,MN39 Alien Poo: Chrome Green Peel Off Nail Polish
,Banana Split nail polish shade,,blocked_missing_ready_parent,1,ext_f8e4e3a5be9203ee6665e382,MN35 Banana Split: Light Yellow Peel Off Nail Polish
,Body glitter add-on family,,blocked_ambiguous_family_parent,1,ext_fb538b176ea055fb4e7a4f36,Add Body Glitter?
,Bubble Gum nail polish shade,,blocked_missing_ready_parent,1,ext_d893e9b6d0da41c7c7e88a3b,Add Bubble Gum - Lilac
,Butterfly Wings nail polish shade,,blocked_missing_ready_parent,1,ext_005253c847ab00c7b62073c3,MN06 Butterfly Wings: Glittery Lilac Peel Off Nail Polish
,Cool Kid nail polish shade,,blocked_missing_ready_parent,1,ext_0af0a85217a1844d7f8c4174,Add Cool Kid - Deep Blue
ext_4126c4bf9bd13a864334128d,Cosmic Cutie: Chrome Bronze Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_6306a6d00b6e082ccc40932e,MN36 Cosmic Cutie: Chrome Bronze Peel Off Nail Polish
ext_a9609ad67d8dec79dd0596a1,Dino-Rific: Metallic Green Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_6b9bfd5acdfc4004795eb033,MN44 Dino-Rific: Metallic Green Peel Off Nail Polish
ext_234ad22c62387afe966d0832,Diplodo-Kiss: Metallic Pink Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_e292dbb537aafa997d87d528,MN42 Diplodo-Kiss: Metallic Pink Peel Off Nail Polish
ext_ff5b7bfbff65eed0ceb7e3df,Elephunky: Sparkly Blue Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_9e45e1bfc7097a1b8e678f33,MN46 Elephunky: Sparkly Blue Peel Off Nail Polish
,Field Trips nail polish shade,,blocked_missing_ready_parent,1,ext_03a1be488da4fcfb06118956,Add Field Trips - Green
ext_83b5f562450f09c98c4dccb8,Happily Ever After: Pink Fine Glitter Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_6160f76488ee112f32e585ad,MN49 Happily Ever After: Pink Fine Glitter Peel Off Nail Polish
ext_428194a391e38b8c6c5c5a1b,If The Shoe Fits: Gold Fine Glitter Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_e804b5b2c3fe9b68fc346fbe,MN51 If The Shoe Fits: Gold Fine Glitter Peel Off Nail Polish
ext_0bc6e4f7a15288822029334f,Itsy Glitzy Hippo: Sparkly Pink Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_b0f1ea21db064e10fd3c19ca,MN45 Itsy Glitzy Hippo: Sparkly Pink Peel Off Nail Polish
ext_bfb2b550c10ad8a0a053ed31,Lip Gloss,hold_risk_review,blocked_parent_not_ready,1,ext_02231ffa7b089b4f9ba83a1f,Add Lip Gloss?
,Little Poppet nail polish shade,,blocked_missing_ready_parent,1,ext_20c5bace62df3979a457e400,MN04 Little Poppet: Purple Peel Off Nail Polish
ext_c6ea506cdaf48368131bfd6e,Once Upon A Time: Light Blue Fine Glitter Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_ea41a1679acc205877e56908,MN52 Once Upon A Time: Light Blue Fine Glitter Peel Off Nail Polish
,Perfume add-on family,,blocked_ambiguous_family_parent,1,ext_2b1c7ff14265ce72c4284a87,Add on Perfume
ext_026bb78a257f8ca3690ee787,Rawr-Some: Metallic Blue Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_c48e56047d039a4945c0a1c8,MN43 Rawr-Some: Metallic Blue Peel Off Nail Polish
ext_84caa40e0fafcee350045f96,Shooting Star: Sliver Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_56dab6df882d473ca41f58f3,MN40 Shooting Star: Sliver Peel Off Nail Polish
ext_b36f6a65ae2c8f16e03809ab,Sparkly Zebra: Sparkly Lilac Peel Off Nail Polish,ready_or_covered,candidate_component_ref_ready,1,ext_80021c42248dccc2725a0f2e,MN47 Sparkly Zebra: Sparkly Lilac Peel Off Nail Polish
,Strawberry'n'Cream nail polish shade,,blocked_missing_ready_parent,1,ext_7394df14e8953abbbc735a3e,Add Strawberry'n'Cream - Red
,Sugar Hugs nail polish shade,,blocked_missing_ready_parent,1,ext_e4a8b943e473eef365341f36,Add Sugar Hugs - Deep Pink
,Sun Kissed nail polish shade,,blocked_missing_ready_parent,1,ext_443317ae78fcdee9271e4efa,MN13 Sun Kissed: Yellow Peel Off Nail Polish
,Surprise Party nail polish shade,,blocked_missing_ready_parent,1,ext_3061ddf912667b725b4e0be0,Add Surprise Party - Black
,Sweet Lavender nail polish shade,,blocked_missing_ready_parent,1,ext_c8d0cd315ef174ac864811bf,MN11 Sweet Lavender: Deep Violet Peel Off Nail Polish
