priority,external_product_id,title,canonical_url,blocker_decision,wave54_lane,target_parent_external_product_id,target_parent_title,target_parent_lane,target_parent_flags,requested_evidence,next_safe_step,review_gate,serving_action,reviewer_notes
P2,ext_9431ebc91685248f841adc6d,Add Blueberry Smoothie - Deep Lilac,https://www.missnella.com/products/blueberry-smoothie-deep-lilac,blocked_missing_ready_parent,create_or_source_ready_parent,,Blueberry Smoothie nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_fb538b176ea055fb4e7a4f36,Add Body Glitter?,https://www.missnella.com/products/add-body-glitter,blocked_ambiguous_family_parent,split_or_terminal_hold_family_selector,,Body glitter add-on family,,,explicit variant list and concrete PDPs or partner sheet rows for each variant; do not map selector to one formula,"Split the family selector into explicit concrete variants with official source evidence, or keep the selector terminal-held.",human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,"The row represents a selector/family, not one concrete formula; mapping to a single product would be unsafe."
P2,ext_d893e9b6d0da41c7c7e88a3b,Add Bubble Gum - Lilac,https://www.missnella.com/products/bubble-gum,blocked_missing_ready_parent,create_or_source_ready_parent,,Bubble Gum nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_bd7750e02cfbb1f09468e1d6,Add Cheeky Bunny - Light Pink,https://www.missnella.com/products/add-cheeky-bunny-light-pink,blocked_missing_ready_parent,create_or_source_ready_parent,,Cheeky Bunny nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_0af0a85217a1844d7f8c4174,Add Cool Kid - Deep Blue,https://www.missnella.com/products/cool-kid-deep-blue,blocked_missing_ready_parent,create_or_source_ready_parent,,Cool Kid nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_03a1be488da4fcfb06118956,Add Field Trips - Green,https://www.missnella.com/products/field-trips,blocked_missing_ready_parent,create_or_source_ready_parent,,Field Trips nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_02231ffa7b089b4f9ba83a1f,Add Lip Gloss?,https://www.missnella.com/products/add-lip-gloss-copy,blocked_parent_not_ready,clear_existing_parent_review,ext_bfb2b550c10ad8a0a053ed31,Lip Gloss,hold_risk_review,regulated_claim_review|missing_full_inci|missing_how_to,official full INCI and product-specific directions/how-to for the target parent; claim/risk evidence if parent flags require review,"Clear the target parent source/risk/evidence blockers first, then rerun a metadata-only component-ref dry-run for the child row.",human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,"A likely parent exists, but it is not ready enough to be used as an authoritative parent for serving or content inheritance."
P2,ext_2b1c7ff14265ce72c4284a87,Add on Perfume,https://www.missnella.com/products/perfume,blocked_ambiguous_family_parent,split_or_terminal_hold_family_selector,,Perfume add-on family,,,explicit variant list and concrete PDPs or partner sheet rows for each variant; do not map selector to one formula,"Split the family selector into explicit concrete variants with official source evidence, or keep the selector terminal-held.",human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,"The row represents a selector/family, not one concrete formula; mapping to a single product would be unsafe."
P2,ext_7394df14e8953abbbc735a3e,Add Strawberry'n'Cream - Red,https://www.missnella.com/products/strawberryncream-red,blocked_missing_ready_parent,create_or_source_ready_parent,,Strawberry'n'Cream nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_e4a8b943e473eef365341f36,Add Sugar Hugs - Deep Pink,https://www.missnella.com/products/sugar-hugs-deep-pink,blocked_missing_ready_parent,create_or_source_ready_parent,,Sugar Hugs nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
P2,ext_3061ddf912667b725b4e0be0,Add Surprise Party - Black,https://www.missnella.com/products/class-clown-red-copy,blocked_missing_ready_parent,create_or_source_ready_parent,,Surprise Party nail polish shade,,,official canonical single-shade PDP or partner sheet; product identity/shade; full INCI if formula parent will be created; product-specific directions/how-to; pack/add-on relationship evidence,Request official single-shade parent evidence or create a reviewed canonical parent before any child attachment.,human reviewer must approve parent readiness before any metadata apply or serving eligibility change,do_not_promote_from_wave54,No ready 4 ml/generic parent row exists in the current rollup for this shade or pack; keep held.
