brand,domain,external_product_id,title,url,live_blockers,catalog_extract_signal,official_html_signal,evidence_status,recommended_action,notes
Active Drip,activedrip.com,ext_94e9169cdf21031b65f760c9,HA + PEPTIDES EYE CARE,https://activedrip.com/products/hyaluronic-acid-peptides-eye-contour,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
Active Drip,activedrip.com,ext_833660ffbf5c744869351463,R-Q10 EYE CARE,https://activedrip.com/products/retinol-q10-anti-age-eye-contour,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
Active Drip,activedrip.com,ext_daba06ea03080351d96dd6f9,CICA MILK DRIP,https://activedrip.com/products/cica-b5-recovery-serum,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
Active Drip,activedrip.com,ext_eea9ddc94177c421b32a1ed5,C + E DRIP,https://activedrip.com/products/vitamin-c-e-serum,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
Active Drip,activedrip.com,ext_edef015844086dd8eaa792b2,RETINOL DRIP,https://activedrip.com/products/retinol-anti-wrinkle-serum,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
Active Drip,activedrip.com,ext_11509e4feaf83a2419d8c77d,KOJIC DRIP,https://activedrip.com/products/niacinamide-kojic-acid-glow-and-corrective-serum,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
Active Drip,activedrip.com,ext_441b5d142009ef8ae5082262,HYDRATE DRIP,https://activedrip.com/products/hyaluronic-acid-b12-b5-serum,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
Active Drip,activedrip.com,ext_7e270c8cb635a23a446a76f9,THE ICONIC MOISTURISER,https://activedrip.com/products/vitamin-c-hyaluronic-acid-moisturising-and-antioxidant-cream,missing_ingredients,how_to_and_key_ingredients_only,http_200_no_official_html_fields,key_ingredients_only_no_full_inci,partner_data_request,Request official full INCI; current source content has how-to and key ingredient marketing but no source-backed full INCI.
JouJou,joujoubotanicals.com,ext_ab1e091b3576e74f9c8c69a4,CACTUS NECTAR Hydrating Cream Mist,https://joujoubotanicals.com/products/cactus-nectar-hydrating-cream-mist,missing_ingredients,full_inci_section_and_how_to_captured,http_200_no_official_html_fields,catalog_extract_full_inci_patch_candidate,apply_source_backed_patch,Current live row is blocked by polluted Shopify variant JSON in raw ingredient fields; catalog extract has a source-backed Ingredients section suitable for reviewed structured INCI normalization.
Coconut Matter,coconutmatter.com,ext_c840771410198f627d75673a,TINTED COCONUT LIP BALM,https://coconutmatter.com/products/tinted-coconut-lip-balm,missing_ingredients+missing_how_to,no_full_inci_no_how_to,http_200_no_official_html_fields,no_source_backed_full_inci_or_how_to,partner_data_request,Request full INCI and use directions from brand; current extract has no patchable formula directions.
Coconut Matter,coconutmatter.com,ext_a7f414cda657f8c5857fafe8,Goji Shake Shampoo Concentrate | For Treated Hair,https://coconutmatter.com/products/goji-shake-shampoo-concentrate,missing_ingredients+missing_how_to,no_full_inci_no_how_to,http_200_no_official_html_fields,no_source_backed_full_inci_or_how_to,partner_data_request,Request full INCI and use directions from brand; current extract has no patchable formula directions.
Coconut Matter,coconutmatter.com,ext_9518e81076efc5c5138214ee,Matcha Shake Shampoo Concentrate | For All Hair Types,https://coconutmatter.com/products/matcha-shake-shampoo-concentrate,missing_ingredients+missing_how_to,benefit_ingredient_copy_no_how_to,http_200_no_official_html_fields,benefit_copy_not_full_inci,partner_data_request,Extractor found benefit-style ingredient copy but not a comma-delimited INCI list; request full INCI and use directions.
Coconut Matter,coconutmatter.com,ext_57fe66e03e7b47b972b78c30,Oaty Shake Body Wash Concentrate,https://coconutmatter.com/products/oaty-shake-body-wash-concentrate,missing_ingredients+missing_how_to,no_full_inci_no_how_to,http_200_no_official_html_fields,no_source_backed_full_inci_or_how_to,partner_data_request,Request full INCI and use directions from brand; current extract has no patchable formula directions.
Coconut Matter,coconutmatter.com,ext_8982e4384c3bd70a5718c899,CLEAR LIP CARE,https://coconutmatter.com/products/clear-lip-care,missing_ingredients+missing_how_to,no_full_inci_no_how_to,http_200_no_official_html_fields,no_source_backed_full_inci_or_how_to,partner_data_request,Request full INCI and use directions from brand; current extract has no patchable formula directions.
