domain,brand_examples,rows,catalog_attached,catalog_attached_pct,index_serving_eligible,index_serving_eligible_pct,identity_ready,identity_ready_pct,product_intel_high_quality,product_intel_high_quality_pct,ready_or_covered,catalog_identity_sync,serving_index_sync,identity_refresh,product_intel_review,hold_source_gap,hold_risk_review,quality_flag_summary
fentybeauty.com,Fenty Beauty | fenty beauty,860,860,100,827,96.2,836,97.2,536,62.3,203,0,0,0,159,252,246,missing_or_short_description:312 | bundle_or_sample:108 | accessory_or_tool:69 | regulated_claim_review:47 | wellness_or_supplement:37 | missing_full_inci:26 | missing_how_to:12 | missing_currency:9
torriden.us,Torriden,35,35,100,35,100,1,2.9,6,17.1,0,0,0,27,1,0,7,wellness_or_supplement:3 | regulated_claim_review:2 | sunscreen_regulated:2
us.embryolisse.com,EMBRYOLISSE,65,65,100,65,100,65,100,3,4.6,0,0,0,0,27,2,36,bundle_or_sample:21 | regulated_claim_review:18 | missing_full_inci:4 | wellness_or_supplement:2 | accessory_or_tool:1
786cosmetics.com,786 Cosmetics,51,51,100,23,45.1,49,96.1,49,96.1,17,0,18,0,0,1,15,bundle_or_sample:8 | regulated_claim_review:6 | accessory_or_tool:1 | missing_full_inci:1 | missing_how_to:1 | missing_or_short_description:1
firstaidbeauty.com,First Aid Beauty,45,45,100,45,100,42,93.3,15,33.3,4,0,0,0,16,1,24,regulated_claim_review:16 | bundle_or_sample:5 | sunscreen_regulated:4 | wellness_or_supplement:2 | missing_how_to:1
us.laneige.com,LANEIGE US,27,27,100,27,100,0,0,21,77.8,0,0,0,15,0,2,10,regulated_claim_review:6 | sunscreen_regulated:3 | missing_full_inci:2 | wellness_or_supplement:2 | accessory_or_tool:1
missnella.com,Miss Nella,198,198,100,16,8.1,32,16.2,143,72.2,11,0,10,0,0,63,114,missing_full_inci:68 | missing_how_to:68 | bundle_or_sample:65 | accessory_or_tool:41 | regulated_claim_review:37 | content_evidence_hold:2 | wellness_or_supplement:1
cosrx.com,COSRX,101,101,100,101,100,86,85.1,101,100,47,0,0,9,0,1,44,regulated_claim_review:25 | wellness_or_supplement:12 | sunscreen_regulated:5 | bundle_or_sample:3 | accessory_or_tool:2 | missing_full_inci:1
tirtir.global,TIRTIR Global,68,68,100,63,92.6,53,77.9,68,100,37,0,0,8,0,5,18,regulated_claim_review:11 | accessory_or_tool:3 | missing_currency:3 | missing_or_short_description:3 | wellness_or_supplement:3 | bundle_or_sample:2 | missing_full_inci:2 | sunscreen_regulated:2
upcirclebeauty.com,UpCircle Beauty,103,103,100,39,37.9,92,89.3,98,95.1,6,0,6,0,0,3,88,regulated_claim_review:48 | bundle_or_sample:45 | accessory_or_tool:16 | missing_full_inci:13 | missing_how_to:13 | wellness_or_supplement:13 | missing_currency:3 | high_price_review:1
innbeautyproject.com,INNBEAUTY PROJECT,64,64,100,64,100,53,82.8,63,98.4,25,0,0,6,0,0,33,regulated_claim_review:20 | wellness_or_supplement:20 | missing_full_inci:1
