domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,duplicate_canonical_identity_review,hard_risk,source_gap,quality_flags,canonical_url
786cosmetics.com,786 Cosmetics,ext_e96da71bdfd3ec573a4642cd,Shipping Protection,beauty_formula,hold_source_gap,true,false,true,false,2.99,USD,in_stock,63,true,false,false,false,false,true,missing_or_short_description|missing_full_inci|missing_how_to,https://786cosmetics.com/products/shipping-protection
byrabeauty.com,Byra,ext_d2be72abe173e52d5baa6879,Deep Calm - Eau De Parfum 30ml,beauty_formula,hold_source_gap,true,true,true,true,63,USD,in_stock,547,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://byrabeauty.com/products/deep-calm-eau-de-parfum-30ml
delicatedaisys.com,Delicate Daisys Botanical Beauty,ext_b5dafedce57973dfcca9fb5b,Rejuvenating Night Face Cream Bulgarian Rose,beauty_formula,hold_source_gap,true,false,true,true,49.99,USD,in_stock,497,true,true,true,false,false,true,content_evidence_hold,https://delicatedaisys.com/products/rejuvenating-night-face-cream-bulgarian-rose
joujoubotanicals.com,JouJou,ext_83ec9657a96effaf0923f850,APHRODITE Body Oil,beauty_formula,hold_source_gap,true,false,true,true,91,USD,in_stock,313,true,true,true,false,false,true,content_evidence_hold,https://joujoubotanicals.com/products/aphrodite-body-oil
khus-khus.com,KHUS KHUS,ext_4dace0e8a2fe70b378b91c2c,BLEU body serum,beauty_formula,hold_source_gap,true,false,true,true,85,USD,in_stock,431,true,true,true,false,false,true,content_evidence_hold,https://khus-khus.com/products/bleu-body-serum/
khus-khus.com,KHUS KHUS,ext_290f05b3b8bfbfdb4e079d09,D DROP humectant factor,beauty_formula,hold_source_gap,true,false,true,true,38,USD,in_stock,488,true,true,true,false,false,true,content_evidence_hold,https://khus-khus.com/products/d-drop-humectant-factor/
khus-khus.com,KHUS KHUS,ext_f27f918bac908cf6ba236b83,KAI repair balm,beauty_formula,hold_source_gap,true,false,true,true,52,USD,in_stock,448,true,true,true,false,false,true,content_evidence_hold,https://khus-khus.com/products/kai-repair-balm/
khus-khus.com,KHUS KHUS,ext_f86a3606bf6dc20fc810f99d,SANS AGE face serum,beauty_formula,hold_source_gap,true,false,true,true,80,USD,in_stock,409,true,true,true,false,false,true,content_evidence_hold,https://khus-khus.com/products/sans-anti-wrinkle-face-serum/
khus-khus.com,KHUS KHUS,ext_6ae70ce8a0cf2d0f8615d4dc,SURYA body elixir,beauty_formula,hold_source_gap,true,false,true,true,72,USD,in_stock,420,true,true,true,false,false,true,content_evidence_hold,https://khus-khus.com/products/surya-body-elixir/
lhamour.com,Lhamour,ext_5a82b869bc04dc2a7dac84af,Sea Buckthorn Body Butter for Dry Skin | Natural Moisturizer | Lhamour,beauty_formula,hold_source_gap,true,true,true,true,38,USD,in_stock,385,true,true,true,false,false,true,content_evidence_hold,https://www.lhamour.com/products/natural-sea-buckthorn-oil-body-butter
lhamour.com,Lhamour,ext_44acbd72aedbea7735234e44,Sea buckthorn Foot Cream for Cracked Heels | Natural Foot Salve | Lhamour,beauty_formula,hold_source_gap,true,true,true,true,16,USD,in_stock,391,true,true,true,false,false,true,content_evidence_hold,https://www.lhamour.com/products/natural-sea-buckthorn-oil-foot-salve
linhart.nyc,Linhart Smile Care,ext_aa24dcd6cf3888a68f222281,Linämel Toothpaste,beauty_formula,hold_source_gap,true,false,false,true,14,USD,in_stock,435,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://linhart.nyc/products/linamel-toothpaste
linhart.nyc,Linhart Smile Care,ext_e795b1a17f6222e44dfb3dfd,Tooth Whitener Gel,beauty_formula,hold_source_gap,true,false,false,true,28,USD,in_stock,40,true,false,false,false,false,true,missing_or_short_description|missing_full_inci|missing_how_to,https://linhart.nyc/products/toth-whitener-gel-1
lovemasami.com,MASAMI,ext_53cf4f0ee46873d280f632db,Mekabu Hydrating Shine Serum,beauty_formula,hold_source_gap,true,false,true,true,34,USD,in_stock,500,true,true,true,false,false,true,content_evidence_hold,https://lovemasami.com/products/mekabu-serum
lucamarskincare.com,Lucamar Skin Care,ext_0836525e72365da8ecbcc3b5,Baa Ram Ewe Lanolin Skin Balm 120g,beauty_formula,hold_source_gap,true,false,true,true,17,USD,in_stock,381,true,true,true,false,false,true,content_evidence_hold,https://lucamarskincare.com/products/baa-ram-ewe-skin-balm-120-gms
lucamarskincare.com,Lucamar Skin Care,ext_c26547ca63d530592ed62d63,Baa Ram Ewe Lanolin Skin Balm 120g UNSCENTED,beauty_formula,hold_source_gap,true,false,true,true,17,USD,in_stock,391,true,true,true,false,false,true,content_evidence_hold,https://lucamarskincare.com/products/baa-ram-ewe-lanolin-skin-balm-120g-uncented
lucamarskincare.com,Lucamar Skin Care,ext_edcf7e510314384ac432b385,Baa Ram Ewe Lanolin Skin Balm 50g,beauty_formula,hold_source_gap,true,false,true,true,12,USD,in_stock,380,true,true,true,false,false,true,content_evidence_hold,https://lucamarskincare.com/products/baa-ram-ewe-skin-balm-50-gms
missnella.com,Miss Nella,ext_cfbb0ca2b9d0c7b411793b0b,‘Cool Like Me’ Roll On Perfume,beauty_formula,hold_source_gap,true,false,true,true,10.3,USD,in_stock,282,true,true,true,false,false,true,content_evidence_hold,https://www.missnella.com/products/cool-like-me-roll-on-oil-perfume
missnella.com,Miss Nella,ext_6f491538dbf9a790b66cf269,‘Sweet Like Me’ Roll On Perfume,beauty_formula,hold_source_gap,true,true,true,true,10.3,USD,in_stock,265,true,true,true,false,false,true,content_evidence_hold,https://www.missnella.com/products/sweet-like-me-roll-on-oil-perfume
missnella.com,Miss Nella,ext_9431ebc91685248f841adc6d,Add Blueberry Smoothie - Deep Lilac,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/blueberry-smoothie-deep-lilac
missnella.com,Miss Nella,ext_02f16f8ae0e642d8f6599640,Add Blush?,beauty_formula,hold_source_gap,true,false,false,false,5.39,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/add-blush
missnella.com,Miss Nella,ext_fb538b176ea055fb4e7a4f36,Add Body Glitter?,beauty_formula,hold_source_gap,true,false,false,true,8.1,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/add-body-glitter
missnella.com,Miss Nella,ext_d893e9b6d0da41c7c7e88a3b,Add Bubble Gum - Lilac,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/bubble-gum
missnella.com,Miss Nella,ext_bd7750e02cfbb1f09468e1d6,Add Cheeky Bunny - Light Pink,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/add-cheeky-bunny-light-pink
missnella.com,Miss Nella,ext_0af0a85217a1844d7f8c4174,Add Cool Kid - Deep Blue,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/cool-kid-deep-blue
missnella.com,Miss Nella,ext_5d152578766f6dafde6361fb,Add Croco Dazzle - Glittery Red,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/croco-dazzle-glittery-red
missnella.com,Miss Nella,ext_1fc4f0b1653b5758dffae560,Add Eye Shadow?,beauty_formula,hold_source_gap,true,false,false,false,5.39,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/add-eye-shadow
