sellable_item_group_id,product_line_id,row_count,live_read_count,stale_payload_count,seed_active_count,seed_active_expectation_count,identity_active_count,sig_mixed_active_expectation,canonical_selection_gap,canonical_content_ref,fresh_best_content_ref,sync_candidate_count,sample_titles
sig_432896bad0c8b5ad285b5b21,pl_7d5b7fbb330d4ec5838d7eb9,4,4,4,1,1,0,true,true,external_seed:ext_fc8169ca5d14312c187498d7,external_seed:ext_dd3377dea472f26648364a07,4,Big + Plump Peach Collection Bundle
sig_986d8562f273cd7f25571b75,pl_6b05309cdc32ddf282e4024d,1,1,1,0,1,0,false,false,external_seed:ext_fffd8a0b6f800708dbf69758,external_seed:ext_fffd8a0b6f800708dbf69758,1,Hunt for Hydration Full-Size Moisturizer & Eye Crème Duo
sig_af6544a052cd982ae61d8087,pl_f24dd5855df0f9a09f609f6a,1,1,1,0,1,0,false,false,external_seed:ext_0d5bf002df9e9a55b20a418f,external_seed:ext_0d5bf002df9e9a55b20a418f,1,Partners in Peptides Hydrating Duo
sig_6a06c4994e6b3515b0c398b1,pl_a11c266282aafda33bfc4cd1,1,1,1,0,0,0,false,false,external_seed:ext_31f5bbbe614c7d20bb5c7172,external_seed:ext_31f5bbbe614c7d20bb5c7172,1,Glow Even Brighter Banana Bright Makeup Prep Set
sig_8de9a0ed4075cac4075c6008,pl_66217cfdd2ed9da1de4d5ef8,1,1,1,0,1,0,false,false,external_seed:ext_f7c6ceb555d34426941a97e5,external_seed:ext_f7c6ceb555d34426941a97e5,1,Strength Trainer Peptide Boost Moisturizer Duo
sig_7ddfe1fe7a08dde4207d8897,pl_eb3c328c837398d784eeb6af,1,1,1,0,1,0,false,false,external_seed:ext_5e6dc9677d020497590eff4a,external_seed:ext_5e6dc9677d020497590eff4a,1,Moisture Barrier Duo Strength Trainer Moisturizer & Hydrabarrier Face Oil
sig_8bd45ea856d378bf2d18dd97,pl_2f4069b194d380adbfbbfd19,1,1,1,0,1,0,false,false,external_seed:ext_9f28937c48a11dc9ba42ae20,external_seed:ext_9f28937c48a11dc9ba42ae20,1,Morning Glow Bundle Daily Skincare Routine
sig_b845b4d578c28d6c500cbb0e,pl_fc12f1fe58394b84991149d0,1,1,1,0,1,0,false,false,external_seed:ext_151e0b759efb00378fa68116,external_seed:ext_151e0b759efb00378fa68116,1,Plumping Peptide Pair Mini Skincare Duo
sig_efd2d2bfa2a7fd90bf1c7e99,pl_80b585cacf1e45ec7fb792b9,1,1,1,0,1,0,false,false,external_seed:ext_12a9d5449837fc03d2ebc5cb,external_seed:ext_12a9d5449837fc03d2ebc5cb,1,Morning Glow Bundle Daily Skincare Routine-EU
sig_e082e10438e89dbe8f94b89a,pl_637414f2cbfc920b2e1ef76b,1,1,1,1,1,0,false,true,external_seed:ext_842d06e9f8039ddcc784fccb,external_seed:ext_842d06e9f8039ddcc784fccb,1,Detox Drops 2% Salicylic Acid Toner
