external_product_id,title,pdp_url,canonical_url,seed_has_active_evidence,identity_payload_has_active_evidence,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed
ext_4e155bb184ec35f3cd7827e3,Banana Bright+ Firm and Glow Moisturizer with Vitamin C and Niacinamide,https://agent.pivota.cc/products/sig_dd132423fa070a128d637ab5,https://olehenriksen.com/products/banana-bright-glow-moisturizer,false,true,false,false,true,false,true,true,true
ext_a3cd0190cc691515a1f2e87c,Glow2OH Exfoliating Dark Spot Toner with Glycolic & Lactic Acid,https://agent.pivota.cc/products/sig_ce40a92e068cfacd482cfb28,https://olehenriksen.com/products/glow-2oh-dark-spot-toner,true,true,false,false,true,false,true,true,true
ext_9efbe1905612219910596142,Strength Trainer Peptide Boost Moisturizer,https://agent.pivota.cc/products/sig_76826014cd6144a5a8110e95,https://olehenriksen.com/products/strength-trainer-peptide-boost-moisturizer,true,true,false,false,true,false,true,true,true
ext_ad5458530604d2c7bfe2fbf2,Dewtopia 25% Acid Flash Facial Mask,https://agent.pivota.cc/products/sig_a75fc11819aeb8912f7e2f64,https://olehenriksen.com/products/dewtopia-25-acid-flash-facial-mask,false,true,false,false,true,false,true,true,true
ext_99c2d94131f26d563e2093bc,Dewtopia 20% Acid Night Treatment,https://agent.pivota.cc/products/sig_654db3eb15313f864eeee78a,https://olehenriksen.com/products/dewtopia-20-acid-night-treatment,false,true,false,false,true,false,true,true,true
ext_68539ff7ebafec665991f495,Hydrabarrier Nourishing Face Oil,https://agent.pivota.cc/products/sig_1041bd840cee6110a29d249e,https://olehenriksen.com/products/hydrabarrier-nourishing-face-oil,true,true,false,false,true,false,true,true,true
ext_5f1eaf3898146877fe9171b3,Truth Serum,https://agent.pivota.cc/products/sig_f35c696b3867f4b7fa139f3a,https://olehenriksen.com/products/truth-serum,false,true,false,false,true,false,true,true,true
ext_35b321dde624f955996315cb,Detox Drops 2% Salicylic Acid Toner,https://agent.pivota.cc/products/sig_321dbf4dec06e85f71be9b36,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,true,true,false,false,false,false,true,true,true
ext_4729e70c78478cb6a57aa177,Après Skin Rich Rescue Barrier Moisturizer with Ceramides,https://agent.pivota.cc/products/sig_04d85d3527be3ca040cb2590,https://olehenriksen.com/products/apres-skin-multi-use-rich-rescue-cream,true,true,false,false,false,false,true,true,true
ext_7036139f48c84539ff819d8d,Peach Glaze Glow Niacinamide Serum with Vitamin C,https://agent.pivota.cc/products/sig_ddf950df9a912beaf5387e99,https://olehenriksen.com/products/peach-glaze-glow-niacinamide-serum,true,true,false,false,false,false,true,true,true
