external_product_id,source_listing_ref,domain,market,title,canonical_url,pdp_url,identity_exists,source_tier,live_read_enabled,identity_status,review_required,identity_confidence,sellable_item_group_id,product_line_id,seed_updated_at,identity_updated_at,seed_has_active_evidence,identity_payload_has_active_evidence,seed_expects_active_ingredients,identity_expects_active_ingredients,seed_updated_after_identity,identity_payload_stale,canonical_selection_gap,pdp_shaping_gap,audit_scope_mismatch,sig_mixed_active_expectation,canonical_content_ref,selected_commerce_ref,sync_candidate,changed,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed,blocker_reason
ext_d711519e2337ab545c05a005,external_seed:ext_d711519e2337ab545c05a005,olehenriksen.com,US,Pout Preserve Peptide Lip Treatment Grape Fizz,https://olehenriksen.com/products/pout-preserve-peptide-lip-treatment-grape-fizz,https://agent.pivota.cc/products/sig_da685f11e464e560af5da957,true,brand,true,approved,false,0.98,sig_da685f11e464e560af5da957,pl_6a6aeff86b8d3dbf9d1e8821,2026-05-16T06:58:16.981Z,2026-05-16T17:49:35.888Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_d711519e2337ab545c05a005,external_seed:ext_d711519e2337ab545c05a005,false,true,false,false,false,false,false,false,false,
ext_6c540ac96c2c1ab33f1af31d,external_seed:ext_6c540ac96c2c1ab33f1af31d,olehenriksen.com,US,Banana Bright+ Vitamin CC Stick,https://olehenriksen.com/products/banana-bright-vitamin-cc-stick,https://agent.pivota.cc/products/sig_40104d3f0b42a80bc96c9894,true,brand,true,approved,false,0.86,sig_40104d3f0b42a80bc96c9894,pl_56c668580e787e0098db955d,2026-05-16T00:51:38.599Z,2026-05-16T17:49:36.328Z,false,false,false,false,false,false,false,false,false,false,external_seed:ext_6c540ac96c2c1ab33f1af31d,external_seed:ext_6c540ac96c2c1ab33f1af31d,false,true,false,false,false,false,false,false,false,
ext_918981bcc6d552cc2af0b535,external_seed:ext_918981bcc6d552cc2af0b535,olehenriksen.com,US,Banana Bright+ Eye Crème,https://olehenriksen.com/products/banana-bright-eye-creme,https://agent.pivota.cc/products/sig_919e963e7d7a740f5f496e87,true,brand,true,approved,false,0.98,sig_919e963e7d7a740f5f496e87,pl_3b67ac1b4bd02a703483ea72,2026-05-14T14:52:37.319Z,2026-05-16T17:49:36.741Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_918981bcc6d552cc2af0b535,external_seed:ext_918981bcc6d552cc2af0b535,false,true,false,false,false,false,false,false,false,
ext_cdf12a2412e34e43b3ab9232,external_seed:ext_cdf12a2412e34e43b3ab9232,olehenriksen.com,US,Dewtopia 5% Acid Firming Night Crème,https://olehenriksen.com/products/dewtopia-5-acid-firming-night-cream,https://agent.pivota.cc/products/sig_11309e1c9f18c101be103b78,true,brand,true,approved,false,0.98,sig_11309e1c9f18c101be103b78,pl_6674b9bb44033983d148a940,2026-05-14T14:52:37.319Z,2026-05-16T17:49:37.220Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_cdf12a2412e34e43b3ab9232,external_seed:ext_cdf12a2412e34e43b3ab9232,false,true,false,false,false,false,false,false,false,
ext_2d5176c8edd52a0c49a1ab55,external_seed:ext_2d5176c8edd52a0c49a1ab55,olehenriksen.com,US,Truth Juice Daily Cleanser,https://olehenriksen.com/products/truth-juice-daily-cleanser,https://agent.pivota.cc/products/sig_f5cc58de1c738a2a17dab564,true,brand,true,approved,false,0.98,sig_f5cc58de1c738a2a17dab564,pl_5fbdca35edb424617f9dcf52,2026-05-14T14:52:37.319Z,2026-05-16T17:49:37.491Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_2d5176c8edd52a0c49a1ab55,external_seed:ext_2d5176c8edd52a0c49a1ab55,false,true,false,false,false,false,false,false,false,
ext_3221a074fcd0a5b3d9a32f2d,external_seed:ext_3221a074fcd0a5b3d9a32f2d,olehenriksen.com,US,Peach Glaze Glow Mist,https://olehenriksen.com/products/peach-glaze-glow-mist,https://agent.pivota.cc/products/sig_20487d5b07261ec3bfb2cc66,true,brand,true,approved,false,0.98,sig_20487d5b07261ec3bfb2cc66,pl_c26053cd3d06ef33c8363916,2026-05-14T14:52:37.319Z,2026-05-16T17:49:37.834Z,false,false,false,false,false,false,false,false,false,false,external_seed:ext_3221a074fcd0a5b3d9a32f2d,external_seed:ext_3221a074fcd0a5b3d9a32f2d,false,true,false,false,false,false,false,false,false,
ext_0910c5ee09219dc2a59ccb1d,external_seed:ext_0910c5ee09219dc2a59ccb1d,olehenriksen.com,US,Lemonade Smoothing Scrub,https://olehenriksen.com/products/lemonade-smoothing-scrub,https://agent.pivota.cc/products/sig_d2080945d690048e2750e642,true,brand,true,approved,false,0.86,sig_d2080945d690048e2750e642,pl_76e20783c6ef46d3950ee9bd,2026-05-14T14:52:37.319Z,2026-05-16T17:49:38.085Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_0910c5ee09219dc2a59ccb1d,external_seed:ext_0910c5ee09219dc2a59ccb1d,false,true,false,false,false,false,false,false,false,
ext_62a2014411830d70f71baac3,external_seed:ext_62a2014411830d70f71baac3,olehenriksen.com,US,Banana Bright 15% Vitamin C Dark Spot Serum,https://olehenriksen.com/products/banana-bright-vitamin-c-serum,https://agent.pivota.cc/products/sig_d0025f46b17807a8b55f5224,true,brand,true,approved,false,0.98,sig_d0025f46b17807a8b55f5224,pl_df36aece0272dee66cf928b3,2026-05-14T14:52:37.319Z,2026-05-16T17:49:38.347Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_62a2014411830d70f71baac3,external_seed:ext_62a2014411830d70f71baac3,false,true,false,false,false,false,false,false,false,
ext_123d26f91740b0e100715451,external_seed:ext_123d26f91740b0e100715451,olehenriksen.com,US,Pout Preserve Peptide Lip Treatment Glimmers,https://olehenriksen.com/products/glimmer-pout-preserve-peptide-lip-treatment,https://agent.pivota.cc/products/sig_934be7b33d4ab774c669b294,true,brand,true,approved,false,0.86,sig_934be7b33d4ab774c669b294,pl_a96df4560903806638820e43,2026-05-14T14:52:37.319Z,2026-05-16T17:49:38.626Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_123d26f91740b0e100715451,external_seed:ext_123d26f91740b0e100715451,false,true,false,false,false,false,false,false,false,
ext_301201d04c48df948c0eacdc,external_seed:ext_301201d04c48df948c0eacdc,olehenriksen.com,US,Barrier Booster Orange Ferment Vitamin C Essence,https://olehenriksen.com/products/barrier-booster-orange-ferment-vitamin-c-essence,https://agent.pivota.cc/products/sig_e1d3cf060d0c37ec75787eef,true,brand,true,approved,false,0.98,sig_e1d3cf060d0c37ec75787eef,pl_89878ee25b70ce74f8695310,2026-05-14T14:52:37.319Z,2026-05-16T17:49:39.045Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_301201d04c48df948c0eacdc,external_seed:ext_301201d04c48df948c0eacdc,false,true,false,false,false,false,false,false,false,
