external_product_id,source_listing_ref,domain,market,title,canonical_url,pdp_url,identity_exists,source_tier,live_read_enabled,identity_status,review_required,identity_confidence,sellable_item_group_id,product_line_id,seed_updated_at,identity_updated_at,seed_has_active_evidence,identity_payload_has_active_evidence,seed_expects_active_ingredients,identity_expects_active_ingredients,seed_updated_after_identity,identity_payload_stale,canonical_selection_gap,pdp_shaping_gap,audit_scope_mismatch,sig_mixed_active_expectation,canonical_content_ref,selected_commerce_ref,sync_candidate,changed,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed,blocker_reason,wave3_hold_reason
ext_31f5bbbe614c7d20bb5c7172,external_seed:ext_31f5bbbe614c7d20bb5c7172,olehenriksen.com,US,Glow Even Brighter Banana Bright Makeup Prep Set,https://olehenriksen.com/products/glow-even-brighter-banana-bright-makeup-prep-set-global,https://agent.pivota.cc/products/sig_6a06c4994e6b3515b0c398b1,true,brand,true,approved,false,0.92,sig_6a06c4994e6b3515b0c398b1,pl_a11c266282aafda33bfc4cd1,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_31f5bbbe614c7d20bb5c7172,external_seed:ext_31f5bbbe614c7d20bb5c7172,true,true,false,false,true,false,true,true,true,,bundle_or_set_like_hold
ext_e7c55a62fa5f3084a7d4f100,external_seed:ext_e7c55a62fa5f3084a7d4f100,olehenriksen.com,US,Balance+ Bundle,https://olehenriksen.com/products/balance-bundle,https://agent.pivota.cc/products/sig_768aa59b1fc4fe010ed4cc94,true,brand,true,approved,false,0.92,sig_768aa59b1fc4fe010ed4cc94,pl_b5883319fbca24ecd8c76cb3,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_e7c55a62fa5f3084a7d4f100,external_seed:ext_e7c55a62fa5f3084a7d4f100,true,true,false,false,true,false,true,true,true,,bundle_or_set_like_hold
ext_591dec1f099cc36e11b9dbe7,external_seed:ext_591dec1f099cc36e11b9dbe7,olehenriksen.com,US,MUFE Artist Color Pencil Extreme Smudge-Proof Lip Liner,https://olehenriksen.com/products/mufe-artist-color-pencil-extreme-smudge-proof-lip-liner,https://agent.pivota.cc/products/sig_9c5e263baf594842602e07c0,true,brand,true,approved,false,0.86,sig_9c5e263baf594842602e07c0,pl_49812ec0317760bffc0ac295,2026-05-14T14:52:37.319Z,2026-05-07T16:46:29.271Z,false,false,true,true,true,true,false,false,false,false,external_seed:ext_591dec1f099cc36e11b9dbe7,external_seed:ext_591dec1f099cc36e11b9dbe7,true,true,false,false,true,false,false,false,true,,unexpected_non_olehenriksen_brand_hold
ext_0b0480947c4257b036c48d02,external_seed:ext_0b0480947c4257b036c48d02,olehenriksen.com,US,The Glow Cycle Bundle Full-Size Daily Routine,https://olehenriksen.com/products/glow-cycle-bundle-full-size-daily-routine,https://agent.pivota.cc/products/sig_eed60c7bea182899d20799f5,true,brand,true,approved,false,0.92,sig_eed60c7bea182899d20799f5,pl_9dcd04b1190459b14261f628,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_0b0480947c4257b036c48d02,external_seed:ext_0b0480947c4257b036c48d02,true,true,false,false,true,false,false,true,true,,bundle_or_set_like_hold
ext_0fc6190f5695d261fa3e1883,external_seed:ext_0fc6190f5695d261fa3e1883,olehenriksen.com,US,Party Of 4 Pout Preserve Lip Set,https://olehenriksen.com/products/party-of-4-pout-preserve-lip-set-1,https://agent.pivota.cc/products/sig_85a08cb434b9709447b00c57,true,brand,true,approved,false,0.92,sig_85a08cb434b9709447b00c57,pl_fe1f99166b0b182f6413d882,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_0fc6190f5695d261fa3e1883,external_seed:ext_0fc6190f5695d261fa3e1883,true,true,false,false,true,false,true,true,true,,bundle_or_set_like_hold
ext_5ee1a11f6b1f780816beb545,external_seed:ext_5ee1a11f6b1f780816beb545,olehenriksen.com,US,Pout Preserve Petites Mini Lip Trio,https://olehenriksen.com/products/pout-preserve-petites-mini-lip-trio,https://agent.pivota.cc/products/sig_ba3f19a30b8d9629dd1b2c1b,true,brand,true,approved,false,0.98,sig_ba3f19a30b8d9629dd1b2c1b,pl_9e0c7eb1d39b61da320bc7ce,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_5ee1a11f6b1f780816beb545,external_seed:ext_5ee1a11f6b1f780816beb545,true,true,false,false,true,false,false,true,true,,bundle_or_set_like_hold
ext_5676831fca6caee579fa9095,external_seed:ext_5676831fca6caee579fa9095,olehenriksen.com,US,The Hangover Hack,https://olehenriksen.com/products/hangover-hack,https://agent.pivota.cc/products/sig_c7aebe604173b5a6561968d3,true,brand,true,approved,false,0.92,sig_c7aebe604173b5a6561968d3,pl_26fc5649cc1ca9681f48e87f,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,true,false,true,true,true,false,false,false,false,external_seed:ext_5676831fca6caee579fa9095,external_seed:ext_5676831fca6caee579fa9095,true,true,false,false,false,false,false,true,true,,bundle_or_set_like_hold
ext_50024e49227406f6c14b1f95,external_seed:ext_50024e49227406f6c14b1f95,olehenriksen.com,US,Banana Bright Illuminating Eye Duo,https://olehenriksen.com/products/banana-bright-illuminating-eye-duo,https://agent.pivota.cc/products/sig_8d1fb994855dea398dc07f66,true,brand,true,approved,false,0.98,sig_8d1fb994855dea398dc07f66,pl_9cad176352cd91714a95c035,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_50024e49227406f6c14b1f95,external_seed:ext_50024e49227406f6c14b1f95,true,true,false,false,true,false,false,true,true,,bundle_or_set_like_hold
ext_23e6b8bf75be48cc5adfe517,external_seed:ext_23e6b8bf75be48cc5adfe517,olehenriksen.com,US,The Glow Cycle,https://olehenriksen.com/products/glow-icons-set,https://agent.pivota.cc/products/sig_5a1cacfd43b468a100b35eef,true,brand,true,approved,false,0.92,sig_5a1cacfd43b468a100b35eef,pl_901ef5c9e830cd120221688e,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_23e6b8bf75be48cc5adfe517,external_seed:ext_23e6b8bf75be48cc5adfe517,true,true,false,false,true,false,false,true,true,,bundle_or_set_like_hold
ext_d2542d7b31829d2caadc58bb,external_seed:ext_d2542d7b31829d2caadc58bb,olehenriksen.com,US,Balance+ Bundle-Canada,https://olehenriksen.com/products/balance-bundle-can,https://agent.pivota.cc/products/sig_718575bd065e3a0f4b7a08c3,true,brand,true,approved,false,0.92,sig_718575bd065e3a0f4b7a08c3,pl_d5918913ef27fd1634cf8901,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,false,false,false,false,true,true,false,false,false,false,external_seed:ext_d2542d7b31829d2caadc58bb,external_seed:ext_d2542d7b31829d2caadc58bb,true,true,false,true,true,false,false,true,true,,bundle_or_set_like_hold
