decision,external_product_id,source_listing_ref,title,canonical_url,pdp_url,sellable_item_group_id,product_line_id,identity_status,review_required,live_read_enabled,seed_has_active_evidence,identity_payload_has_active_evidence,seed_expects_active_ingredients,identity_expects_active_ingredients,identity_payload_stale,canonical_selection_gap,audit_scope_mismatch,sig_mixed_active_expectation,canonical_content_ref,fresh_best_content_ref,gained_active_evidence,gained_how_to,gained_details,contract_changed,field_quality_changed,blocker_reason,review_reasons,recommended_action
hold_component_aware_review,ext_fffd8a0b6f800708dbf69758,external_seed:ext_fffd8a0b6f800708dbf69758,Hunt for Hydration Full-Size Moisturizer & Eye Crème Duo,https://olehenriksen.com/products/hunt-for-hydration-full-size-moisturizer-eye-creme-duo,https://agent.pivota.cc/products/sig_986d8562f273cd7f25571b75,sig_986d8562f273cd7f25571b75,pl_6b05309cdc32ddf282e4024d,approved,false,true,true,false,true,true,true,true,true,false,external_seed:ext_fffd8a0b6f800708dbf69758,external_seed:ext_fffd8a0b6f800708dbf69758,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
hold_component_aware_review,ext_0d5bf002df9e9a55b20a418f,external_seed:ext_0d5bf002df9e9a55b20a418f,Partners in Peptides Hydrating Duo,https://olehenriksen.com/products/partners-in-peptides-hydrating-duo,https://agent.pivota.cc/products/sig_af6544a052cd982ae61d8087,sig_af6544a052cd982ae61d8087,pl_f24dd5855df0f9a09f609f6a,approved,false,true,true,false,true,true,true,true,true,false,external_seed:ext_0d5bf002df9e9a55b20a418f,external_seed:ext_0d5bf002df9e9a55b20a418f,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
hold_component_aware_review,ext_31f5bbbe614c7d20bb5c7172,external_seed:ext_31f5bbbe614c7d20bb5c7172,Glow Even Brighter Banana Bright Makeup Prep Set,https://olehenriksen.com/products/glow-even-brighter-banana-bright-makeup-prep-set-global,https://agent.pivota.cc/products/sig_6a06c4994e6b3515b0c398b1,sig_6a06c4994e6b3515b0c398b1,pl_a11c266282aafda33bfc4cd1,approved,false,true,true,false,true,false,true,true,true,false,external_seed:ext_31f5bbbe614c7d20bb5c7172,external_seed:ext_31f5bbbe614c7d20bb5c7172,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
hold_component_aware_review,ext_f7c6ceb555d34426941a97e5,external_seed:ext_f7c6ceb555d34426941a97e5,Strength Trainer Peptide Boost Moisturizer Duo,https://olehenriksen.com/products/strength-trainer-peptide-boost-moisturizer-duo,https://agent.pivota.cc/products/sig_8de9a0ed4075cac4075c6008,sig_8de9a0ed4075cac4075c6008,pl_66217cfdd2ed9da1de4d5ef8,approved,false,true,true,false,true,true,true,true,true,false,external_seed:ext_f7c6ceb555d34426941a97e5,external_seed:ext_f7c6ceb555d34426941a97e5,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
hold_component_aware_review,ext_5e6dc9677d020497590eff4a,external_seed:ext_5e6dc9677d020497590eff4a,Moisture Barrier Duo Strength Trainer Moisturizer & Hydrabarrier Face Oil,https://olehenriksen.com/products/moisture-barrier-duo-strength-trainer-moisturizer-hydrabarrier-face-oil,https://agent.pivota.cc/products/sig_7ddfe1fe7a08dde4207d8897,sig_7ddfe1fe7a08dde4207d8897,pl_eb3c328c837398d784eeb6af,approved,false,true,true,false,true,true,true,true,true,false,external_seed:ext_5e6dc9677d020497590eff4a,external_seed:ext_5e6dc9677d020497590eff4a,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
hold_component_aware_review,ext_9f28937c48a11dc9ba42ae20,external_seed:ext_9f28937c48a11dc9ba42ae20,Morning Glow Bundle Daily Skincare Routine,https://olehenriksen.com/products/morning-glow-bundle-daily-skincare-routine,https://agent.pivota.cc/products/sig_8bd45ea856d378bf2d18dd97,sig_8bd45ea856d378bf2d18dd97,pl_2f4069b194d380adbfbbfd19,approved,false,true,true,false,true,true,true,true,true,false,external_seed:ext_9f28937c48a11dc9ba42ae20,external_seed:ext_9f28937c48a11dc9ba42ae20,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
hold_component_aware_review,ext_151e0b759efb00378fa68116,external_seed:ext_151e0b759efb00378fa68116,Plumping Peptide Pair Mini Skincare Duo,https://olehenriksen.com/products/plumping-peptide-pair,https://agent.pivota.cc/products/sig_b845b4d578c28d6c500cbb0e,sig_b845b4d578c28d6c500cbb0e,pl_fc12f1fe58394b84991149d0,approved,false,true,true,false,true,true,true,true,true,false,external_seed:ext_151e0b759efb00378fa68116,external_seed:ext_151e0b759efb00378fa68116,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
hold_component_aware_review,ext_12a9d5449837fc03d2ebc5cb,external_seed:ext_12a9d5449837fc03d2ebc5cb,Morning Glow Bundle Daily Skincare Routine-EU,https://olehenriksen.com/products/morning-glow-bundle-daily-skincare-routine-eu,https://agent.pivota.cc/products/sig_efd2d2bfa2a7fd90bf1c7e99,sig_efd2d2bfa2a7fd90bf1c7e99,pl_80b585cacf1e45ec7fb792b9,approved,false,true,false,false,true,true,true,false,true,false,external_seed:ext_12a9d5449837fc03d2ebc5cb,external_seed:ext_12a9d5449837fc03d2ebc5cb,false,true,false,true,true,,bundle_or_set_component_active_risk|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
review_canonical_selection_gap,ext_842d06e9f8039ddcc784fccb,external_seed:ext_842d06e9f8039ddcc784fccb,Detox Drops 2% Salicylic Acid Toner,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,https://agent.pivota.cc/products/sig_e082e10438e89dbe8f94b89a,sig_e082e10438e89dbe8f94b89a,pl_637414f2cbfc920b2e1ef76b,approved,false,true,true,false,true,false,true,true,false,false,external_seed:ext_842d06e9f8039ddcc784fccb,external_seed:ext_842d06e9f8039ddcc784fccb,true,true,true,true,true,,canonical_selection_gap,inspect sig identity grouping and canonical content ref before any payload sync
hold_component_aware_review,ext_c4e42a45eeec3a28c4c1ebb8,external_seed:ext_c4e42a45eeec3a28c4c1ebb8,Deep Clean + Scrub Duo,https://olehenriksen.com/products/deep-clean-scrub-duo,https://agent.pivota.cc/products/sig_b3476d366fff4e20762bcb22,sig_b3476d366fff4e20762bcb22,pl_19bb3b8a8d5309f152688013,approved,false,true,true,false,true,true,true,true,true,false,external_seed:ext_c4e42a45eeec3a28c4c1ebb8,external_seed:ext_c4e42a45eeec3a28c4c1ebb8,true,true,false,true,true,,bundle_or_set_component_active_risk|canonical_selection_gap|audit_scope_mismatch,hold from single-formula active sync until component-aware bundle facts are reviewed
