external_product_id,source_listing_ref,domain,market,title,canonical_url,pdp_url,identity_exists,source_tier,live_read_enabled,identity_status,review_required,identity_confidence,sellable_item_group_id,product_line_id,seed_updated_at,identity_updated_at,seed_has_active_evidence,identity_payload_has_active_evidence,seed_expects_active_ingredients,identity_expects_active_ingredients,seed_updated_after_identity,identity_payload_stale,canonical_selection_gap,pdp_shaping_gap,audit_scope_mismatch,sig_mixed_active_expectation,canonical_content_ref,selected_commerce_ref,sync_candidate,changed,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed,blocker_reason
ext_842d06e9f8039ddcc784fccb,external_seed:ext_842d06e9f8039ddcc784fccb,olehenriksen.com,US,Detox Drops 2% Salicylic Acid Toner,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,https://agent.pivota.cc/products/sig_321dbf4dec06e85f71be9b36,true,brand,true,approved,false,0.98,sig_321dbf4dec06e85f71be9b36,pl_3c0accdad4d1125793420fbf,2026-05-17T02:16:08.965Z,2026-05-17T02:20:12.252Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_35b321dde624f955996315cb,external_seed:ext_842d06e9f8039ddcc784fccb,false,true,false,false,false,false,false,false,false,
ext_35b321dde624f955996315cb,external_seed:ext_35b321dde624f955996315cb,olehenriksen.com,US,Detox Drops 2% Salicylic Acid Toner,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,https://agent.pivota.cc/products/sig_321dbf4dec06e85f71be9b36,true,brand,true,approved,false,0.98,sig_321dbf4dec06e85f71be9b36,pl_3c0accdad4d1125793420fbf,2026-05-17T02:13:44.064Z,2026-05-17T02:18:55.654Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_35b321dde624f955996315cb,external_seed:ext_35b321dde624f955996315cb,false,true,false,false,false,false,false,false,false,
ext_19bf66093385858dcb0d6956,external_seed:ext_19bf66093385858dcb0d6956,olehenriksen.com,US,Detox Drops 2% Salicylic Acid Toner,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,https://agent.pivota.cc/products/sig_321dbf4dec06e85f71be9b36,true,brand,true,approved,false,0.98,sig_321dbf4dec06e85f71be9b36,pl_3c0accdad4d1125793420fbf,2026-05-17T02:13:44.064Z,2026-05-17T02:20:12.252Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_35b321dde624f955996315cb,external_seed:ext_19bf66093385858dcb0d6956,false,true,false,false,false,false,false,false,false,
ext_27ecddfd70b28613b9cdd8a7,external_seed:ext_27ecddfd70b28613b9cdd8a7,olehenriksen.com,US,Pore-Balance Facial Sauna Scrub,https://olehenriksen.com/products/pore-balance-facial-sauna-scrub,https://agent.pivota.cc/products/sig_b7e5ca80dcc491bbbb2f19ea,true,brand,true,approved,false,0.98,sig_b7e5ca80dcc491bbbb2f19ea,pl_4247c52f7c05b46aecb17bd3,2026-05-17T01:56:02.294Z,2026-05-17T01:56:43.840Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_27ecddfd70b28613b9cdd8a7,external_seed:ext_27ecddfd70b28613b9cdd8a7,false,true,false,false,false,false,false,false,false,strict_source_blocker
ext_918981bcc6d552cc2af0b535,external_seed:ext_918981bcc6d552cc2af0b535,olehenriksen.com,US,Banana Bright+ Eye Crème,https://olehenriksen.com/products/banana-bright-eye-creme,https://agent.pivota.cc/products/sig_919e963e7d7a740f5f496e87,true,brand,true,approved,false,0.98,sig_919e963e7d7a740f5f496e87,pl_3b67ac1b4bd02a703483ea72,2026-05-17T01:03:31.106Z,2026-05-17T01:03:32.110Z,true,false,true,true,false,true,true,true,false,false,external_seed:ext_918981bcc6d552cc2af0b535,external_seed:ext_918981bcc6d552cc2af0b535,true,true,true,false,false,false,false,false,false,
ext_d711519e2337ab545c05a005,external_seed:ext_d711519e2337ab545c05a005,olehenriksen.com,US,Pout Preserve Peptide Lip Treatment Grape Fizz,https://olehenriksen.com/products/pout-preserve-peptide-lip-treatment-grape-fizz,https://agent.pivota.cc/products/sig_da685f11e464e560af5da957,true,brand,true,approved,false,0.98,sig_da685f11e464e560af5da957,pl_6a6aeff86b8d3dbf9d1e8821,2026-05-16T06:58:16.981Z,2026-05-16T17:49:35.888Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_d711519e2337ab545c05a005,external_seed:ext_d711519e2337ab545c05a005,false,true,false,false,false,false,false,false,false,
ext_6c540ac96c2c1ab33f1af31d,external_seed:ext_6c540ac96c2c1ab33f1af31d,olehenriksen.com,US,Banana Bright+ Vitamin CC Stick,https://olehenriksen.com/products/banana-bright-vitamin-cc-stick,https://agent.pivota.cc/products/sig_40104d3f0b42a80bc96c9894,true,brand,true,approved,false,0.86,sig_40104d3f0b42a80bc96c9894,pl_56c668580e787e0098db955d,2026-05-16T00:51:38.599Z,2026-05-16T17:49:36.328Z,false,false,false,false,false,false,false,false,false,false,external_seed:ext_6c540ac96c2c1ab33f1af31d,external_seed:ext_6c540ac96c2c1ab33f1af31d,false,true,false,false,false,false,false,false,false,
ext_94b5abce697f4012341a957f,external_seed:ext_94b5abce697f4012341a957f,olehenriksen.com,US,Banana Bright Mineral Sunscreen SPF 30,https://olehenriksen.com/products/banana-bright-mineral-sunscreen-spf-30,https://agent.pivota.cc/products/sig_ae48458ad5eaeac03aaf981a,true,brand,true,approved,false,0.98,sig_ae48458ad5eaeac03aaf981a,pl_d59aaa4c9c4cf64f6440c8b0,2026-05-15T06:10:12.034Z,2026-05-15T06:10:33.981Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_94b5abce697f4012341a957f,external_seed:ext_94b5abce697f4012341a957f,false,true,false,false,false,false,false,false,false,
ext_fffd8a0b6f800708dbf69758,external_seed:ext_fffd8a0b6f800708dbf69758,olehenriksen.com,US,Hunt for Hydration Full-Size Moisturizer & Eye Crème Duo,https://olehenriksen.com/products/hunt-for-hydration-full-size-moisturizer-eye-creme-duo,https://agent.pivota.cc/products/sig_986d8562f273cd7f25571b75,true,brand,true,approved,false,0.98,sig_986d8562f273cd7f25571b75,pl_6b05309cdc32ddf282e4024d,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,true,false,true,true,true,true,true,true,true,false,external_seed:ext_fffd8a0b6f800708dbf69758,external_seed:ext_fffd8a0b6f800708dbf69758,true,true,true,false,true,false,false,true,true,
ext_4e155bb184ec35f3cd7827e3,external_seed:ext_4e155bb184ec35f3cd7827e3,olehenriksen.com,US,Banana Bright+ Firm and Glow Moisturizer with Vitamin C and Niacinamide,https://olehenriksen.com/products/banana-bright-glow-moisturizer,https://agent.pivota.cc/products/sig_dd132423fa070a128d637ab5,true,brand,true,approved,false,0.98,sig_dd132423fa070a128d637ab5,pl_d7413c9baa7cc942abce7975,2026-05-14T14:52:37.319Z,2026-05-16T17:39:38.235Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_4e155bb184ec35f3cd7827e3,external_seed:ext_4e155bb184ec35f3cd7827e3,false,true,false,false,false,false,false,false,false,
