external_product_id,source_listing_ref,domain,market,title,canonical_url,pdp_url,identity_exists,source_tier,live_read_enabled,identity_status,review_required,identity_confidence,sellable_item_group_id,product_line_id,seed_updated_at,identity_updated_at,seed_has_active_evidence,identity_payload_has_active_evidence,seed_expects_active_ingredients,identity_expects_active_ingredients,seed_updated_after_identity,identity_payload_stale,canonical_selection_gap,pdp_shaping_gap,audit_scope_mismatch,sig_mixed_active_expectation,canonical_content_ref,selected_commerce_ref,sync_candidate,changed,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed,blocker_reason
ext_3fe128d1441a94c26364da2b,external_seed:ext_3fe128d1441a94c26364da2b,olehenriksen.com,US,Pout Preserve Peptide Lip Treatment,https://olehenriksen.com/products/pout-preserve-peptide-lip-treatment,https://agent.pivota.cc/products/sig_37b0256e9641fbae7e91420c,true,brand,true,approved,false,0.86,sig_37b0256e9641fbae7e91420c,pl_1c31aabf4d12ebde5ff0bd6f,2026-05-17T03:03:42.780Z,2026-05-17T03:03:59.749Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_3fe128d1441a94c26364da2b,external_seed:ext_3fe128d1441a94c26364da2b,false,true,false,false,false,false,false,false,false,
ext_47fe725499e880c01ccfc134,external_seed:ext_47fe725499e880c01ccfc134,olehenriksen.com,US,Banana Bright Face Primer,https://olehenriksen.com/products/banana-bright-face-primer,https://agent.pivota.cc/products/sig_a490ed5bdf736d26b6c69cb2,true,brand,true,approved,false,0.98,sig_a490ed5bdf736d26b6c69cb2,pl_4a381adc60a7511e737f9ac1,2026-05-17T03:01:11.137Z,2026-05-17T03:01:11.929Z,true,true,true,true,false,false,false,false,false,false,external_seed:ext_47fe725499e880c01ccfc134,external_seed:ext_47fe725499e880c01ccfc134,false,true,false,false,false,false,false,false,false,
ext_4e4902ad12294f63294bebb0,external_seed:ext_4e4902ad12294f63294bebb0,olehenriksen.com,US,Touch Nourishing Body Lotion,https://olehenriksen.com/products/nourishing-body-lotion,https://agent.pivota.cc/products/sig_f258d00e487ce69c6366fea1,true,brand,false,review_required,true,0.8,sig_f258d00e487ce69c6366fea1,pl_84f40b2865991ff3180fd4cb,2026-05-17T02:53:16.169Z,2026-05-17T02:53:56.040Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_4e4902ad12294f63294bebb0,external_seed:ext_4e4902ad12294f63294bebb0,false,true,false,false,false,false,false,false,false,strict_source_blocker
ext_df461e9f2856b689eb1914a8,external_seed:ext_df461e9f2856b689eb1914a8,olehenriksen.com,US,Pout Preserve Sugar Melt Lip Scrub,https://olehenriksen.com/products/pout-preserve-sugar-melt-lip-scrub,https://agent.pivota.cc/products/sig_28a7af30de8846969663a045,true,brand,true,approved,false,0.92,sig_28a7af30de8846969663a045,pl_68bfbf3eeaec315d461d4c9f,2026-05-17T02:50:31.448Z,2026-05-17T02:51:20.954Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_df461e9f2856b689eb1914a8,external_seed:ext_df461e9f2856b689eb1914a8,false,true,false,false,false,false,false,false,false,
ext_f547012d9e7a18a054240103,external_seed:ext_f547012d9e7a18a054240103,tirtir.global,US,Mask Fit All Cover Cushion Refill,https://tirtir.global/products/mask-fit-all-cover-cushion-refill,https://agent.pivota.cc/products/sig_37cfc2558d69e61d0fe218ba,true,brand,true,approved,false,0.92,sig_37cfc2558d69e61d0fe218ba,pl_155142cbcecd63f89c68d180,2026-05-17T02:44:35.022Z,2026-05-17T02:44:35.022Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_f547012d9e7a18a054240103,external_seed:ext_f547012d9e7a18a054240103,false,true,false,false,false,false,false,false,false,
ext_35a4000d4e494c516a37642c,external_seed:ext_35a4000d4e494c516a37642c,tirtir.global,US,Mask Fit Red Cushion Refill,https://tirtir.global/products/mask-fit-red-cushion-refill,https://agent.pivota.cc/products/sig_70172dbf8185c4be0a067c69,true,brand,false,review_required,true,0.8,sig_70172dbf8185c4be0a067c69,pl_919cf5c40854c306f4f2cba5,2026-05-17T02:44:35.022Z,2026-05-17T02:44:35.022Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_35a4000d4e494c516a37642c,external_seed:ext_35a4000d4e494c516a37642c,false,true,false,false,false,false,false,false,false,
ext_0c5ff135e1e9209ad85ba45a,external_seed:ext_0c5ff135e1e9209ad85ba45a,tirtir.global,US,Mask Fit AI Filter Cushion,https://tirtir.global/products/mask-fit-ai-filter-cushion,https://agent.pivota.cc/products/sig_3b353e7ae6c535ebda4bc20c,true,brand,false,review_required,true,0.8,sig_3b353e7ae6c535ebda4bc20c,pl_2afbcb650514f444080c3b19,2026-05-17T02:44:35.022Z,2026-05-17T02:44:35.022Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_0c5ff135e1e9209ad85ba45a,external_seed:ext_0c5ff135e1e9209ad85ba45a,false,true,false,false,false,false,false,false,true,
ext_45d03a0e1d810da38e31c057,external_seed:ext_45d03a0e1d810da38e31c057,tirtir.global,US,SOS Serum,https://tirtir.global/products/sos-serum,https://agent.pivota.cc/products/sig_84cb807fb4620835e80b1fe1,true,brand,true,approved,false,0.92,sig_84cb807fb4620835e80b1fe1,pl_e782aa2887c10233e839a10a,2026-05-17T02:44:35.022Z,2026-05-17T02:44:35.022Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_45d03a0e1d810da38e31c057,external_seed:ext_45d03a0e1d810da38e31c057,false,true,false,false,false,false,false,false,false,
ext_4f43738711dfea4e88975cf4,external_seed:ext_4f43738711dfea4e88975cf4,tirtir.global,US,Mask Fit Cushion Refill,https://tirtir.global/products/mask-fit-cushion-refill,https://agent.pivota.cc/products/sig_4cda2a8b84aa7f6b755c617c,true,brand,false,review_required,true,0.8,sig_4cda2a8b84aa7f6b755c617c,pl_ddb128499cd5b57da94dca25,2026-05-17T02:44:35.022Z,2026-05-17T02:44:35.022Z,false,false,true,true,false,false,false,false,false,false,external_seed:ext_4f43738711dfea4e88975cf4,external_seed:ext_4f43738711dfea4e88975cf4,false,true,false,false,false,false,false,false,false,
ulta:25cf8c73b58aab90,external_seed:ulta:25cf8c73b58aab90,ulta.com,US,Afterglow Lipstick - Idolized 223,https://www.ulta.com/p/afterglow-lipstick-pimprod2038271?sku=2608915,https://agent.pivota.cc/products/ulta:25cf8c73b58aab90,false,,false,,false,,,,2026-05-17T02:42:52.245Z,,false,false,false,false,false,false,false,false,false,false,external_seed:ulta:25cf8c73b58aab90,external_seed:ulta:25cf8c73b58aab90,false,true,false,false,false,false,false,false,false,
