sellable_item_group_id,product_line_id,row_count,live_read_count,stale_payload_count,seed_active_count,seed_active_expectation_count,identity_active_count,sig_mixed_active_expectation,canonical_selection_gap,canonical_content_ref,fresh_best_content_ref,sync_candidate_count,sample_titles
sig_dd09ef39eac7d31e8c6b3baa,pl_d10fa909518181488a691ed9,1,1,1,1,1,1,false,false,external_seed:ext_62f7f0e601b4a7076878dcc2,external_seed:ext_62f7f0e601b4a7076878dcc2,0,Reflect Glow Prep Primer
sig_0ef901d17a661cbc02c813b1,pl_4069b32ea6575cd7c53d3bad,1,1,1,0,1,0,false,false,external_seed:ext_5ab776a181b3d1dbd1b7ee0a,external_seed:ext_5ab776a181b3d1dbd1b7ee0a,0,My Glow Shimmer Highlighter
sig_13c64924cebb756fa2f2bdcd,pl_f890ca1d0e0866dc635f676e,1,1,1,0,1,0,false,false,external_seed:ext_daab8cbcc38d218fdb6d7d22,external_seed:ext_daab8cbcc38d218fdb6d7d22,0,My Glow Ampoule Highlighter
sig_9bbdc2c3f3af2eed9f2c14bc,pl_3bb9157eafb3b2669e01e3fb,1,1,1,1,1,1,false,false,external_seed:ext_4e8c76f135dacc76b2653045,external_seed:ext_4e8c76f135dacc76b2653045,0,Flawless Pore Prep Primer
missing:external_seed:ext_e99eaa64c53b8ba6b16db8b0,,1,0,1,1,1,0,false,true,external_seed:ext_e99eaa64c53b8ba6b16db8b0,external_seed:ext_e99eaa64c53b8ba6b16db8b0,0,3 Ceramide Panthenol Moisture Barrier Cream
missing:external_seed:ext_b16fd69f9a86ba825c0706ba,,1,0,1,1,1,0,false,true,external_seed:ext_b16fd69f9a86ba825c0706ba,external_seed:ext_b16fd69f9a86ba825c0706ba,0,8 Hyaluronic Acid Catechin Calming Pad
missing:external_seed:ext_33939578156b0fcad15d25d8,,1,0,1,1,1,0,false,true,external_seed:ext_33939578156b0fcad15d25d8,external_seed:ext_33939578156b0fcad15d25d8,0,8 Hyaluronic Acid Hydrating Gentle Foaming Cleanser
missing:external_seed:ext_26b54c008d2308d09cf2d100,,1,0,1,1,1,0,false,true,external_seed:ext_26b54c008d2308d09cf2d100,external_seed:ext_26b54c008d2308d09cf2d100,0,8 Hyaluronic Acid Moisturizing Gentle Gel Cleanser
missing:external_seed:ext_c0f9f6ed3aaf31bc4f938c77,,1,0,1,1,1,0,false,true,external_seed:ext_c0f9f6ed3aaf31bc4f938c77,external_seed:ext_c0f9f6ed3aaf31bc4f938c77,0,Azelaic 10 Hyaluron Redness Soothing Pad
missing:external_seed:ext_3c937cc0c4e26a198df810dc,,1,0,1,1,1,0,false,true,external_seed:ext_3c937cc0c4e26a198df810dc,external_seed:ext_3c937cc0c4e26a198df810dc,0,Heartleaf 70 Soothing Collagen Mask
