external_product_id,source_listing_ref,domain,market,title,canonical_url,pdp_url,identity_payload_stale,canonical_selection_gap,audit_scope_mismatch,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed
ext_f20e51d2e8b7a6b8879bf4b7,external_seed:ext_f20e51d2e8b7a6b8879bf4b7,anua.com,US,Heartleaf Centella Red Spot Cream,https://anua.com/products/heartleaf-centella-red-spot-cream,https://agent.pivota.cc/products/sig_a297a2c1a1725a25e590670d,true,false,false,false,false,true,false,false,false,true
ext_0593d410360b6e8cebbed23e,external_seed:ext_0593d410360b6e8cebbed23e,roundlab.com,US,1025 Dokdo Ampoule,https://roundlab.com/products/1025-dokdo-ampoule,https://agent.pivota.cc/products/sig_f9ef73632356ecb1702fa2ab,true,true,false,true,true,true,true,false,false,false
ext_1ee358db8a0a348d940541ea,external_seed:ext_1ee358db8a0a348d940541ea,roundlab.com,US,1025 Dokdo Cleanser,https://roundlab.com/products/1025-dokdo-cleanser,https://agent.pivota.cc/products/sig_6c69e843f4af13d70076c743,true,true,false,true,true,true,true,true,false,false
ext_d356903af461a19a1396067e,external_seed:ext_d356903af461a19a1396067e,roundlab.com,US,1025 Dokdo Cleansing Oil,https://roundlab.com/products/1025-dokdo-cleansing-oil,https://agent.pivota.cc/products/sig_c8e5f67fb370f0bf29068187,true,true,false,true,true,true,true,true,false,false
ext_624a12ac9aec83ba278950e0,external_seed:ext_624a12ac9aec83ba278950e0,roundlab.com,US,1025 Dokdo Cream,https://roundlab.com/products/1025-dokdo-cream,https://agent.pivota.cc/products/sig_75b1213dd259bdacaa19f48a,true,true,false,true,true,true,true,false,false,false
ext_52db83881b3497c1f1165248,external_seed:ext_52db83881b3497c1f1165248,roundlab.com,US,1025 Dokdo Lotion,https://roundlab.com/products/1025-dokdo-lotion,https://agent.pivota.cc/products/sig_0e8531ace326a9795c68b4b2,true,true,false,true,true,true,true,true,false,false
ext_94efe3f4b07d340ca39eb3c0,external_seed:ext_94efe3f4b07d340ca39eb3c0,roundlab.com,US,1025 Dokdo Mud Pack,https://roundlab.com/products/1025-dokdo-mud-pack,https://agent.pivota.cc/products/sig_7462e3a7a2880efe37517314,true,true,false,true,true,true,true,true,false,false
ext_39ee239fdd7cae5736d9d3e7,external_seed:ext_39ee239fdd7cae5736d9d3e7,roundlab.com,US,1025 Dokdo Sleeping Pack,https://roundlab.com/products/1025-dokdo-sleeping-pack,https://agent.pivota.cc/products/sig_9e60c4c44eaeefb21f9e1d29,true,true,false,true,true,true,true,false,false,false
ext_8f57ee8b842f3dcd53f8a13b,external_seed:ext_8f57ee8b842f3dcd53f8a13b,roundlab.com,US,1025 Dokdo Toner,https://roundlab.com/products/1025-dokdo-toner,https://agent.pivota.cc/products/sig_1b4d781283f82291599c4843,true,true,false,true,true,true,true,true,false,false
ext_165050d194f3c456a7b9c32c,external_seed:ext_165050d194f3c456a7b9c32c,roundlab.com,US,1025 Dokdo Water Gel Mask Sheet,https://roundlab.com/products/1025-dokdo-mask-sheet,https://agent.pivota.cc/products/sig_1c6c3850764e4a8629602b92,true,true,false,true,true,true,true,true,false,false
ext_430d2c9748b87d038314f374,external_seed:ext_430d2c9748b87d038314f374,roundlab.com,US,Birch Juice Cleansing Pad,https://roundlab.com/products/birch-juice-cleansing-pad,https://agent.pivota.cc/products/sig_8035b1716fe764fba33d3eb9,true,true,false,true,true,true,true,false,false,false
ext_d9ba295c3cd40caa60aa856e,external_seed:ext_d9ba295c3cd40caa60aa856e,roundlab.com,US,Birch Juice Moisturizing Ampoule,https://roundlab.com/products/birch-juice-ampoule,https://agent.pivota.cc/products/sig_665f8b8dbfb110b56df32315,true,true,false,true,true,true,true,false,false,false
ext_ebbcb7f9ccbf20c656808ac4,external_seed:ext_ebbcb7f9ccbf20c656808ac4,roundlab.com,US,Birch Mild-Up Sunscreen UVLock SPF 50+ Broad Spectrum,https://roundlab.com/products/birch-juice-mild-up-uvlock-sunscreen,https://agent.pivota.cc/products/sig_2c007c2ba76d63995059aa50,true,true,false,true,false,true,true,false,false,false
ext_94e79b8163564b4df1764a92,external_seed:ext_94e79b8163564b4df1764a92,roundlab.com,US,Birch Moisturizing Cream,https://roundlab.com/products/birch-moisturizing-cream,https://agent.pivota.cc/products/sig_e6417f0e5991a1ca305a0b92,true,true,false,true,true,true,true,true,false,false
ext_189fe972ab697d890927ee68,external_seed:ext_189fe972ab697d890927ee68,roundlab.com,US,Birch Moisturizing Double Gel Mask,https://roundlab.com/products/birch-moisturizing-gel-mask,https://agent.pivota.cc/products/sig_d8fb2fd88ae138c0139afe9d,true,true,false,true,true,true,true,false,false,false
ext_4b5349ed18ef549b67076e55,external_seed:ext_4b5349ed18ef549b67076e55,roundlab.com,US,Birch Moisturizing Intensive Cream,https://roundlab.com/products/birch-moisturizing-intensive-cream,https://agent.pivota.cc/products/sig_308bc02699c64415d5e24625,true,true,false,true,true,true,true,false,false,false
ext_5c41aae887538067c0e3fff5,external_seed:ext_5c41aae887538067c0e3fff5,roundlab.com,US,Birch Moisturizing Lip Balm,https://roundlab.com/products/birch-moisturizing-lip-balm,https://agent.pivota.cc/products/sig_8b7a7c6795ff58f373c03f1f,true,true,false,true,true,true,true,false,false,false
ext_203dc23d76d112e309035d38,external_seed:ext_203dc23d76d112e309035d38,roundlab.com,US,"Birch Moisturizing Mild-Up Sunscreen SPF 50+, PA++++",https://roundlab.com/products/birch-moisturizing-mild-up-sunscreen-spf-50-pa,https://agent.pivota.cc/products/sig_6aeefe99fe5f9ca3f8a09641,true,true,false,true,false,true,true,false,false,false
ext_b8b101bf12d600cfb7df256b,external_seed:ext_b8b101bf12d600cfb7df256b,roundlab.com,US,Birch Moisturizing Serum,https://roundlab.com/products/birch-moisturizing-serum,https://agent.pivota.cc/products/sig_7283596ab481e770f809f550,true,true,false,true,true,true,true,true,false,false
ext_9165bb79ae5cf649654fc68d,external_seed:ext_9165bb79ae5cf649654fc68d,roundlab.com,US,Birch Moisturizing Sheet Mask,https://roundlab.com/products/birch-moisturizing-sheet-mask,https://agent.pivota.cc/products/sig_68b7ac10c31c0c59fdb6f41b,true,true,false,true,true,true,true,false,false,false
