sellable_item_group_id,product_line_id,row_count,live_read_count,stale_payload_count,seed_active_count,seed_active_expectation_count,identity_active_count,sig_mixed_active_expectation,canonical_selection_gap,canonical_content_ref,fresh_best_content_ref,sync_candidate_count,sample_titles
sig_f9ef73632356ecb1702fa2ab,pl_0751066961415d9af99b1740,1,1,1,1,1,0,false,true,external_seed:ext_0593d410360b6e8cebbed23e,external_seed:ext_0593d410360b6e8cebbed23e,1,1025 Dokdo Ampoule
sig_6c69e843f4af13d70076c743,pl_0b2f360541a71b1b0320235a,1,1,1,1,1,0,false,true,external_seed:ext_1ee358db8a0a348d940541ea,external_seed:ext_1ee358db8a0a348d940541ea,1,1025 Dokdo Cleanser
sig_c8e5f67fb370f0bf29068187,pl_3b46eb071be929219c2b8aa8,1,1,1,1,1,0,false,true,external_seed:ext_d356903af461a19a1396067e,external_seed:ext_d356903af461a19a1396067e,1,1025 Dokdo Cleansing Oil
sig_75b1213dd259bdacaa19f48a,pl_c8eb98e36982e99c5550e61e,1,1,1,1,1,0,false,true,external_seed:ext_624a12ac9aec83ba278950e0,external_seed:ext_624a12ac9aec83ba278950e0,1,1025 Dokdo Cream
sig_0e8531ace326a9795c68b4b2,pl_10ad963db53ab7bf749c6231,1,1,1,1,1,0,false,true,external_seed:ext_52db83881b3497c1f1165248,external_seed:ext_52db83881b3497c1f1165248,1,1025 Dokdo Lotion
sig_7462e3a7a2880efe37517314,pl_49c714e3263d479e03d86747,1,1,1,1,1,0,false,true,external_seed:ext_94efe3f4b07d340ca39eb3c0,external_seed:ext_94efe3f4b07d340ca39eb3c0,1,1025 Dokdo Mud Pack
sig_9e60c4c44eaeefb21f9e1d29,pl_20b99b0aad7b3f6fc56fa069,1,1,1,1,1,0,false,true,external_seed:ext_39ee239fdd7cae5736d9d3e7,external_seed:ext_39ee239fdd7cae5736d9d3e7,1,1025 Dokdo Sleeping Pack
sig_1b4d781283f82291599c4843,pl_c04b25f40cfdff20980b805b,1,1,1,1,1,0,false,true,external_seed:ext_8f57ee8b842f3dcd53f8a13b,external_seed:ext_8f57ee8b842f3dcd53f8a13b,1,1025 Dokdo Toner
sig_1c6c3850764e4a8629602b92,pl_2a5080af89f5e553329b5ff3,1,1,1,1,1,0,false,true,external_seed:ext_165050d194f3c456a7b9c32c,external_seed:ext_165050d194f3c456a7b9c32c,1,1025 Dokdo Water Gel Mask Sheet
sig_8035b1716fe764fba33d3eb9,pl_9963505187f0c2cc641828ad,1,1,1,1,1,0,false,true,external_seed:ext_430d2c9748b87d038314f374,external_seed:ext_430d2c9748b87d038314f374,1,Birch Juice Cleansing Pad
sig_665f8b8dbfb110b56df32315,pl_21ea0316432614550dc99b1b,1,1,1,1,1,0,false,true,external_seed:ext_d9ba295c3cd40caa60aa856e,external_seed:ext_d9ba295c3cd40caa60aa856e,1,Birch Juice Moisturizing Ampoule
sig_2c007c2ba76d63995059aa50,pl_00ab7591690914f7de84d89a,1,1,1,1,1,0,false,true,external_seed:ext_ebbcb7f9ccbf20c656808ac4,external_seed:ext_ebbcb7f9ccbf20c656808ac4,1,Birch Mild-Up Sunscreen UVLock SPF 50+ Broad Spectrum
