source,dataset,sample_hash,ok,fail_reason,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
internal,internal,7d3afb114bf090b5b9ca,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
internal,internal,1469aff53b9f462ce084,false,IMAGE_PREPROCESS_FAIL,0,,0,0,1,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,6903a08035fabdadc606,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
internal,internal,523ebabf9102cc9f324a,false,IMAGE_PREPROCESS_FAIL,0,,0,0,1,,,,,false,false,,,1.5,,,image_decode_failed
internal,internal,cba6ee8b0ed946b9fc84,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
fasseg,fasseg,d80d5cd03bb228f506d5,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,cab735e532536a523369,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,7726c9e29daea05a418d,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,33efd9c0b8510abc9f9e,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,f3347367324892256656,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,cdbfbfae36b4ccee2d88,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,e27f54d36eecbaf60010,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,bda462665c5788f9deb6,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
fasseg,fasseg,685010ca2b4790d0c91d,false,PRED_MODULES_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,api_network_error
lapa,lapa,8a80db7c5eca733274fb,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
lapa,lapa,fd9c81b1f72063cf5166,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
lapa,lapa,495880287a998b885a5f,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
lapa,lapa,83113069fd7af8720473,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
lapa,lapa,766c63ab5a7b5c327667,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
celebamaskhq,celebamaskhq,1438d10ef59a3bb1cea4,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
celebamaskhq,celebamaskhq,49ca99fa3827e6bfb010,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
celebamaskhq,celebamaskhq,d0eb061ca07e4139b80b,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
celebamaskhq,celebamaskhq,b5b2d35f2790ccf4aa73,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
celebamaskhq,celebamaskhq,8ce33319205911f59176,false,HTTP_UNKNOWN,0,,0,0,1,,,,,false,false,,,3.5,,,fetch failed
