source,dataset,pipeline_mode_used,sample_hash,ok,fail_reason,reason_detail,decode_ext,decode_magic,decode_error_code,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
internal,internal,local,2be889b510c1a38033ba,true,,,.jpg,jpg,,ok,,200,fail,7,136,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,QUALITY_GATED,,
internal,internal,local,9a401e18a8c6665aa359,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.06,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,95f09bee0971c6fdf362,true,,,.jpg,jpg,,ok,,200,fail,7,136,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,QUALITY_GATED,,
internal,internal,local,8e4bf9aa88dbd4553991,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,8cd1ee0d8dc68491634a,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,2871d635fb37917ea807,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,81001ae2d5107a11d62a,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.026,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,c8e73ea498afad2b050a,true,,,.jpg,jpg,,ok,,200,fail,7,136,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,QUALITY_GATED,,
internal,internal,local,67efbf2f8e6af895ad60,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,c5d245f50002c91cc625,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
