source,dataset,pipeline_mode_used,sample_hash,image_path_rel,ok,fail_reason,reason_detail,ext_from_path,magic_type,container_hint,decode_ext,decode_magic,decode_error_code,heic_conversion_applied,heic_conversion_status,heic_conversion_tool,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,under_eye_left_pixels,under_eye_right_pixels,module_guard_triggered,module_min_pixels_under_eye,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,module_pixels_map,module_guard_pixel_diffs,degraded_reasons,reverted_modules,guarded_modules,note
internal,internal,remote,2be889b510c1a38033ba,IMG_9525.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,9a401e18a8c6665aa359,IMG_9562.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,95f09bee0971c6fdf362,IMG_9561.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,local,2871d635fb37917ea807,1770790798466.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,remote,81001ae2d5107a11d62a,IMG_9537.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,c8e73ea498afad2b050a,IMG_9564.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,67efbf2f8e6af895ad60,IMG_9552.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,local,c5d245f50002c91cc625,1770790858089.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,remote,80efd4f0a208572eeda6,IMG_9554.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,1a421d3b67d230413d7d,IMG_9513.jpg,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,2cde5c68a939ead990c9,IMG_9538.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,db096233b1a2b8103ace,IMG_9524.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,cba6ee8b0ed946b9fc84,IMG_9544.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,local,ecfa32a6675cb0ca4e9d,1770790748734.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,remote,eda446ab5b3d5777d756,IMG_9545.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,97b6ca57da0455f72b7a,IMG_9539.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,327308ddff38f5287def,IMG_9568.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,a192a4bd6814d37c6dcb,IMG_9548.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,2dd4b942b36d73848f53,IMG_9550.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,740de1a098a6a6ec9300,IMG_9559.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,30910e29416f653b4d58,IMG_9556.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,local,b33837f5960366cd1e33,1770790843929.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,remote,370608993748ebd4eb84,IMG_9530.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,7d3afb114bf090b5b9ca,IMG_9526.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,ec9ee489fb60cf362b3a,IMG_9529.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,00c433c58cbca9b326c6,IMG_9555.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,eaacf8df1f955dfe7fea,IMG_9565.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,97c18f872fe4d7901413,IMG_395338319.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,local,47f090ddb118aa71740e,1770790730304.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,remote,d5028a5fda1c616936a9,IMG_9534.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,db9c9a65ca745d046584,IMG_9527.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
