source,dataset,pipeline_mode_used,sample_hash,image_path_rel,ok,fail_reason,reason_detail,ext_from_path,magic_type,container_hint,decode_ext,decode_magic,decode_error_code,heic_conversion_applied,heic_conversion_status,heic_conversion_tool,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,min_module_id,min_module_pixels,under_eye_left_pixels,under_eye_right_pixels,module_guard_triggered,module_min_pixels_under_eye,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,module_pixels_map,module_guard_pixel_diffs,degraded_reasons,reverted_modules,guarded_modules,note
internal,internal,local,2be889b510c1a38033ba,IMG_9525.JPG,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,fail,7,136,under_eye_left,136,136,136,false,,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,"{""forehead"":600,""left_cheek"":440,""right_cheek"":440,""nose"":252,""chin"":396,""under_eye_left"":136,""under_eye_right"":136}",[],QUALITY_GATED,,,
internal,internal,local,9a401e18a8c6665aa359,IMG_9562.JPG,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,degraded,7,44,nose,44,77,77,true,64,0,,0.06,,,,0,0,0.042,0.06,0.021,0.021,false,false,,,0.246,"{""forehead"":160,""left_cheek"":208,""right_cheek"":208,""nose"":44,""chin"":133,""under_eye_left"":77,""under_eye_right"":77}","[{""module_id"":""chin"",""before_pixels"":13,""after_pixels"":133,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":3},{""module_id"":""under_eye_left"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""under_eye_right"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1}]",,,chin|under_eye_left|under_eye_right,
internal,internal,local,95f09bee0971c6fdf362,IMG_9561.JPG,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,fail,7,136,under_eye_left,136,136,136,false,,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,"{""forehead"":600,""left_cheek"":440,""right_cheek"":440,""nose"":252,""chin"":396,""under_eye_left"":136,""under_eye_right"":136}",[],QUALITY_GATED,,,
internal,internal,local,2871d635fb37917ea807,1770790798466.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,local,81001ae2d5107a11d62a,IMG_9537.JPG,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,degraded,7,44,nose,44,77,77,true,64,0,,0.026,,,,0,0,0.018,0.026,0.009,0.009,false,false,,,0.106,"{""forehead"":132,""left_cheek"":195,""right_cheek"":182,""nose"":44,""chin"":133,""under_eye_left"":77,""under_eye_right"":77}","[{""module_id"":""forehead"",""before_pixels"":80,""after_pixels"":132,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""chin"",""before_pixels"":13,""after_pixels"":133,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":3},{""module_id"":""under_eye_left"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""under_eye_right"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1}]",,,forehead|chin|under_eye_left|under_eye_right,
internal,internal,local,c8e73ea498afad2b050a,IMG_9564.JPG,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,fail,7,136,under_eye_left,136,136,136,false,,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,"{""forehead"":600,""left_cheek"":440,""right_cheek"":440,""nose"":252,""chin"":396,""under_eye_left"":136,""under_eye_right"":136}",[],QUALITY_GATED,,,
internal,internal,local,67efbf2f8e6af895ad60,IMG_9552.JPG,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,degraded,7,44,nose,44,77,70,true,64,0,,0.005,,,,0,0,0.003,0.005,0.002,0.002,false,false,,,0.02,"{""forehead"":176,""left_cheek"":156,""right_cheek"":117,""nose"":44,""chin"":133,""under_eye_left"":77,""under_eye_right"":70}","[{""module_id"":""forehead"",""before_pixels"":120,""after_pixels"":176,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""chin"",""before_pixels"":13,""after_pixels"":133,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":3},{""module_id"":""under_eye_left"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""under_eye_right"",""before_pixels"":40,""after_pixels"":70,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1}]",,,forehead|chin|under_eye_left|under_eye_right,
internal,internal,local,c5d245f50002c91cc625,1770790858089.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,local,80efd4f0a208572eeda6,IMG_9554.JPG,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,degraded,7,44,nose,44,77,77,true,64,0,,0.035,,,,0,0,0.025,0.035,0.012,0.012,false,false,,,0.144,"{""forehead"":160,""left_cheek"":169,""right_cheek"":208,""nose"":44,""chin"":133,""under_eye_left"":77,""under_eye_right"":77}","[{""module_id"":""chin"",""before_pixels"":13,""after_pixels"":133,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":3},{""module_id"":""under_eye_left"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""under_eye_right"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1}]",,,chin|under_eye_left|under_eye_right,
internal,internal,local,1a421d3b67d230413d7d,IMG_9513.jpg,true,,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,degraded,7,44,nose,44,77,77,true,64,0,,0.053,,,,0,0,0.037,0.053,0.019,0.019,false,false,,,0.218,"{""forehead"":154,""left_cheek"":208,""right_cheek"":208,""nose"":44,""chin"":133,""under_eye_left"":77,""under_eye_right"":77}","[{""module_id"":""forehead"",""before_pixels"":100,""after_pixels"":154,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""chin"",""before_pixels"":13,""after_pixels"":133,""threshold"":128,""guard_method"":""dilate"",""dilation_iters"":3},{""module_id"":""under_eye_left"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1},{""module_id"":""under_eye_right"",""before_pixels"":45,""after_pixels"":77,""threshold"":64,""guard_method"":""dilate"",""dilation_iters"":1}]",,,forehead|chin|under_eye_left|under_eye_right,
