product_id,merchant_id,product_title,brand_name,product_url,shade_option_count,real_swatch_or_hex_count,text_fallback_missing_swatch_count,blocked_product_image_source_count,real_swatch_coverage_rate,review_priority,recommended_action
sig_27da34fc1ec05e34471ecc1c2d467144,external_seed,Eaze Drop Blur + Smooth Tint Stick — 1,fenty beauty,https://agent.pivota.cc/products/sig_27da34fc1ec05e34471ecc1c2d467144,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_9ec320428e710279f8d73424d3f57f6f,external_seed,Eaze Drop Blur + Smooth Tint Stick — 10,fenty beauty,https://agent.pivota.cc/products/sig_9ec320428e710279f8d73424d3f57f6f,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_24e804482ed32675ff1903670ee6918e,external_seed,Eaze Drop Blur + Smooth Tint Stick — 11,fenty beauty,https://agent.pivota.cc/products/sig_24e804482ed32675ff1903670ee6918e,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_4cc63ad2bb13a03b0948d52016c3e017,external_seed,Eaze Drop Blur + Smooth Tint Stick — 13,fenty beauty,https://agent.pivota.cc/products/sig_4cc63ad2bb13a03b0948d52016c3e017,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_6347540cbc46926570a2ac66aa09c197,external_seed,Eaze Drop Blur + Smooth Tint Stick — 12,fenty beauty,https://agent.pivota.cc/products/sig_6347540cbc46926570a2ac66aa09c197,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_c6ccf135c0e9728d661fb72b62958457,external_seed,Eaze Drop Blur + Smooth Tint Stick — 14,fenty beauty,https://agent.pivota.cc/products/sig_c6ccf135c0e9728d661fb72b62958457,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_4feeec8a39cecfc2693963dbd260c46c,external_seed,Eaze Drop Blur + Smooth Tint Stick — 18,fenty beauty,https://agent.pivota.cc/products/sig_4feeec8a39cecfc2693963dbd260c46c,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_7cd323aee8af9e22efd952a45a9c3f2b,external_seed,Eaze Drop Blur + Smooth Tint Stick — 16,fenty beauty,https://agent.pivota.cc/products/sig_7cd323aee8af9e22efd952a45a9c3f2b,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_25ec2da35f0914c9f5f4beb15405ec72,external_seed,Eaze Drop Blur + Smooth Tint Stick — 15,fenty beauty,https://agent.pivota.cc/products/sig_25ec2da35f0914c9f5f4beb15405ec72,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_3ebb960eed7f7bf9cac54f03a2f044a6,external_seed,Eaze Drop Blur + Smooth Tint Stick — 19,fenty beauty,https://agent.pivota.cc/products/sig_3ebb960eed7f7bf9cac54f03a2f044a6,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_f2a67dc931a13658a50a64aff35f7506,external_seed,Eaze Drop Blur + Smooth Tint Stick — 2,fenty beauty,https://agent.pivota.cc/products/sig_f2a67dc931a13658a50a64aff35f7506,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_b0d83b19c1992cbaa51582b75d75f2cc,external_seed,Eaze Drop Blur + Smooth Tint Stick — 20,fenty beauty,https://agent.pivota.cc/products/sig_b0d83b19c1992cbaa51582b75d75f2cc,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_e7438ce2144ae463deb012a286d05e21,external_seed,Eaze Drop Blur + Smooth Tint Stick — 21,fenty beauty,https://agent.pivota.cc/products/sig_e7438ce2144ae463deb012a286d05e21,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_3307927f8e12e19edd720c869650e512,external_seed,Eaze Drop Blur + Smooth Tint Stick — 25,fenty beauty,https://agent.pivota.cc/products/sig_3307927f8e12e19edd720c869650e512,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_bf995ce216902828f2749c80d0c26e4b,external_seed,Eaze Drop Blur + Smooth Tint Stick — 22,fenty beauty,https://agent.pivota.cc/products/sig_bf995ce216902828f2749c80d0c26e4b,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_a05081bf1485811a686d68ceb40fa51a,external_seed,Eaze Drop Blur + Smooth Tint Stick — 23,fenty beauty,https://agent.pivota.cc/products/sig_a05081bf1485811a686d68ceb40fa51a,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_42feff30df8e1d13713ecc6d61d02a0f,external_seed,Eaze Drop Blur + Smooth Tint Stick — 24,fenty beauty,https://agent.pivota.cc/products/sig_42feff30df8e1d13713ecc6d61d02a0f,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_989f9ba674fd6870f2cf44a54c2f59d9,external_seed,Eaze Drop Blur + Smooth Tint Stick — 3,fenty beauty,https://agent.pivota.cc/products/sig_989f9ba674fd6870f2cf44a54c2f59d9,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_539968d55bfa73d7e81d22cf63cfcbad,external_seed,Eaze Drop Blur + Smooth Tint Stick — 4,fenty beauty,https://agent.pivota.cc/products/sig_539968d55bfa73d7e81d22cf63cfcbad,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_fc8c1cd277606926c34f52e82a2deb6e,external_seed,Eaze Drop Blur + Smooth Tint Stick — 7,fenty beauty,https://agent.pivota.cc/products/sig_fc8c1cd277606926c34f52e82a2deb6e,26,0,0,26,0,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
