product_id,merchant_id,product_title,brand_name,product_url,shade_option_count,real_swatch_or_hex_count,text_fallback_missing_swatch_count,blocked_product_image_source_count,real_swatch_coverage_rate,review_priority,recommended_action
sig_166c162100320191eb17ced21461bfc3,external_seed,Fenty Icon Velvet Liquid Lipstick — H.B.I.C.,fenty beauty,https://agent.pivota.cc/products/sig_166c162100320191eb17ced21461bfc3,13,12,0,1,0.9231,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_1754bbd84ad03334c2424037ae32f01c,external_seed,Fenty Icon Velvet Liquid Lipstick — RiRi,fenty beauty,https://agent.pivota.cc/products/sig_1754bbd84ad03334c2424037ae32f01c,13,12,0,1,0.9231,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_109f2734fb772f69c9f5b4222948b90d,external_seed,Fenty Icon Velvet Liquid Lipstick — Wicked Whine,Fenty Beauty,https://agent.pivota.cc/products/sig_109f2734fb772f69c9f5b4222948b90d,13,12,0,1,0.9231,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_2e0767dfe3244129aab45d4108df9403,external_seed,Fenty Icon Velvet Liquid Lipstick — Pow'r Thirsty,Fenty Beauty,https://agent.pivota.cc/products/sig_2e0767dfe3244129aab45d4108df9403,13,12,0,1,0.9231,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_6f6b323d57a000c73248818b9f656750,external_seed,Fenty Icon Velvet Liquid Lipstick — Smurf'Melon,Fenty Beauty,https://agent.pivota.cc/products/sig_6f6b323d57a000c73248818b9f656750,13,12,0,1,0.9231,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_8f2cedbdd94efef817b1998ae5b51cbc,external_seed,Fenty Icon Velvet Liquid Lipstick — Fashion Fiend,Fenty Beauty,https://agent.pivota.cc/products/sig_8f2cedbdd94efef817b1998ae5b51cbc,13,12,0,1,0.9231,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_ec012c21a563c488a2d3b568bb2d2195,external_seed,Fenty Icon Velvet Liquid Lipstick — Fiyaproof,Fenty Beauty,https://agent.pivota.cc/products/sig_ec012c21a563c488a2d3b568bb2d2195,13,12,0,1,0.9231,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_83aa85cf2640b8954e03efa376502ce0,external_seed,Fenty Icon Velvet Liquid Lipstick — C-Suite'Heart,fenty beauty,https://agent.pivota.cc/products/sig_83aa85cf2640b8954e03efa376502ce0,12,11,0,1,0.9167,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_053acec1d92c8eab7b6b19e5486d952b,external_seed,Body Lava Body Luminizer — Oyster Pearlz,Fenty Beauty,https://agent.pivota.cc/products/sig_053acec1d92c8eab7b6b19e5486d952b,6,5,0,1,0.8333,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
sig_9ac0570456275752a507deabd3148e3f,external_seed,Body Lava Body Luminizer — Penny Drop,Fenty Beauty,https://agent.pivota.cc/products/sig_9ac0570456275752a507deabd3148e3f,6,5,0,1,0.8333,P0,Backfill source-backed swatch_image_url or shade_hex; keep product/packaging image blocked from swatch UI.
