seed_id,external_product_id,market,brand,title,shade_names,target_shade_count,patched_shade_count,source_report_rows,blocker_reason,canonical_url,destination_url
eps_ea576d8dd3d24ce4ad5c05e3,ext_00beb58221961252acb390d7,US,fenty beauty,Stunna Lip Paint Longwear Fluid Lip Color — Unlocked,Unlocked,1,0,1,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/stunna-lip-paint-longwear-fluid-lip-color-unlocked,https://fentybeauty.com/products/stunna-lip-paint-longwear-fluid-lip-color-unlocked
eps_4581995969624ca88ac51c2a,ext_035b2c42e4149dea10d306fc,US,Fenty Beauty,Shadowstix Longwear Eyeshadow Stick — Brownie Badd'r,brownie baddr,1,0,1,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/shadowstix-longwear-eyeshadow-stick-brownie-baddr,https://fentybeauty.com/products/shadowstix-longwear-eyeshadow-stick-brownie-baddr
eps_4687599cac424a0aa328f574,ext_046ea94d4378d5d41877cae7,US,Fenty Beauty,Shadowstix Longwear Eyeshadow Stick — Diamond Veil Champ'ion,champion,1,0,1,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/shadowstix-diamonds-diamond-veil-eyeshadow-stick-champion,https://fentybeauty.com/products/shadowstix-diamonds-diamond-veil-eyeshadow-stick-champion
eps_a981406a383a435e855b7005,ext_05a90180e24f41410c86a703,US,fenty beauty,Fenty Icon The Case Semi-Matte Refillable Lipstick — Metallic Nude,metallic nude|Metallic Nude,1,0,4,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/fenty-icon-the-case-semi-matte-refillable-lipstick-metallic-nude,https://fentybeauty.com/products/fenty-icon-the-case-semi-matte-refillable-lipstick-metallic-nude
eps_fbfc1c7424714e0298f4e104,ext_06dd074254a164d23537d4f4,US,Fenty Beauty,Gloss Bomb Stix High-Shine Gloss Stick — Sp'ice Cold,spice cold|Sp'ice Cold,2,0,10,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/gloss-bomb-stix-high-shine-gloss-stick-spiced-cold,https://fentybeauty.com/products/gloss-bomb-stix-high-shine-gloss-stick-spiced-cold
eps_7965b47cf9474009a1c4ee1a,ext_08300a51cf08d6bd0a7b7a8f,US,Fenty Beauty,Trace'd Out Longwear Waterproof Pencil Lip Liner — Pnut Butta,pnut butta|Pnut Butta,1,0,14,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/traced-out-longwear-waterproof-pencil-lip-liner-pnut-butta,https://fentybeauty.com/products/traced-out-longwear-waterproof-pencil-lip-liner-pnut-butta
eps_80f862d56478402591cb3d28,ext_0a06d9531a3cfd048e6d292d,US,Fenty Beauty,Diamond Bomb All-Over Diamond Veil — Rosé Rave,Rosé Rave,1,0,1,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/diamond-bomb-all-over-diamond-veil-rose-rave-1,https://fentybeauty.com/products/diamond-bomb-all-over-diamond-veil-rose-rave-1
eps_dd6c86253b814a1d9ef031f3,ext_0f07ef83ac73535fdd52ca95,US,Fenty Beauty,Shadowstix Longwear Eyeshadow Stick — Fizzy Frosé,fizzy frosé,1,0,1,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/shadowstix-longwear-eyeshadow-stick-fizzy-frose,https://fentybeauty.com/products/shadowstix-longwear-eyeshadow-stick-fizzy-frose
eps_26b42c6648df430e81de52ff,ext_10ba9963730c71bf08a9828a,US,Fenty Beauty,Gloss Bomb Oil Luminizing Lip Oil 'N Gloss — Fu$$y,fu y|Fu$$y,1,0,5,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/gloss-bomb-oil-luminizing-lip-oil-n-gloss-fussy,https://fentybeauty.com/products/gloss-bomb-oil-luminizing-lip-oil-n-gloss-fussy
eps_33b649388f9f40c3b84f0600,ext_11deeea82362972ec1641d0e,US,Fenty Beauty,Body Lava Body Luminizer — Who Needs Clothes?!,who needs clothes|Who Needs Clothes?!,1,0,6,no_per_shade_source_backed_swatch_texture_or_hex_asset,https://fentybeauty.com/products/body-lava-body-luminizer-who-needs-clothes-2,https://fentybeauty.com/products/body-lava-body-luminizer-who-needs-clothes-2
