seed_id,external_product_id,market,brand,title,shade_names,swatch_image_url,shade_hex,visual_evidence_kind,visuals_by_shade,target_shade_count,patched_shade_count,source_report_rows,action,canonical_url,destination_url
eps_ee218ca5735448e7a71d4eaa,ext_009fd76abf5eb08b488f5a23,US,fenty beauty,Eaze Drop Blur + Smooth Tint Stick — 17,17,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_17_1200X1500_72DPI.png?v=1690915407,,source_backed_texture_swatch,"[{""shade_key"":""17"",""shade_name"":""17"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_17_1200X1500_72DPI.png?v=1690915407"",""shade_hex"":""""}]",1,1,23,dry_run,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-17,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-17
eps_a15f1cf262c44bd990b82dda,ext_0a943ccb4ff5143885520673,US,fenty beauty,Fenty Icon Velvet Liquid Lipstick — H.B.I.C.,h b i c|H.B.I.C.,https://cdn.shopify.com/s/files/1/0341/3458/9485/products/FB23_SPRING_T2_SMEAR_ICON_LIQUID-EXT_HBIC_0126_1.png?v=1768520901,,source_backed_texture_swatch,"[{""shade_key"":""h b i c"",""shade_name"":""h b i c"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/products/FB23_SPRING_T2_SMEAR_ICON_LIQUID-EXT_HBIC_0126_1.png?v=1768520901"",""shade_hex"":""""}]",1,1,6,dry_run,https://fentybeauty.com/products/fenty-icon-velvet-liquid-lipstick-hbic,https://fentybeauty.com/products/fenty-icon-velvet-liquid-lipstick-hbic
eps_125ce659e16f4f86b561f8a4,ext_0ae77dc18890e0f10411d440,US,fenty beauty,Eaze Drop Blur + Smooth Tint Stick — 8,8,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_08_1200X1500_72DPI.png?v=1690914701,,source_backed_texture_swatch,"[{""shade_key"":""8"",""shade_name"":""8"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_08_1200X1500_72DPI.png?v=1690914701"",""shade_hex"":""""}]",1,1,23,dry_run,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-8,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-8
eps_267ca84615d847c3a5639334,ext_0ec8adfb201f17edabae28f3,US,Fenty Beauty,Fenty Icon Velvet Liquid Lipstick — Wicked Whine,wicked whine|Wicked Whine,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB23_FALL_T2_SMEAR_ICON_LIQUID-EXT_WICKEDWHINE_1200X1500_72DPI.png?v=1768520901,,source_backed_texture_swatch,"[{""shade_key"":""wicked whine"",""shade_name"":""wicked whine"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB23_FALL_T2_SMEAR_ICON_LIQUID-EXT_WICKEDWHINE_1200X1500_72DPI.png?v=1768520901"",""shade_hex"":""""}]",1,1,6,dry_run,https://fentybeauty.com/products/fenty-icon-velvet-liquid-lipstick-wicked-whine,https://fentybeauty.com/products/fenty-icon-velvet-liquid-lipstick-wicked-whine
eps_3163858ada6e4b7b80dba3e6,ext_1d390e3a12c0b62c39b7c247,US,fenty beauty,Eaze Drop Blur + Smooth Tint Stick — 12,12,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_12_1200X1500_72DPI.png?v=1690915250,,source_backed_texture_swatch,"[{""shade_key"":""12"",""shade_name"":""12"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_12_1200X1500_72DPI.png?v=1690915250"",""shade_hex"":""""}]",1,1,24,dry_run,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-12,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-12
eps_4d2e39c83a3e42aab8bca95b,ext_2258d2970a2b3efc82c84d4f,US,fenty beauty,Eaze Drop Blur + Smooth Tint Stick — 5,5,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_05_1200X1500_72DPI.png?v=1690914537,,source_backed_texture_swatch,"[{""shade_key"":""5"",""shade_name"":""5"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_05_1200X1500_72DPI.png?v=1690914537"",""shade_hex"":""""}]",1,1,24,dry_run,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-5,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-5
eps_da1116d7cfec40769b417e28,ext_2a401d561f6aee873f08f2a9,US,fenty beauty,Eaze Drop Blur + Smooth Tint Stick — 13,13,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_13_1200X1500_72DPI.png?v=1690915269,,source_backed_texture_swatch,"[{""shade_key"":""13"",""shade_name"":""13"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_13_1200X1500_72DPI.png?v=1690915269"",""shade_hex"":""""}]",1,1,24,dry_run,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-13,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-13
eps_ef48e715c2484c04bf0ec230,ext_30907a9fbba53bccfdb23001,US,fenty beauty,Eaze Drop Blur + Smooth Tint Stick — 23,23,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_23_1200X1500_72DPI.png?v=1690915705,,source_backed_texture_swatch,"[{""shade_key"":""23"",""shade_name"":""23"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_23_1200X1500_72DPI.png?v=1690915705"",""shade_hex"":""""}]",1,1,24,dry_run,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-23,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-23
eps_20361fa2bbbc47099c4497bc,ext_32e822f77e307b80537c9687,US,fenty beauty,Eaze Drop Blur + Smooth Tint Stick — 14,14,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_14_1200X1500_72DPI.png?v=1690915294,,source_backed_texture_swatch,"[{""shade_key"":""14"",""shade_name"":""14"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_14_1200X1500_72DPI.png?v=1690915294"",""shade_hex"":""""}]",1,1,24,dry_run,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-14,https://fentybeauty.com/products/eaze-drop-skin-tint-foundation-stick-14
eps_241bc59cbd7649278684ea46,ext_3748870fd3c4105a5c1d89d5,US,Fenty Beauty,Fenty Icon Velvet Liquid Lipstick — Fashion Fiend,fashion fiend|Fashion Fiend,https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB23_SPRING_T2_SMEAR_ICON_LIQUID-EXT_FASHIONFIEND_1200X1500_72DPI.png?v=1748383204,,source_backed_texture_swatch,"[{""shade_key"":""fashion fiend"",""shade_name"":""fashion fiend"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB23_SPRING_T2_SMEAR_ICON_LIQUID-EXT_FASHIONFIEND_1200X1500_72DPI.png?v=1748383204"",""shade_hex"":""""}]",1,1,6,dry_run,https://fentybeauty.com/products/fenty-icon-velvet-liquid-lipstick-fashion-fiend,https://fentybeauty.com/products/fenty-icon-velvet-liquid-lipstick-fashion-fiend
