external_product_id,source_listing_ref,sig_product_id,merchant_id,market,title,identity_status,review_required,live_read_enabled,visual_count,action,visuals_by_shade
ext_009fd76abf5eb08b488f5a23,external_seed:ext_009fd76abf5eb08b488f5a23,ext_009fd76abf5eb08b488f5a23,external_seed,US,Eaze Drop Blur + Smooth Tint Stick — 17,approved,false,true,1,dry_run,"[{""shade_key"":""17"",""shade_name"":""17"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_17_1200X1500_72DPI.png?v=1690915407"",""shade_hex"":""""}]"
ext_0a943ccb4ff5143885520673,external_seed:ext_0a943ccb4ff5143885520673,ext_0a943ccb4ff5143885520673,external_seed,US,Fenty Icon Velvet Liquid Lipstick — H.B.I.C.,approved,false,true,1,dry_run,"[{""shade_key"":""h b i c"",""shade_name"":""h b i c"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/products/FB23_SPRING_T2_SMEAR_ICON_LIQUID-EXT_HBIC_0126_1.png?v=1768520901"",""shade_hex"":""""}]"
ext_0ae77dc18890e0f10411d440,external_seed:ext_0ae77dc18890e0f10411d440,ext_0ae77dc18890e0f10411d440,external_seed,US,Eaze Drop Blur + Smooth Tint Stick — 8,approved,false,true,1,dry_run,"[{""shade_key"":""8"",""shade_name"":""8"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_08_1200X1500_72DPI.png?v=1690914701"",""shade_hex"":""""}]"
ext_0ec8adfb201f17edabae28f3,external_seed:ext_0ec8adfb201f17edabae28f3,ext_0ec8adfb201f17edabae28f3,external_seed,US,Fenty Icon Velvet Liquid Lipstick — Wicked Whine,approved,false,true,1,dry_run,"[{""shade_key"":""wicked whine"",""shade_name"":""wicked whine"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB23_FALL_T2_SMEAR_ICON_LIQUID-EXT_WICKEDWHINE_1200X1500_72DPI.png?v=1768520901"",""shade_hex"":""""}]"
ext_1d390e3a12c0b62c39b7c247,external_seed:ext_1d390e3a12c0b62c39b7c247,ext_1d390e3a12c0b62c39b7c247,external_seed,US,Eaze Drop Blur + Smooth Tint Stick — 12,approved,false,true,1,dry_run,"[{""shade_key"":""12"",""shade_name"":""12"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_12_1200X1500_72DPI.png?v=1690915250"",""shade_hex"":""""}]"
ext_2258d2970a2b3efc82c84d4f,external_seed:ext_2258d2970a2b3efc82c84d4f,ext_2258d2970a2b3efc82c84d4f,external_seed,US,Eaze Drop Blur + Smooth Tint Stick — 5,approved,false,true,1,dry_run,"[{""shade_key"":""5"",""shade_name"":""5"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_05_1200X1500_72DPI.png?v=1690914537"",""shade_hex"":""""}]"
ext_2a401d561f6aee873f08f2a9,external_seed:ext_2a401d561f6aee873f08f2a9,ext_2a401d561f6aee873f08f2a9,external_seed,US,Eaze Drop Blur + Smooth Tint Stick — 13,approved,false,true,1,dry_run,"[{""shade_key"":""13"",""shade_name"":""13"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_13_1200X1500_72DPI.png?v=1690915269"",""shade_hex"":""""}]"
ext_30907a9fbba53bccfdb23001,external_seed:ext_30907a9fbba53bccfdb23001,ext_30907a9fbba53bccfdb23001,external_seed,US,Eaze Drop Blur + Smooth Tint Stick — 23,approved,false,true,1,dry_run,"[{""shade_key"":""23"",""shade_name"":""23"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_23_1200X1500_72DPI.png?v=1690915705"",""shade_hex"":""""}]"
ext_32e822f77e307b80537c9687,external_seed:ext_32e822f77e307b80537c9687,ext_32e822f77e307b80537c9687,external_seed,US,Eaze Drop Blur + Smooth Tint Stick — 14,approved,false,true,1,dry_run,"[{""shade_key"":""14"",""shade_name"":""14"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB_FALL23_T2PRODUCT_SMEAR_EAZEDROP_STICK_SHADE_14_1200X1500_72DPI.png?v=1690915294"",""shade_hex"":""""}]"
ext_3748870fd3c4105a5c1d89d5,external_seed:ext_3748870fd3c4105a5c1d89d5,ext_3748870fd3c4105a5c1d89d5,external_seed,US,Fenty Icon Velvet Liquid Lipstick — Fashion Fiend,approved,false,true,1,dry_run,"[{""shade_key"":""fashion fiend"",""shade_name"":""fashion fiend"",""swatch_image_url"":""https://cdn.shopify.com/s/files/1/0341/3458/9485/files/FB23_SPRING_T2_SMEAR_ICON_LIQUID-EXT_FASHIONFIEND_1200X1500_72DPI.png?v=1748383204"",""shade_hex"":""""}]"
